Arguments: Namespace(dropout=0.2, gap=1, hidden_size=16, lr=0.005, num_epochs=500, num_layers=2, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190105/LSTM_16_2_epoch=500_dr=0.2_lr=0.005_wd=1e-05', weight_decay=1e-05)
iter: 000, train loss: 0.65211689, test loss: 0.64721918
         , train AUC: 0.46204077, test AUC: 0.53997430
         , train F-1: 0.41156252, test F-1: 0.40203662
iter: 001, train loss: 0.63881534, test loss: 0.63866466
         , train AUC: 0.51968017, test AUC: 0.58449418
         , train F-1: 0.41156252, test F-1: 0.40203662
iter: 002, train loss: 0.62769192, test loss: 0.63184208
         , train AUC: 0.58157330, test AUC: 0.61636733
         , train F-1: 0.41156252, test F-1: 0.40203662
iter: 003, train loss: 0.61890644, test loss: 0.62621605
         , train AUC: 0.61107517, test AUC: 0.63425517
         , train F-1: 0.41156252, test F-1: 0.40203662
iter: 004, train loss: 0.61117685, test loss: 0.62195444
         , train AUC: 0.63063460, test AUC: 0.64132179
         , train F-1: 0.41156252, test F-1: 0.40203662
iter: 005, train loss: 0.60394907, test loss: 0.61774617
         , train AUC: 0.64961694, test AUC: 0.65545645
         , train F-1: 0.41156252, test F-1: 0.40203662
iter: 006, train loss: 0.59736961, test loss: 0.61385715
         , train AUC: 0.66446989, test AUC: 0.66799025
         , train F-1: 0.41156252, test F-1: 0.40203662
iter: 007, train loss: 0.59187675, test loss: 0.61073786
         , train AUC: 0.67556198, test AUC: 0.67692077
         , train F-1: 0.41156252, test F-1: 0.40203662
iter: 008, train loss: 0.58773911, test loss: 0.60663676
         , train AUC: 0.68174619, test AUC: 0.68909060
         , train F-1: 0.41156252, test F-1: 0.40203662
iter: 009, train loss: 0.58323210, test loss: 0.60116589
         , train AUC: 0.69025667, test AUC: 0.70078807
         , train F-1: 0.41156252, test F-1: 0.40203662
iter: 010, train loss: 0.57773483, test loss: 0.59360272
         , train AUC: 0.70100236, test AUC: 0.71152582
         , train F-1: 0.41156252, test F-1: 0.40203662
iter: 011, train loss: 0.57107598, test loss: 0.58634865
         , train AUC: 0.71155824, test AUC: 0.71406196
         , train F-1: 0.41156252, test F-1: 0.40536100
iter: 012, train loss: 0.56260252, test loss: 0.57887042
         , train AUC: 0.72328486, test AUC: 0.71790765
         , train F-1: 0.41483711, test F-1: 0.42493507
