Arguments: Namespace(gap=4, hidden_size=32, num_epochs=200, num_layers=1, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190104/LSTM_32_1')
iter: 000, train loss: 0.97415465, test loss: 0.76149213
         , train AUC: 0.49932882, test AUC: 0.47424212
         , train F-1: 0.23644830, test F-1: 0.38805677
iter: 001, train loss: 0.73565680, test loss: 0.65012407
         , train AUC: 0.51205874, test AUC: 0.53741237
         , train F-1: 0.39202703, test F-1: 0.48777645
iter: 002, train loss: 0.63380533, test loss: 0.61299402
         , train AUC: 0.53548715, test AUC: 0.60015342
         , train F-1: 0.47635808, test F-1: 0.45116550
iter: 003, train loss: 0.60202450, test loss: 0.61105222
         , train AUC: 0.59791749, test AUC: 0.63885681
         , train F-1: 0.43643086, test F-1: 0.46474012
iter: 004, train loss: 0.59804219, test loss: 0.61082155
         , train AUC: 0.65209065, test AUC: 0.65779389
         , train F-1: 0.44042790, test F-1: 0.47598217
iter: 005, train loss: 0.58746320, test loss: 0.60138452
         , train AUC: 0.69006078, test AUC: 0.66391161
         , train F-1: 0.44800649, test F-1: 0.47554723
iter: 006, train loss: 0.56835502, test loss: 0.59240437
         , train AUC: 0.71878263, test AUC: 0.66411373
         , train F-1: 0.45750344, test F-1: 0.44820071
iter: 007, train loss: 0.55811697, test loss: 0.58724493
         , train AUC: 0.72665949, test AUC: 0.66797519
         , train F-1: 0.46026103, test F-1: 0.47357555
iter: 008, train loss: 0.55435461, test loss: 0.58352798
         , train AUC: 0.73435331, test AUC: 0.67408979
         , train F-1: 0.50872380, test F-1: 0.53559756
iter: 009, train loss: 0.54536766, test loss: 0.57596278
         , train AUC: 0.74791238, test AUC: 0.68953618
         , train F-1: 0.59467264, test F-1: 0.56539122
iter: 010, train loss: 0.53526205, test loss: 0.57264465
         , train AUC: 0.75497345, test AUC: 0.69971090
         , train F-1: 0.61707734, test F-1: 0.57215514
iter: 011, train loss: 0.52852958, test loss: 0.57477260
         , train AUC: 0.76083199, test AUC: 0.70011726
         , train F-1: 0.61863848, test F-1: 0.58642573
iter: 012, train loss: 0.52133590, test loss: 0.57596183
         , train AUC: 0.76855765, test AUC: 0.70130981
         , train F-1: 0.63701436, test F-1: 0.60464140
iter: 013, train loss: 0.51408529, test loss: 0.57249397
         , train AUC: 0.77634489, test AUC: 0.70807251
         , train F-1: 0.65476153, test F-1: 0.61628974
iter: 014, train loss: 0.50767773, test loss: 0.56932366
         , train AUC: 0.78318622, test AUC: 0.71406428
         , train F-1: 0.67631463, test F-1: 0.62506418
iter: 015, train loss: 0.50219554, test loss: 0.56810349
         , train AUC: 0.78926213, test AUC: 0.71784656
         , train F-1: 0.69465274, test F-1: 0.63345741
iter: 016, train loss: 0.49777061, test loss: 0.56863117
         , train AUC: 0.79343608, test AUC: 0.71971793
         , train F-1: 0.70453869, test F-1: 0.63563533
iter: 017, train loss: 0.49375728, test loss: 0.57415473
         , train AUC: 0.79649079, test AUC: 0.71774004
         , train F-1: 0.70477401, test F-1: 0.61716328
iter: 018, train loss: 0.49180821, test loss: 0.57473171
         , train AUC: 0.79765698, test AUC: 0.72000073
         , train F-1: 0.69824211, test F-1: 0.60803166
iter: 019, train loss: 0.49019811, test loss: 0.57264316
         , train AUC: 0.79878174, test AUC: 0.72270888
         , train F-1: 0.69352253, test F-1: 0.61926866
iter: 020, train loss: 0.48600867, test loss: 0.56795257
         , train AUC: 0.80265863, test AUC: 0.72781863
