,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.863201236704849,0.9560460101961847,0.8260070671378091,0.8664544276850039,0.9695134599116062,0.7080394829767385,0.7138174801428324,0.7026351442002806,0.6922596712903424,0.6874386146005013
ICU,0.8593894423950237,0.9549149590456611,0.8274336417902186,0.8677706218593879,0.9662944398732966,0.7201395528518236,0.7250284865036597,0.7260764179567498,0.7089162413563248,0.7074704620658339
ETHNICITY,0.863328244797128,0.9531691992147672,0.8299072784138612,0.8682706164939851,0.9662122914811,0.7142218273357219,0.7202067985814509,0.7138834166497715,0.7002692774936141,0.6919239647726827
AGE,0.8725728589835,0.9319028280615399,0.8119412684207543,0.8539814546666593,0.9406215331958218,0.6960207719401408,0.680230673504051,0.6857685374087316,0.6729225067350155,0.6797910786074758
GENDER,0.8635364866103064,0.9557678244446913,0.8258540666356495,0.8666233802655748,0.9690249062823127,0.7087231232168076,0.7138463999368581,0.7027014158058839,0.691993478263038,0.6876461030176211
HEIGHT,0.8158919620047924,0.9027868257910283,0.796884422905329,0.8456450343066481,0.9045822410029352,0.6814411044303348,0.6761200571544281,0.6619318238494489,0.6722890533646649,0.624890781214425
WEIGHT,0.832032866107804,0.9285938336245949,0.8283039066958561,0.8529738287506979,0.9233451853105968,0.6959917975951699,0.7236905856040865,0.7154909862511668,0.672094696139389,0.670141608643164
BMI,0.8576745290783194,0.9458547089405683,0.8041495249254339,0.8650542550836203,0.959576789524175,0.6987587618169817,0.7006648030193419,0.6893009215306782,0.6797350781655821,0.6888373787690962
DIAS_BP,0.8268767975660353,0.9172102403806587,0.8172730693546921,0.8450477876338066,0.9319932090373336,0.6565847323936356,0.6781386915079826,0.6830119924174809,0.6404977910919492,0.643312580906845
HR,0.8500936351372027,0.9271139944081912,0.8084097358324447,0.8670442763562899,0.9464880255897933,0.7137531256133085,0.6763413235817439,0.6998791291324991,0.6854317632511415,0.6985709740841239
SYS_BP,0.8774327312437661,0.8870504004741641,0.782051381070562,0.838020714799354,0.9098042528603189,0.6972002958593899,0.6863532689918961,0.6275825664405578,0.6926644626837868,0.6389726947269248
MEAN_BP,0.847493813014024,0.9092099300283832,0.8234108890860038,0.853563052006947,0.9219895145822556,0.7227449449665125,0.7298739352590629,0.7152616696629163,0.7102605091305191,0.698435017542337
RESPRATE,0.8583501513150553,0.9310387816844266,0.8262624699659823,0.8634131413392558,0.9520596966522357,0.7074125367548685,0.7103298355890617,0.7092996487791934,0.6872020349435276,0.6875880608117729
Temprate,0.8533899200514856,0.9373854480041625,0.8238208147110342,0.8660612720428353,0.9591572982227541,0.6982004095123882,0.7157837923468078,0.7116821457311984,0.6936284402319892,0.7025909891065191
SPO2,0.7875337136704618,0.8920035454824935,0.7400414644079591,0.816818363278315,0.9025156511280839,0.6563365567642798,0.6581885925307475,0.6354558108664485,0.6468570285807054,0.6518397508935756
PH,0.8608719129704685,0.9554356381514958,0.8257651804413467,0.8661966497108969,0.9691142970033975,0.7047926886396627,0.7117464612957614,0.7041165062931217,0.6915770753112271,0.6857328221255143
CA_ION,0.7985023633017126,0.9045217251777808,0.7483742288028701,0.8016521062365531,0.9027596243720587,0.6542271028797163,0.6339996824823262,0.635220852151851,0.6395003270562963,0.6263350252854542
HCO3,0.8548999753187958,0.9350361416160435,0.8364216716772788,0.8635196676241661,0.955477685582401,0.7196102060641699,0.7188006622422421,0.7116092111172707,0.7087464008844859,0.7030938241347348
HEMOGLOBIN,0.8616993991495868,0.9533894343151005,0.8253487768263252,0.8654765830456039,0.968359089064209,0.7092501710717645,0.7177823207805063,0.698831844497761,0.6883845435787863,0.695045182833572
WBC,0.8634177196201476,0.9411879421541821,0.832636317865677,0.8597130543143994,0.962934020952708,0.7099406068010252,0.713217108024338,0.7131824058301058,0.7070704088116422,0.6875983787334355
RBC,0.8624414258014204,0.9560090922280795,0.8266100276385453,0.8674264872353121,0.969288557410917,0.7086188919462356,0.7146771017325879,0.7045742354825284,0.6922262861117907,0.6868647776204218
HEMATOCRIT,0.8606732454935282,0.9417715873246173,0.8195170898997395,0.8624446696962649,0.9611846515882535,0.7187467503222559,0.7169688570835058,0.6991256948543558,0.7015569058005547,0.6983855865928614
PLT,0.8181017000964855,0.9287974103874302,0.8269918138767376,0.8450369087038222,0.9422621266834239,0.7081500811219315,0.6961207014790226,0.7068251633473508,0.7008301391416936,0.6848756553282994
RDW,0.8526130265986288,0.9479386509348607,0.8231809698664729,0.8556146766607551,0.9613519840793662,0.6860911049415551,0.6837758225472087,0.6990265602006777,0.6774936265792654,0.6780932271915329
ALT,0.8554496342198128,0.9305073458366082,0.8096319144140879,0.8502449948199176,0.9228545825792674,0.7180163755080096,0.7189261060375616,0.7052669000075561,0.6958072595400564,0.7002347233662335
AST,0.8525116852122911,0.9278109106171306,0.8085750464925936,0.8647487316089302,0.9296636835933192,0.7015763882810355,0.7018359183000156,0.6963369803913354,0.7041398385117454,0.6560060949303655
ALB,0.8599084758947841,0.9498727621663607,0.8200787112029027,0.8583957245179745,0.9663628408507767,0.6973028126716796,0.7035528235818687,0.691137441449691,0.6797659851726168,0.6800600147680319
TOTALBILIRUBIN,0.8621982158302387,0.9557603201794689,0.8253530998796663,0.866463710160815,0.9681837553175282,0.7071787391961073,0.712147699084766,0.6995700434761682,0.6912288064901534,0.6855817627648588
CK,0.857598051338776,0.9132914678295637,0.8436086424162705,0.8627034433969438,0.9385777328049874,0.694120746927753,0.6848186963483659,0.6888499956234555,0.6854722088806195,0.6823262324835356
CR,0.8641185953382151,0.9542199943227783,0.8172625055520921,0.8583757359242281,0.9662352219086435,0.6932332498049258,0.7025859860055316,0.6929740315056335,0.678899669402568,0.6800408050422779
UN,0.8673172500909562,0.9401158126841126,0.8402954240216784,0.8694396241769128,0.9586629767506931,0.7009576870449048,0.7122124900218528,0.6930307411098169,0.6940288675498059,0.686682990491552
