,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.7897321597817248,0.8887992371351647,0.7278990361012283,0.7730078473465135,0.9057164969318208,0.636836059127923,0.6278943832855791,0.6177961102903002,0.6096688738869555,0.5794215025845145
ICU,0.7819218592050938,0.8823475382574091,0.7345629780280774,0.7780177767406904,0.8925989147905615,0.6391422358688894,0.644338947461326,0.6465226542180507,0.6287298240259626,0.6217307790530532
ETHNICITY,0.7858549800826846,0.8801968411495209,0.7375018181552215,0.7803951439656205,0.8959597566139643,0.6432839606796135,0.6366567789399551,0.6374201687138634,0.6207317080806203,0.6006130277880168
AGE,0.7878918635980365,0.8189374493004857,0.6657552519382668,0.7419808965402737,0.8284707880722171,0.6179213832743446,0.5852465553760138,0.5824809140699743,0.570796814156447,0.5406520526759346
GENDER,0.7897344959874528,0.8879780205406358,0.7288694743030543,0.7737180432898699,0.904865182145954,0.6401863579097277,0.629150277779471,0.6199888000546614,0.6096656937734837,0.581734877084455
HEIGHT,0.7343616780757865,0.7926861730237699,0.6694212070460366,0.7196129795417026,0.8262725725980605,0.6099075595513113,0.5553285126266867,0.5296153469103614,0.5603470817187339,0.5122805969781336
WEIGHT,0.7450685936732837,0.8287075185538817,0.722953234850872,0.7649182770059736,0.8133744405011605,0.6039855457610701,0.6066390804856551,0.6230098879606518,0.6043661207210584,0.6023512740609651
BMI,0.7809985661689487,0.8757562592118888,0.6700505261125052,0.7746465541402442,0.8911279627675119,0.6152144979334728,0.6081726082028973,0.5609089204825043,0.5986777063220732,0.5959566695073841
DIAS_BP,0.7042892192415242,0.7767583890601006,0.6337248905631109,0.7183036337937001,0.8217244342050307,0.5343037640607494,0.5581507128495217,0.5503176682329394,0.5240876841479616,0.5046194229499572
HR,0.7762566738812166,0.8475199752120779,0.7128707332163637,0.7808132180200613,0.8700347092260706,0.637898614110617,0.5860193446749951,0.6241328959091026,0.6153894736260213,0.6093807030684006
SYS_BP,0.7808128768303186,0.7340095959802793,0.5720969821280582,0.7149928894673279,0.7727109311799687,0.6173395961544255,0.5662028351052741,0.43063041988935113,0.586891246223632,0.47869609567138305
MEAN_BP,0.7432835467593952,0.7794745058402741,0.7373184194703397,0.7499584653312821,0.813050823794857,0.6285675276978535,0.6052277797935449,0.6293192797969034,0.6083140254551076,0.621697400825959
RESPRATE,0.7635025486147107,0.8365197113262922,0.7341919813808783,0.7789105183733547,0.869692652633913,0.6271902677901698,0.6411892975904631,0.6409579952293165,0.6044300138344241,0.5904996286710541
Temprate,0.778976612748675,0.8520393731782139,0.7333292265346649,0.7760581122475246,0.8903082931213935,0.6121107326025277,0.6395020202868604,0.6295915509521668,0.6248274733420929,0.606961562116391
SPO2,0.6260538310041204,0.6781341631424374,0.4556017354914066,0.689626051579507,0.7154747789905688,0.5092953874447472,0.529196859892009,0.3335780684105823,0.5417503532820093,0.45771821275190344
PH,0.7851673999027262,0.8865827944862952,0.727449375347006,0.7711597740733194,0.9063096691768225,0.6338414041991968,0.6268843285496704,0.621066818852571,0.6081297619499738,0.5727701654226763
