,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.7873218862849818,0.9032433941868299,0.7263636411848697,0.7658621220895699,0.9156162338256089,0.6371993548674688,0.6191663541444103,0.6079282362006103,0.6018582579037393,0.5794343987070742
ICU,0.7826001046177853,0.9094160596794618,0.7283316047381656,0.7790197987025055,0.9155387600667735,0.6591919144060715,0.6498374741833772,0.6436564351103932,0.63325367084376,0.6130276604665302
ETHNICITY,0.7881309649952337,0.9101934146454584,0.730702105426977,0.7798941076600001,0.9155287087934338,0.658514798446498,0.636043629548866,0.629546735755979,0.6178076706489547,0.5931527867115669
AGE,0.7855577908058919,0.8040122620415073,0.6998888164156155,0.7355262287220169,0.817592298189741,0.6082521137129071,0.5824085764456595,0.5847312740030219,0.5730071324137855,0.5678275259986952
GENDER,0.7879131298114275,0.9054844858037456,0.7266306890375731,0.7669271609871301,0.9158381809277709,0.6440426716640478,0.620916274018133,0.6099278401525623,0.6018413890948265,0.5806008205222499
HEIGHT,0.7317698361107001,0.7793975228287736,0.6922713261032275,0.7213606625999353,0.8256887851863772,0.6014319408534352,0.5717074221087105,0.5628859669804755,0.5741711549442264,0.5511572699338979
WEIGHT,0.755946022280244,0.8823569599412913,0.7178330403592816,0.7734885779485823,0.8777234535458267,0.640940202115562,0.6226576240702189,0.6355384979631251,0.6057774835196537,0.6068065242595864
BMI,0.7776391639134462,0.8808804386233029,0.6983358955988488,0.7732305621408218,0.8972361773022732,0.606827757753426,0.5998580530093629,0.5820332705443806,0.593457832892577,0.5918968991000865
DIAS_BP,0.7377340849691156,0.7672274148517391,0.6922961736734559,0.7219261206078785,0.8110740215059491,0.5603585489139122,0.5744302020651604,0.5765984565869359,0.5536566971792237,0.553572711114539
HR,0.781184989138053,0.8495543263429264,0.70864631417013,0.8098704148575521,0.8866372251874668,0.661988919718105,0.5831870204187801,0.6141941339566329,0.6137558635568704,0.6006977968735059
SYS_BP,0.7825256279059938,0.7355772300203909,0.676283131522889,0.7164822103799398,0.7720209061506771,0.6075517863585124,0.5775346164999275,0.5428771582627285,0.5838995337064667,0.5534149758443989
MEAN_BP,0.7702588405131789,0.8840668758304406,0.7346550242054413,0.7973710217688919,0.8913202254246042,0.6916428136824715,0.6646293020399565,0.6401345347712661,0.6511249183249123,0.6339765187726591
RESPRATE,0.7818518977664828,0.8934080567348694,0.7261902133825535,0.781194525495573,0.8980236787245004,0.6580858937946468,0.6503398241622621,0.6375137427164639,0.5979013550757923,0.584535222788859
Temprate,0.7779021503052173,0.8956669416285548,0.7258980813696552,0.7815938146092418,0.910603720325823,0.6080055031491678,0.6373376427438405,0.6236058332250656,0.626150580629609,0.5983819428477098
SPO2,0.7079816224220911,0.706960361788873,0.633210958552574,0.7017374067051343,0.7409915346353236,0.5558379005684158,0.5629990983105554,0.5317509079198015,0.5651221452964487,0.5565450290727003
PH,0.782413430733737,0.8991794489234916,0.7259388155750583,0.763320240136327,0.9143439693695117,0.6324646847641595,0.6176177183773178,0.6108695387668635,0.5999912361593449,0.5757492291274486
CA_ION,0.7195168490418651,0.7243106513719044,0.6593135159526023,0.6672778874982108,0.729966062259959,0.5587105760620834,0.5503685770389433,0.5480026978477784,0.5489334783232762,0.5457742589007971
HCO3,0.7805363751667105,0.8982788896810521,0.733831778097668,0.7834836100965665,0.9052092705810928,0.6664747270776803,0.6524004576633755,0.6305531135411513,0.6340510843039575,0.6119911287943486
HEMOGLOBIN,0.7851875770443796,0.8990439365119217,0.7236927630143549,0.7641396999998459,0.9163463072855658,0.6368411068359897,0.6236280482956262,0.6042895494961551,0.5994137245365545,0.5925099185688876
WBC,0.7878294778049348,0.8979611768095069,0.730784388952896,0.7659153910376635,0.9110585083566138,0.6432706034159312,0.6330549544566909,0.6324879500519967,0.6325596030615238,0.5882765353212638
RBC,0.7867890429700077,0.9042605283755779,0.7265069280326655,0.7675384687417687,0.9150572650236548,0.6410341368336728,0.6226910549565037,0.61116201072523,0.6049879110929588,0.579936109358388
HEMATOCRIT,0.7855087675292748,0.8975974663622774,0.720300942882004,0.7746369519514886,0.9079110459749525,0.6491528728821823,0.6380663175686873,0.608120953117222,0.6312988154573724,0.598059734477822
PLT,0.7543277924017006,0.8079872195332176,0.7233927676834251,0.7285148147449747,0.8419245991200417,0.6167007558048933,0.6018693964444115,0.606938078631275,0.6137016508731152,0.5755672380676085
RDW,0.7667537165256204,0.8528296424085207,0.7222793886440694,0.7365273588101219,0.8830506555736368,0.5922168475685019,0.5855321055421512,0.6008357097567811,0.5775905805453647,0.5702911592389528
ALT,0.7758131455446522,0.8416103435252464,0.7114068744931383,0.7601882564918356,0.8346947055207301,0.6597141939627489,0.6108355760374842,0.6118348355507618,0.6092506657428602,0.5968046126909374
AST,0.7750849510315572,0.8755042718316464,0.7137805838519888,0.791463127027257,0.8675082365947354,0.6633264093918774,0.6290534253120904,0.6102113232980894,0.6433712816731934,0.5789393378232766
ALB,0.7735170016416688,0.8668851652145806,0.7164064549282183,0.7418421052443295,0.8967835003397651,0.6130232751529426,0.6053979703760196,0.5915130838439835,0.5831576294761907,0.5720126074004062
TOTALBILIRUBIN,0.7853477964131941,0.902303223405795,0.7274356702191533,0.76457724875416,0.9104603783517098,0.6375692248423004,0.6184152364743851,0.6060687158020548,0.6013154158844469,0.5792192794839928
CK,0.7799444334215743,0.8128739158132856,0.7485444141626441,0.7678614316416694,0.8680932922121036,0.6449322871306007,0.6155912179197133,0.6171647053799307,0.6021496741420087,0.5906535025735429
CR,0.7843125025111168,0.8880735836661984,0.7154785624703196,0.7461989168868335,0.8985838910923412,0.6125285266933894,0.6049254873132714,0.5973053198122904,0.5846278336356366,0.5727942148080828
UN,0.7937930168760869,0.8824591509822237,0.7355703668657271,0.785794927901592,0.8974454783328019,0.6118367462111841,0.6208601728391472,0.6041080261021867,0.6216732986429956,0.5795372873244771
CL_ION,0.776080047152917,0.8279175547390618,0.710565086246026,0.7886566977016807,0.8490768013563943,0.6488333180981551,0.6409563649840537,0.6156207281174784,0.5993507757565133,0.6045159270377383
GLU,0.8029316188934363,0.857489727786338,0.717001850222986,0.7939008427658303,0.9008585762158133,0.648448959618097,0.6503592904424873,0.6109614461131954,0.6520092080934232,0.601985155737039
K_ION,0.7851326303530326,0.9058959999014431,0.728891282449348,0.7710081407038809,0.917689140263249,0.639739386645504,0.6259433939010175,0.6126718659279624,0.6059380609601992,0.5800102493001054
NA_ION,0.7603355283846835,0.8436139377447707,0.7033219177502765,0.7646970659711553,0.8191462503109156,0.6332140160265477,0.6401468721319484,0.6179322484019393,0.6202944239386539,0.5833239850272558
APTT,0.7814897461416404,0.8939659068531585,0.7160841437981873,0.7577545280402275,0.8973292350020247,0.6252747252747253,0.6140324506083608,0.6054432416780027,0.6050830782315477,0.5780510417754209
INR,0.7851288084809152,0.8962176894737517,0.7235179179205631,0.7570428413323074,0.9108471835974277,0.6276579620780119,0.6153442091679109,0.6041252439654267,0.5946169038334936,0.5784358957405176
LAC,0.7771311687130044,0.909870438342596,0.7269761381382553,0.7796771150873827,0.9157395464946951,0.6549124278003456,0.6410405709992486,0.6260320922932732,0.6162244993823104,0.5998167825725597
ANION_GAP,0.7853740146316566,0.906402596502863,0.7332211893524918,0.763996378666101,0.9161812854541489,0.6413244892200494,0.628520036526807,0.6363801727823055,0.60230093965972,0.6019559831170489
P_ION,0.7826085739159392,0.9102209023179519,0.732894110864208,0.7895255141082151,0.9161812854541489,0.6579862761210553,0.6445448186931522,0.6381470670250896,0.6375762896700379,0.6004131105604882
INPUT,0.7986743848117845,0.8894093274053548,0.7250841317837919,0.7596063163750573,0.8866711740860456,0.6364819812012268,0.6002715236600961,0.6050183321902607,0.5908939883159815,0.5655633332967394
OUTPUT,0.8038890799984711,0.8532535153546382,0.7237269358500871,0.7650032779555067,0.8846657608302435,0.6228744342366181,0.6048999447758563,0.5993705679204917,0.5803667276824782,0.5716656744670513
INPUT_MINUS_OUTPUT,0.7389124750143957,0.7585699965738604,0.6874411365329843,0.6954062216396721,0.848633699554479,0.6401402876997533,0.613328726384957,0.6135753089512053,0.6001876469741325,0.5824857172569484
HOURS,0.8062069766991782,0.8656808640598013,0.7328876329116973,0.7885231038368266,0.8636586833435953,0.6389826288021843,0.6520273228829144,0.6282269042801811,0.6271146382071334,0.6284521682744862
