,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.7929569592107704,0.8769631784749015,0.7677808633717443,0.7828859190964426,0.8973926683606199,0.6364773006970301,0.6423550559561777,0.644623611569339,0.6243424429047986,0.6243764826946945
ICU,0.781281071761802,0.8629901517831916,0.764881682774873,0.7770458922312459,0.8764383774737378,0.6267291558655794,0.6396426738516808,0.6496834299539678,0.6248510759192053,0.6371774075296015
ETHNICITY,0.7839251634950456,0.8593618112656556,0.7666936747666804,0.7809041598855767,0.8815804201426773,0.6328258786193461,0.6372834545673542,0.6487653375437935,0.6240832168125141,0.6304637135839709
AGE,0.8006832926210934,0.8508210146954442,0.7359401257112279,0.7760908340949682,0.8567217333746595,0.6407434028268737,0.6248445298057638,0.6371456588794101,0.6156200740496353,0.6212134006797485
GENDER,0.7919509989837481,0.8741240962239122,0.7676002968145159,0.7828686378914744,0.8957862157318042,0.6367620566317366,0.6420310233408221,0.6454883531549648,0.6244016852314445,0.6246995333930339
HEIGHT,0.7411563852121601,0.8207874463070295,0.7294346882854481,0.7655152962363906,0.8268665335494815,0.6282544002974554,0.6242602891811073,0.6135515022021125,0.6274027509387127,0.5928847674558662
WEIGHT,0.7393053728617653,0.8002167092269749,0.7300471977256522,0.7581157311434239,0.7861663148354857,0.5900954685184312,0.5973636182725592,0.6144849779788744,0.6030502270192142,0.5987258644797411
BMI,0.7878246783724727,0.8710409462312798,0.7355790584969746,0.7761315354472406,0.8857081030948553,0.6309314333893681,0.6412114499379429,0.6453427021308908,0.6065455242913177,0.6403028493922588
DIAS_BP,0.7418291460633916,0.8238482060610894,0.7185936105798822,0.7668635100148369,0.8484810039134163,0.6072056998318958,0.6291931129649704,0.6370988541683031,0.595849829539206,0.5982136311029416
HR,0.7726759889306951,0.8455625799626125,0.7433679353334484,0.7638465407932225,0.8576559504340215,0.6240508135509785,0.6263295156399742,0.6447362047205334,0.6171554649573455,0.6301079323184239
SYS_BP,0.7993409363750739,0.7926908833830586,0.6799255459502348,0.7594358012452078,0.8164166010484204,0.643149099516635,0.6320216885830545,0.5739376967107089,0.6273405628610181,0.5974009311191759
MEAN_BP,0.7341100012019379,0.7442129152364019,0.7403379757829933,0.7292121752112735,0.7831125565026333,0.6076082858085498,0.588568914863867,0.6214867009159322,0.5929950694673558,0.6133322074018214
RESPRATE,0.7552577295924271,0.8065995487447749,0.7546915343280749,0.7767741000228243,0.8513526198430879,0.6120799359004572,0.634081095871759,0.6448694181290684,0.6153349908092567,0.619433185129325
Temprate,0.7801772162857525,0.8259913996972463,0.7583682714244856,0.7712995459552665,0.8755985708933578,0.6172791865013904,0.641842167968034,0.6375328614894764,0.6235700015186983,0.6310839578325557
SPO2,0.6858848180529942,0.7576186062788263,0.6008741332475752,0.7436093774862305,0.779400635269335,0.6022404727864972,0.6138604787565527,0.5406238707954314,0.6150885296381832,0.6000010473781506
PH,0.7891888185724409,0.8760467625082007,0.7672783084208599,0.7826488538808616,0.8993584727723778,0.6352911449414254,0.6433729765963352,0.6469923227181558,0.6251024466753599,0.621520086094484
CA_ION,0.7148768905649625,0.7806766584638261,0.6547347319113827,0.6915121074097001,0.7637847213834879,0.6077922315962567,0.5901131430247234,0.5810464486025357,0.5875241551585992,0.5727436856189743
HCO3,0.7554578082703927,0.813464339326281,0.751407628343941,0.775542888231157,0.8542850149580112,0.6118403481484973,0.6182404832602787,0.6302247804433552,0.628094020518138,0.6339851953098407
HEMOGLOBIN,0.7890497412028847,0.8682444949945325,0.7655310633788616,0.782022912178628,0.8894548265373328,0.6289567982697313,0.6453921252873743,0.6441486910391563,0.6236364445701299,0.6337963399370525
WBC,0.7832341895742276,0.8346729860876014,0.7648032944829668,0.7717234786005687,0.8769288175779215,0.6263815572418343,0.630425418820338,0.6453207726508617,0.6268862625881761,0.6246471644855016
RBC,0.7899391409032297,0.8749609820632034,0.7672626571225599,0.7813761342806901,0.8950999617023914,0.6320406723120349,0.6426378480568518,0.6457207401821391,0.6246167250579986,0.6247126256199169
HEMATOCRIT,0.7925062637054128,0.836945336047313,0.761253481178243,0.7763893545670735,0.8753660899676788,0.6366916859122402,0.62570305258362,0.6450530366111032,0.6293404005174048,0.6349579477672516
PLT,0.7650590119047982,0.8470816657319331,0.7653563289896312,0.7680583489846189,0.8678239308316826,0.6400622797232827,0.6487512633998942,0.6528412750781606,0.6467419338790173,0.6304977533738669
RDW,0.782425875457658,0.8728360022969085,0.7633736554711008,0.7752102168063767,0.8903092695608256,0.6333436761925709,0.6375937403444827,0.6447761360125266,0.6222594696077045,0.6230724968971422
ALT,0.7833461656467452,0.8470720120038076,0.7515203176917005,0.779750170392681,0.8499317464711319,0.6441814216063638,0.6448301414484192,0.6546718957020837,0.6305098636837336,0.6441493456505004
AST,0.7653388663224937,0.8100529060125663,0.7449268705443225,0.7558797078034614,0.8094937043996194,0.6346489712128115,0.6217397082004472,0.6346689368588082,0.6147550051583374,0.6077814305090782
ALB,0.7874946444531254,0.8766659209538789,0.7591407536083656,0.7781566128785595,0.9008552713377549,0.6410828188088168,0.6464057909537949,0.6418032185930569,0.6226774389509461,0.6224735275172424
TOTALBILIRUBIN,0.7906132895654143,0.8763328390511403,0.7684621067240613,0.781826861022838,0.8927974432063723,0.6358341450514001,0.6414814771174059,0.642523291071625,0.6239575314344368,0.622827672254429
CK,0.7778302408435196,0.8295865366694128,0.7836668322958444,0.7792096472178609,0.8541403310073893,0.6245388263080444,0.6453472844102999,0.6299920661105088,0.6256159892748477,0.6170464721685441
CR,0.7948395949388375,0.8818307409208055,0.7574448118746895,0.7751916189381729,0.8989697722105423,0.6341098987709017,0.6438184396160311,0.6443480201934508,0.6201398380753379,0.6236410268495389
UN,0.7872899657276187,0.8519140542914734,0.7743064992098565,0.7786410955744119,0.883177234402658,0.6210759322974764,0.6399133556424879,0.6386394819667667,0.6226715474488487,0.6250006546113441
CL_ION,0.7747739380704488,0.8185430205101185,0.7511727600191374,0.769744862923178,0.8251821825178767,0.636755183212623,0.6351546584761695,0.6615868826360414,0.6149517158672553,0.6364200222044167
GLU,0.8009567225656127,0.8254665065128255,0.7533149779300219,0.7532868028934727,0.8565566342963478,0.6456867003922431,0.6250523689075322,0.6391877189674946,0.6191078432912811,0.6297796447293313
K_ION,0.7883900943854907,0.8733507609522912,0.7690687839962673,0.7812658308181225,0.8966852402768374,0.6324131461668578,0.6433438463915204,0.6445990636439334,0.6242864736348734,0.6224103575225317
NA_ION,0.7337557975412731,0.7706333024772277,0.7249094201704707,0.7549869278382306,0.8313605395682471,0.6328180232832163,0.619039109100145,0.637081179662011,0.6148358496593402,0.6281787926872058
APTT,0.7865550652511286,0.8732923200727498,0.7553505034116534,0.7805344573072933,0.8850147910473193,0.6274669028504396,0.6322203631260048,0.6445820437489853,0.6304241095976497,0.6235097772750362
INR,0.7948668833564542,0.8792936864900882,0.765780330898101,0.781621214683718,0.8998376373944599,0.6377606662372417,0.6440462443637963,0.6448638539326431,0.6233268134043456,0.6269651432551465
LAC,0.7705790221739756,0.8489163925865779,0.7586392201106333,0.7683491834350862,0.870504383972492,0.6219380554377255,0.6261638989699037,0.6368808685907004,0.614303323330872,0.6298310317198472
ANION_GAP,0.7874990417867072,0.8659934322595353,0.7676831663202512,0.7826763063093252,0.8754420910537679,0.6307671259419857,0.640775151477065,0.6520940362288102,0.622861384738653,0.6381704529386812
P_ION,0.7746460567488062,0.8550766495642954,0.7659694315316656,0.775184936872252,0.8754420910537679,0.6224116667452201,0.6370687420464722,0.6457197582651228,0.6234649363979619,0.6309733285153938
INPUT,0.7880925414797981,0.7635306568560655,0.7552725434710692,0.7504445877998116,0.8121314733355881,0.6286183642048043,0.5867062182840804,0.6261040020319136,0.5999516242216671,0.5913130456185554
OUTPUT,0.7677914401442125,0.8345558215044524,0.7513071634839065,0.7495123737706727,0.8539188653603789,0.5960900719025101,0.6170978591590601,0.6159735641754778,0.583451817986625,0.6045813629531874
INPUT_MINUS_OUTPUT,0.7498610161907328,0.806580599532341,0.7233784595959263,0.7327209675262787,0.8635243618283125,0.6813024670992338,0.6627131414536562,0.6794803564227847,0.6496723015611172,0.6413904861405686
HOURS,0.7042813749595118,0.731733341026148,0.6926805303121165,0.658223799570149,0.7476596544298919,0.5806945950050536,0.5883960974690107,0.5839594690840154,0.5663906825239718,0.5897727451257639
