Arguments: Namespace(dropout=0, gap=4, hidden_size=32, num_epochs=400, num_layers=1, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190105/LSTM_32_1')
iter: 000, train loss: 0.74583495, test loss: 0.64752173
         , train AUC: 0.42106391, test AUC: 0.52964868
         , train F-1: 0.43621900, test F-1: 0.42295623
iter: 001, train loss: 0.62496209, test loss: 0.63103116
         , train AUC: 0.52106851, test AUC: 0.61387183
         , train F-1: 0.44995312, test F-1: 0.41505414
iter: 002, train loss: 0.59770280, test loss: 0.62808150
         , train AUC: 0.63619088, test AUC: 0.64640208
         , train F-1: 0.42252798, test F-1: 0.42145310
iter: 003, train loss: 0.58897090, test loss: 0.62887651
         , train AUC: 0.67004275, test AUC: 0.65698891
         , train F-1: 0.42419305, test F-1: 0.42465756
iter: 004, train loss: 0.58358985, test loss: 0.62522483
         , train AUC: 0.69175604, test AUC: 0.67657422
         , train F-1: 0.42819035, test F-1: 0.42667898
iter: 005, train loss: 0.57985348, test loss: 0.61765134
         , train AUC: 0.70100215, test AUC: 0.70417048
         , train F-1: 0.43218345, test F-1: 0.42865569
iter: 006, train loss: 0.57286346, test loss: 0.60528076
         , train AUC: 0.71696737, test AUC: 0.73476734
         , train F-1: 0.43557303, test F-1: 0.43077015
iter: 007, train loss: 0.56326431, test loss: 0.59148532
         , train AUC: 0.73408867, test AUC: 0.75249526
         , train F-1: 0.43863115, test F-1: 0.43579634
iter: 008, train loss: 0.55267006, test loss: 0.57598555
         , train AUC: 0.74649330, test AUC: 0.76195663
         , train F-1: 0.44221044, test F-1: 0.44887564
iter: 009, train loss: 0.54364109, test loss: 0.56355864
         , train AUC: 0.75356731, test AUC: 0.76805898
         , train F-1: 0.45134337, test F-1: 0.46602157
iter: 010, train loss: 0.53805244, test loss: 0.55858850
         , train AUC: 0.75626259, test AUC: 0.76571361
         , train F-1: 0.47508973, test F-1: 0.49640122
iter: 011, train loss: 0.53354883, test loss: 0.55410218
         , train AUC: 0.75986590, test AUC: 0.77046717
         , train F-1: 0.51757903, test F-1: 0.52727412
iter: 012, train loss: 0.52992350, test loss: 0.54738867
         , train AUC: 0.76152290, test AUC: 0.77722495
         , train F-1: 0.54354108, test F-1: 0.54502891
iter: 013, train loss: 0.52394617, test loss: 0.54146063
         , train AUC: 0.76572143, test AUC: 0.78417997
         , train F-1: 0.56189833, test F-1: 0.56065344
iter: 014, train loss: 0.51605272, test loss: 0.53604519
         , train AUC: 0.77194790, test AUC: 0.79095300
         , train F-1: 0.58495480, test F-1: 0.58483370
iter: 015, train loss: 0.50853056, test loss: 0.53228170
         , train AUC: 0.77892498, test AUC: 0.79361901
         , train F-1: 0.62991116, test F-1: 0.60758829
iter: 016, train loss: 0.50458336, test loss: 0.52333468
         , train AUC: 0.78214728, test AUC: 0.80183680
         , train F-1: 0.64738509, test F-1: 0.64324385
iter: 017, train loss: 0.50134522, test loss: 0.51795477
         , train AUC: 0.78623805, test AUC: 0.80701022
         , train F-1: 0.67257706, test F-1: 0.67000752
iter: 018, train loss: 0.49538997, test loss: 0.51129907
         , train AUC: 0.79266998, test AUC: 0.81236717
         , train F-1: 0.68610393, test F-1: 0.68099342
iter: 019, train loss: 0.48995826, test loss: 0.50858080
         , train AUC: 0.79805276, test AUC: 0.81428386
         , train F-1: 0.69498978, test F-1: 0.68257929
iter: 020, train loss: 0.48520949, test loss: 0.51203358
         , train AUC: 0.80228615, test AUC: 0.81010835
         , train F-1: 0.69879100, test F-1: 0.66564763
