Arguments: Namespace(gap=6, hidden_size=32, num_epochs=400, num_layers=1, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190105/LSTM_32_1')
iter: 000, train loss: 0.98706722, test loss: 0.74305570
         , train AUC: 0.48846362, test AUC: 0.48511205
         , train F-1: 0.22870296, test F-1: 0.41251862
iter: 001, train loss: 0.74108309, test loss: 0.68364066
         , train AUC: 0.50551774, test AUC: 0.49655592
         , train F-1: 0.37956242, test F-1: 0.44415170
iter: 002, train loss: 0.62883759, test loss: 0.68742096
         , train AUC: 0.53709306, test AUC: 0.54546460
         , train F-1: 0.48891877, test F-1: 0.40615538
iter: 003, train loss: 0.59127074, test loss: 0.71244633
         , train AUC: 0.59048051, test AUC: 0.60217897
         , train F-1: 0.43937081, test F-1: 0.40695229
iter: 004, train loss: 0.58835107, test loss: 0.71893656
         , train AUC: 0.64084014, test AUC: 0.63921182
         , train F-1: 0.43573177, test F-1: 0.40923816
iter: 005, train loss: 0.58509791, test loss: 0.70382619
         , train AUC: 0.67627985, test AUC: 0.66061451
         , train F-1: 0.42604226, test F-1: 0.40312345
iter: 006, train loss: 0.57328433, test loss: 0.67690974
         , train AUC: 0.70217153, test AUC: 0.67425573
         , train F-1: 0.42518933, test F-1: 0.40082670
iter: 007, train loss: 0.55949092, test loss: 0.65476710
         , train AUC: 0.72035840, test AUC: 0.66980280
         , train F-1: 0.42734593, test F-1: 0.42046351
iter: 008, train loss: 0.55270600, test loss: 0.64186120
         , train AUC: 0.72320181, test AUC: 0.66973402
         , train F-1: 0.47251354, test F-1: 0.42375039
iter: 009, train loss: 0.54996634, test loss: 0.63590401
         , train AUC: 0.72705962, test AUC: 0.67753337
         , train F-1: 0.48211005, test F-1: 0.42748375
iter: 010, train loss: 0.54615211, test loss: 0.62847835
         , train AUC: 0.73470412, test AUC: 0.68958043
         , train F-1: 0.50127171, test F-1: 0.44444008
iter: 011, train loss: 0.54114473, test loss: 0.62203926
         , train AUC: 0.74264855, test AUC: 0.69908610
         , train F-1: 0.51653405, test F-1: 0.46873695
iter: 012, train loss: 0.53456259, test loss: 0.61710203
         , train AUC: 0.74943547, test AUC: 0.70250180
         , train F-1: 0.54233005, test F-1: 0.49649288
iter: 013, train loss: 0.52724099, test loss: 0.61424464
         , train AUC: 0.75692661, test AUC: 0.70511435
         , train F-1: 0.57399997, test F-1: 0.52390614
iter: 014, train loss: 0.52075702, test loss: 0.61338454
         , train AUC: 0.76345562, test AUC: 0.70820685
         , train F-1: 0.60604063, test F-1: 0.54325872
iter: 015, train loss: 0.51747978, test loss: 0.61073589
         , train AUC: 0.76585982, test AUC: 0.71151316
         , train F-1: 0.63003289, test F-1: 0.57062280
iter: 016, train loss: 0.51413697, test loss: 0.60825688
         , train AUC: 0.76961337, test AUC: 0.71338355
         , train F-1: 0.64605421, test F-1: 0.58726359
iter: 017, train loss: 0.51112461, test loss: 0.60192341
         , train AUC: 0.77327664, test AUC: 0.71917021
         , train F-1: 0.66081336, test F-1: 0.60543349
iter: 018, train loss: 0.50694329, test loss: 0.59694052
         , train AUC: 0.77908919, test AUC: 0.72274147
         , train F-1: 0.67074877, test F-1: 0.62168188
iter: 019, train loss: 0.50346482, test loss: 0.59081256
         , train AUC: 0.78360223, test AUC: 0.72797601
         , train F-1: 0.67667232, test F-1: 0.63462467
iter: 020, train loss: 0.49895212, test loss: 0.58498234
         , train AUC: 0.78856797, test AUC: 0.73300043
         , train F-1: 0.68663287, test F-1: 0.64567439
iter: 021, train loss: 0.49492121, test loss: 0.58319980
         , train AUC: 0.79201597, test AUC: 0.73628061
         , train F-1: 0.69078380, test F-1: 0.64972938
iter: 022, train loss: 0.49115735, test loss: 0.58244705
         , train AUC: 0.79441832, test AUC: 0.73930547
         , train F-1: 0.69284851, test F-1: 0.64887319
iter: 023, train loss: 0.48612085, test loss: 0.58246648
         , train AUC: 0.79900592, test AUC: 0.74211129
         , train F-1: 0.69727420, test F-1: 0.65319213
iter: 024, train loss: 0.48293257, test loss: 0.58186895
         , train AUC: 0.80140878, test AUC: 0.74509952
         , train F-1: 0.70131871, test F-1: 0.65284970
iter: 025, train loss: 0.48002103, test loss: 0.57665712
         , train AUC: 0.80444145, test AUC: 0.74902838
         , train F-1: 0.70191144, test F-1: 0.66098114
iter: 026, train loss: 0.47673637, test loss: 0.56837630
         , train AUC: 0.80746699, test AUC: 0.75200583
