Arguments: Namespace(dropout=0.2, gap=4, hidden_size=8, l1=5e-05, lr=0.01, num_epochs=400, num_layers=1, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190105/LSTM_8_1_ep=400_dr=0.2_lr=0.01_wd=0_l1=5e-05', weight_decay=0)
iter: 000, train loss: 0.71757913, test loss: 0.68685782
         , train AUC: 0.46967666, test AUC: 0.48685719
         , train F-1: 0.41474402, test F-1: 0.52704580
iter: 001, train loss: 0.69019902, test loss: 0.66460609
         , train AUC: 0.50332669, test AUC: 0.53988989
         , train F-1: 0.53652502, test F-1: 0.52787685
iter: 002, train loss: 0.66441071, test loss: 0.64285040
         , train AUC: 0.56004426, test AUC: 0.58679252
         , train F-1: 0.52977042, test F-1: 0.51472839
iter: 003, train loss: 0.63908750, test loss: 0.62383419
         , train AUC: 0.60672498, test AUC: 0.62892542
         , train F-1: 0.51468190, test F-1: 0.49383270
iter: 004, train loss: 0.61562788, test loss: 0.61048830
         , train AUC: 0.64248042, test AUC: 0.66206382
         , train F-1: 0.50134296, test F-1: 0.48782594
iter: 005, train loss: 0.59851032, test loss: 0.60683197
         , train AUC: 0.66341909, test AUC: 0.67730407
         , train F-1: 0.49006505, test F-1: 0.47669180
iter: 006, train loss: 0.58974695, test loss: 0.60971236
         , train AUC: 0.67166501, test AUC: 0.68196959
         , train F-1: 0.48534443, test F-1: 0.46709599
iter: 007, train loss: 0.58621037, test loss: 0.60830742
         , train AUC: 0.67814276, test AUC: 0.69732180
         , train F-1: 0.48309687, test F-1: 0.47176394
iter: 008, train loss: 0.58334851, test loss: 0.60198838
         , train AUC: 0.68735375, test AUC: 0.71336217
         , train F-1: 0.48746754, test F-1: 0.48380590
iter: 009, train loss: 0.57807428, test loss: 0.58918023
         , train AUC: 0.69858444, test AUC: 0.73466334
         , train F-1: 0.49575053, test F-1: 0.50097038
iter: 010, train loss: 0.57249516, test loss: 0.57587725
         , train AUC: 0.70629699, test AUC: 0.74774398
         , train F-1: 0.51544289, test F-1: 0.52530782
iter: 011, train loss: 0.56677556, test loss: 0.56518048
         , train AUC: 0.71279507, test AUC: 0.75552623
         , train F-1: 0.53980911, test F-1: 0.56042063
iter: 012, train loss: 0.56228954, test loss: 0.55667365
         , train AUC: 0.72020946, test AUC: 0.76369192
         , train F-1: 0.56626565, test F-1: 0.59522382
iter: 013, train loss: 0.55985570, test loss: 0.54967207
         , train AUC: 0.72691364, test AUC: 0.77297243
         , train F-1: 0.59032502, test F-1: 0.61221448
iter: 014, train loss: 0.55496305, test loss: 0.54549825
         , train AUC: 0.73551066, test AUC: 0.77928102
         , train F-1: 0.60405447, test F-1: 0.62251597
iter: 015, train loss: 0.54973727, test loss: 0.54375410
         , train AUC: 0.74320959, test AUC: 0.78158936
         , train F-1: 0.61464054, test F-1: 0.62146479
iter: 016, train loss: 0.54473990, test loss: 0.54358417
         , train AUC: 0.74713885, test AUC: 0.78585607
         , train F-1: 0.61633822, test F-1: 0.61027764
iter: 017, train loss: 0.54240042, test loss: 0.54185468
         , train AUC: 0.74717605, test AUC: 0.79141212
         , train F-1: 0.60899136, test F-1: 0.60605001
iter: 018, train loss: 0.54046631, test loss: 0.53991413
         , train AUC: 0.74891572, test AUC: 0.79704747
         , train F-1: 0.60491719, test F-1: 0.60632925
iter: 019, train loss: 0.53749174, test loss: 0.53946006
         , train AUC: 0.75295511, test AUC: 0.79844216
         , train F-1: 0.60550836, test F-1: 0.60671233
iter: 020, train loss: 0.53400677, test loss: 0.53704298
         , train AUC: 0.75804708, test AUC: 0.80023018
         , train F-1: 0.60839790, test F-1: 0.61694059
iter: 021, train loss: 0.53038806, test loss: 0.53349036
         , train AUC: 0.76283822, test AUC: 0.80123591
         , train F-1: 0.61348721, test F-1: 0.61759511
iter: 022, train loss: 0.52705073, test loss: 0.53294969
         , train AUC: 0.76706750, test AUC: 0.79602299
         , train F-1: 0.62226723, test F-1: 0.62326598
iter: 023, train loss: 0.52568769, test loss: 0.53125000
