Arguments: Namespace(dropout=0.2, gap=4, hidden_size=8, num_epochs=500, num_layers=1, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190105/LSTM_8_1_epoch=500_dr=0.2_lr=0.005_wd=1e-05')
iter: 000, train loss: 0.67727846, test loss: 0.67225516
         , train AUC: 0.48560232, test AUC: 0.48486124
         , train F-1: 0.49030264, test F-1: 0.44781131
iter: 001, train loss: 0.66725421, test loss: 0.66296816
         , train AUC: 0.51402707, test AUC: 0.50463717
         , train F-1: 0.46257606, test F-1: 0.42941003
iter: 002, train loss: 0.65743619, test loss: 0.65317762
         , train AUC: 0.54248827, test AUC: 0.53757250
         , train F-1: 0.43668333, test F-1: 0.42399206
iter: 003, train loss: 0.64794111, test loss: 0.64427614
         , train AUC: 0.56626073, test AUC: 0.56354640
         , train F-1: 0.42374212, test F-1: 0.40953429
iter: 004, train loss: 0.63861662, test loss: 0.63535082
         , train AUC: 0.58973826, test AUC: 0.58313367
         , train F-1: 0.41539589, test F-1: 0.40826684
iter: 005, train loss: 0.62984389, test loss: 0.62923890
         , train AUC: 0.60104087, test AUC: 0.58501095
         , train F-1: 0.41271711, test F-1: 0.40734267
iter: 006, train loss: 0.62209487, test loss: 0.62287992
         , train AUC: 0.60539504, test AUC: 0.59022069
         , train F-1: 0.41171489, test F-1: 0.40682245
iter: 007, train loss: 0.61510611, test loss: 0.61757320
         , train AUC: 0.60705656, test AUC: 0.60066788
         , train F-1: 0.41133001, test F-1: 0.40685928
iter: 008, train loss: 0.60893041, test loss: 0.61359727
         , train AUC: 0.61461099, test AUC: 0.60542770
         , train F-1: 0.41099746, test F-1: 0.40670111
iter: 009, train loss: 0.60376960, test loss: 0.61020201
         , train AUC: 0.61952730, test AUC: 0.61497964
         , train F-1: 0.41074357, test F-1: 0.40652446
iter: 010, train loss: 0.60010040, test loss: 0.60758889
         , train AUC: 0.62591180, test AUC: 0.63082529
         , train F-1: 0.41069598, test F-1: 0.40652446
iter: 011, train loss: 0.59688562, test loss: 0.60537326
         , train AUC: 0.63711824, test AUC: 0.64390183
         , train F-1: 0.41064304, test F-1: 0.40670111
iter: 012, train loss: 0.59460038, test loss: 0.60374665
         , train AUC: 0.64432818, test AUC: 0.65397772
         , train F-1: 0.41075427, test F-1: 0.40685928
iter: 013, train loss: 0.59283710, test loss: 0.60249835
         , train AUC: 0.65243474, test AUC: 0.66167977
         , train F-1: 0.41070133, test F-1: 0.40684087
iter: 014, train loss: 0.59139830, test loss: 0.60115510
         , train AUC: 0.66189406, test AUC: 0.66651224
         , train F-1: 0.41074892, test F-1: 0.40684087
iter: 015, train loss: 0.58980852, test loss: 0.60003221
         , train AUC: 0.66785471, test AUC: 0.66992077
         , train F-1: 0.41064838, test F-1: 0.41158741
iter: 016, train loss: 0.58801210, test loss: 0.59870887
         , train AUC: 0.67397423, test AUC: 0.67360526
         , train F-1: 0.41526651, test F-1: 0.41882491
iter: 017, train loss: 0.58624071, test loss: 0.59776717
         , train AUC: 0.68072246, test AUC: 0.67524427
         , train F-1: 0.42596694, test F-1: 0.42059656
iter: 018, train loss: 0.58438832, test loss: 0.59647650
         , train AUC: 0.68684539, test AUC: 0.67679382
         , train F-1: 0.42848294, test F-1: 0.46731252
iter: 019, train loss: 0.58270872, test loss: 0.59554154
         , train AUC: 0.69154702, test AUC: 0.67742971
         , train F-1: 0.46594193, test F-1: 0.48350476
iter: 020, train loss: 0.58115679, test loss: 0.59433931
         , train AUC: 0.69579119, test AUC: 0.67648784
         , train F-1: 0.48076149, test F-1: 0.49009367
iter: 021, train loss: 0.57950509, test loss: 0.59310508
         , train AUC: 0.70022378, test AUC: 0.67586253
         , train F-1: 0.49202450, test F-1: 0.49550229
iter: 022, train loss: 0.57760221, test loss: 0.59165448
         , train AUC: 0.70334881, test AUC: 0.67650466
         , train F-1: 0.49511138, test F-1: 0.50500625
iter: 023, train loss: 0.57578820, test loss: 0.59048849
         , train AUC: 0.70679593, test AUC: 0.67619554
         , train F-1: 0.49991670, test F-1: 0.50472172
iter: 024, train loss: 0.57391274, test loss: 0.58934683
         , train AUC: 0.70978614, test AUC: 0.67628670
