Arguments: Namespace(dropout=0.2, gap=1, hidden_size=8, l1=0.0001, lr=0.01, num_epochs=400, num_layers=2, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190105/LSTM_8_2_ep=400_dr=0.2_lr=0.01_wd=0.0_l1=0.0001', weight_decay=0.0)
iter: 000, train loss: 0.71374756, test loss: 0.65988141
         , train AUC: 0.57194199, test AUC: 0.58040718
         , train F-1: 0.50146612, test F-1: 0.40179615
iter: 001, train loss: 0.68983877, test loss: 0.64622843
         , train AUC: 0.60990644, test AUC: 0.57730327
         , train F-1: 0.41379936, test F-1: 0.40118931
iter: 002, train loss: 0.67061645, test loss: 0.63524747
         , train AUC: 0.60483191, test AUC: 0.56760064
         , train F-1: 0.41298655, test F-1: 0.40015015
iter: 003, train loss: 0.65338302, test loss: 0.62926638
         , train AUC: 0.60235924, test AUC: 0.56149945
         , train F-1: 0.41251879, test F-1: 0.39958509
iter: 004, train loss: 0.63881612, test loss: 0.62782961
         , train AUC: 0.60788365, test AUC: 0.57380045
         , train F-1: 0.41192050, test F-1: 0.39958509
iter: 005, train loss: 0.62894219, test loss: 0.63327581
         , train AUC: 0.61954634, test AUC: 0.58316389
         , train F-1: 0.41187021, test F-1: 0.39958509
iter: 006, train loss: 0.62610561, test loss: 0.64144546
         , train AUC: 0.62734701, test AUC: 0.59348573
         , train F-1: 0.41187021, test F-1: 0.39956324
iter: 007, train loss: 0.62707120, test loss: 0.64416671
         , train AUC: 0.63487720, test AUC: 0.60815493
         , train F-1: 0.41192050, test F-1: 0.39978083
iter: 008, train loss: 0.62524891, test loss: 0.63934380
         , train AUC: 0.64582774, test AUC: 0.62305704
         , train F-1: 0.41197079, test F-1: 0.39997650
iter: 009, train loss: 0.61938053, test loss: 0.63076776
         , train AUC: 0.65812117, test AUC: 0.63481207
         , train F-1: 0.41225291, test F-1: 0.40045302
iter: 010, train loss: 0.61264771, test loss: 0.61901957
         , train AUC: 0.66483093, test AUC: 0.65194514
         , train F-1: 0.41302790, test F-1: 0.40295575
iter: 011, train loss: 0.60601401, test loss: 0.61174047
         , train AUC: 0.67278157, test AUC: 0.65909646
         , train F-1: 0.41837950, test F-1: 0.41042659
iter: 012, train loss: 0.60108334, test loss: 0.60777825
         , train AUC: 0.67999367, test AUC: 0.66089352
         , train F-1: 0.42949146, test F-1: 0.42190432
iter: 013, train loss: 0.59922940, test loss: 0.60279953
         , train AUC: 0.68384769, test AUC: 0.67023229
         , train F-1: 0.44726914, test F-1: 0.44034939
iter: 014, train loss: 0.59593427, test loss: 0.59780800
         , train AUC: 0.69202812, test AUC: 0.67966134
         , train F-1: 0.46486136, test F-1: 0.44969333
iter: 015, train loss: 0.59062636, test loss: 0.58978546
         , train AUC: 0.70263668, test AUC: 0.69578737
         , train F-1: 0.47785614, test F-1: 0.45749505
iter: 016, train loss: 0.58174187, test loss: 0.58439040
         , train AUC: 0.71760973, test AUC: 0.70567726
         , train F-1: 0.49090151, test F-1: 0.46250237
iter: 017, train loss: 0.57463515, test loss: 0.57888061
         , train AUC: 0.72555367, test AUC: 0.71598052
         , train F-1: 0.49652714, test F-1: 0.46434088
iter: 018, train loss: 0.56879318, test loss: 0.57369107
         , train AUC: 0.73130730, test AUC: 0.72527870
         , train F-1: 0.50148268, test F-1: 0.47735005
iter: 019, train loss: 0.56382561, test loss: 0.56569487
         , train AUC: 0.73721864, test AUC: 0.73702021
         , train F-1: 0.51459422, test F-1: 0.50026794
iter: 020, train loss: 0.55895543, test loss: 0.55707037
         , train AUC: 0.74325475, test AUC: 0.74727362
         , train F-1: 0.54686388, test F-1: 0.53842118
iter: 021, train loss: 0.55279934, test loss: 0.54810780
         , train AUC: 0.75167839, test AUC: 0.75745069
         , train F-1: 0.58271673, test F-1: 0.56374740
iter: 022, train loss: 0.54523891, test loss: 0.53834999
         , train AUC: 0.76162361, test AUC: 0.76843980
         , train F-1: 0.61214707, test F-1: 0.61061802
iter: 023, train loss: 0.53709877, test loss: 0.53244293
         , train AUC: 0.77382278, test AUC: 0.77346675
         , train F-1: 0.64707927, test F-1: 0.64185989
iter: 024, train loss: 0.53219700, test loss: 0.53101569
         , train AUC: 0.78069563, test AUC: 0.77368365
         , train F-1: 0.66811429, test F-1: 0.64672105
iter: 025, train loss: 0.52490592, test loss: 0.52824521
         , train AUC: 0.78648958, test AUC: 0.77855202
         , train F-1: 0.67363809, test F-1: 0.65401177
iter: 026, train loss: 0.51695246, test loss: 0.52539426
         , train AUC: 0.79400229, test AUC: 0.78362422
         , train F-1: 0.68431770, test F-1: 0.67152953
iter: 027, train loss: 0.50987613, test loss: 0.51966310
         , train AUC: 0.80080939, test AUC: 0.79250135
         , train F-1: 0.70068441, test F-1: 0.69138579
iter: 028, train loss: 0.50442249, test loss: 0.51638049
         , train AUC: 0.80612872, test AUC: 0.79538794
         , train F-1: 0.71321827, test F-1: 0.69881528
iter: 029, train loss: 0.49912876, test loss: 0.51544255
         , train AUC: 0.81124278, test AUC: 0.79431751
         , train F-1: 0.72114954, test F-1: 0.70459371
iter: 030, train loss: 0.49217477, test loss: 0.51780683
         , train AUC: 0.81689053, test AUC: 0.79000389
         , train F-1: 0.72854962, test F-1: 0.70431613
iter: 031, train loss: 0.48958650, test loss: 0.52037764
         , train AUC: 0.81873755, test AUC: 0.79040282
         , train F-1: 0.73671706, test F-1: 0.70332200
iter: 032, train loss: 0.48638496, test loss: 0.53480643
         , train AUC: 0.82162620, test AUC: 0.78378070
         , train F-1: 0.74384042, test F-1: 0.69488526
iter: 033, train loss: 0.48546475, test loss: 0.52565950
         , train AUC: 0.82206359, test AUC: 0.78901959
         , train F-1: 0.74313435, test F-1: 0.71028445
iter: 034, train loss: 0.48252019, test loss: 0.51655132
         , train AUC: 0.82620973, test AUC: 0.80314201
         , train F-1: 0.74787745, test F-1: 0.71379247
iter: 035, train loss: 0.47506037, test loss: 0.51389241
         , train AUC: 0.83125434, test AUC: 0.80455795
         , train F-1: 0.75303702, test F-1: 0.71429469
iter: 036, train loss: 0.47214931, test loss: 0.50479549
         , train AUC: 0.83242088, test AUC: 0.80491757
         , train F-1: 0.75157856, test F-1: 0.72260461
iter: 037, train loss: 0.46833014, test loss: 0.50405085
         , train AUC: 0.83527741, test AUC: 0.80365525
         , train F-1: 0.76119478, test F-1: 0.72113236
