Arguments: Namespace(dropout=0.2, gap=5, hidden_size=8, lr=0.01, num_epochs=400, num_layers=2, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190105/LSTM_8_2_epoch=400_dr=0.2_lr=0.01_wd=0.0', weight_decay=0.0)
iter: 000, train loss: 0.68256503, test loss: 0.65411240
         , train AUC: 0.36415092, test AUC: 0.38137501
         , train F-1: 0.41592724, test F-1: 0.41738538
iter: 001, train loss: 0.66234070, test loss: 0.63829333
         , train AUC: 0.38868320, test AUC: 0.41828531
         , train F-1: 0.40594723, test F-1: 0.41738538
iter: 002, train loss: 0.64924240, test loss: 0.62721628
         , train AUC: 0.42238267, test AUC: 0.46499119
         , train F-1: 0.40594723, test F-1: 0.41738538
iter: 003, train loss: 0.64014822, test loss: 0.61883092
         , train AUC: 0.46956153, test AUC: 0.51359804
         , train F-1: 0.40594723, test F-1: 0.41738538
iter: 004, train loss: 0.63367701, test loss: 0.61217213
         , train AUC: 0.51563546, test AUC: 0.55173182
         , train F-1: 0.40594723, test F-1: 0.41738538
iter: 005, train loss: 0.62905788, test loss: 0.60690790
         , train AUC: 0.55123145, test AUC: 0.57424639
         , train F-1: 0.40594723, test F-1: 0.41738538
iter: 006, train loss: 0.62564886, test loss: 0.60244650
         , train AUC: 0.57764485, test AUC: 0.58152573
         , train F-1: 0.40594723, test F-1: 0.41738538
iter: 007, train loss: 0.62292922, test loss: 0.59893811
         , train AUC: 0.59236943, test AUC: 0.57300042
         , train F-1: 0.40594723, test F-1: 0.41738538
iter: 008, train loss: 0.62092286, test loss: 0.59548956
         , train AUC: 0.59399328, test AUC: 0.57649435
         , train F-1: 0.40594723, test F-1: 0.41738538
iter: 009, train loss: 0.61933595, test loss: 0.59205043
         , train AUC: 0.59467147, test AUC: 0.59186728
         , train F-1: 0.40594723, test F-1: 0.41738538
iter: 010, train loss: 0.61771137, test loss: 0.58902746
         , train AUC: 0.60186370, test AUC: 0.59627196
         , train F-1: 0.40594723, test F-1: 0.41738538
iter: 011, train loss: 0.61595708, test loss: 0.58571607
         , train AUC: 0.61180799, test AUC: 0.61049462
         , train F-1: 0.40594723, test F-1: 0.41738538
iter: 012, train loss: 0.61351824, test loss: 0.58227867
         , train AUC: 0.62753304, test AUC: 0.62225948
         , train F-1: 0.40594723, test F-1: 0.41738538
