Arguments: Namespace(dropout=0.2, gap=1, hidden_size=8, l1=5e-05, l2=0, lr=0.01, num_epochs=400, num_layers=2, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190105/LSTM_8_2_ep=400_dr=0.2_lr=0.01_wd=0_l1=5e-05')
iter: 000, train loss: 0.68558168, test loss: 0.65069729
         , train AUC: 0.40584586, test AUC: 0.47636315
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 001, train loss: 0.67539388, test loss: 0.64040160
         , train AUC: 0.52598588, test AUC: 0.56370331
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 002, train loss: 0.66560012, test loss: 0.62990713
         , train AUC: 0.61187134, test AUC: 0.60211190
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 003, train loss: 0.65563619, test loss: 0.61940873
         , train AUC: 0.65334941, test AUC: 0.62082180
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 004, train loss: 0.64558542, test loss: 0.60909683
         , train AUC: 0.67055946, test AUC: 0.63324936
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 005, train loss: 0.63655949, test loss: 0.59944379
         , train AUC: 0.67197596, test AUC: 0.64215320
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 006, train loss: 0.62870336, test loss: 0.59057796
         , train AUC: 0.67113126, test AUC: 0.65585570
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 007, train loss: 0.62233371, test loss: 0.58365458
         , train AUC: 0.67323216, test AUC: 0.66666360
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 008, train loss: 0.61747634, test loss: 0.57837576
         , train AUC: 0.67979062, test AUC: 0.67604159
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 009, train loss: 0.61421287, test loss: 0.57507020
         , train AUC: 0.68532002, test AUC: 0.67928624
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 010, train loss: 0.61187261, test loss: 0.57192510
         , train AUC: 0.69279225, test AUC: 0.68605782
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 011, train loss: 0.60853231, test loss: 0.56738508
         , train AUC: 0.70209052, test AUC: 0.69833069
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 012, train loss: 0.60400057, test loss: 0.56318837
         , train AUC: 0.71025157, test AUC: 0.70377528
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 013, train loss: 0.59764338, test loss: 0.55639952
         , train AUC: 0.71981345, test AUC: 0.71699247
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 014, train loss: 0.58972478, test loss: 0.55390090
         , train AUC: 0.73165658, test AUC: 0.71447308
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 015, train loss: 0.58314592, test loss: 0.55217659
         , train AUC: 0.73781368, test AUC: 0.71169668
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 016, train loss: 0.57807755, test loss: 0.54703182
         , train AUC: 0.74071993, test AUC: 0.71892788
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 017, train loss: 0.57180506, test loss: 0.54048288
         , train AUC: 0.74709094, test AUC: 0.72953877
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 018, train loss: 0.56630969, test loss: 0.53492486
         , train AUC: 0.75227227, test AUC: 0.73497018
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 019, train loss: 0.56023937, test loss: 0.52857047
         , train AUC: 0.75704739, test AUC: 0.74160097
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 020, train loss: 0.55337143, test loss: 0.52333593
         , train AUC: 0.76161533, test AUC: 0.74500202
         , train F-1: 0.40764673, test F-1: 0.41645620
iter: 021, train loss: 0.54665440, test loss: 0.51950949
         , train AUC: 0.76554491, test AUC: 0.74728653
         , train F-1: 0.40764673, test F-1: 0.43366303
iter: 022, train loss: 0.53978217, test loss: 0.51713747
         , train AUC: 0.76963581, test AUC: 0.74777827
         , train F-1: 0.42931841, test F-1: 0.50683586
iter: 023, train loss: 0.53620726, test loss: 0.51382238
         , train AUC: 0.77024434, test AUC: 0.75004303
         , train F-1: 0.51707918, test F-1: 0.57935757
iter: 024, train loss: 0.53074473, test loss: 0.51182699
         , train AUC: 0.77509055, test AUC: 0.75188760
         , train F-1: 0.59498294, test F-1: 0.61862606
iter: 025, train loss: 0.52502632, test loss: 0.50812173
         , train AUC: 0.78066055, test AUC: 0.75884824
         , train F-1: 0.64121642, test F-1: 0.63126392
iter: 026, train loss: 0.52088875, test loss: 0.50753587
         , train AUC: 0.78430972, test AUC: 0.75928954
         , train F-1: 0.65944495, test F-1: 0.64545212
iter: 027, train loss: 0.51813406, test loss: 0.50664335
         , train AUC: 0.78705619, test AUC: 0.76183112
         , train F-1: 0.67436542, test F-1: 0.64866061
iter: 028, train loss: 0.51531374, test loss: 0.50509900
         , train AUC: 0.78987711, test AUC: 0.76535531
         , train F-1: 0.68357623, test F-1: 0.65419095
iter: 029, train loss: 0.51419181, test loss: 0.50211537
         , train AUC: 0.79151908, test AUC: 0.76856791
         , train F-1: 0.68525694, test F-1: 0.65753412
iter: 030, train loss: 0.51309907, test loss: 0.50448853
         , train AUC: 0.79306736, test AUC: 0.76603745
         , train F-1: 0.68949823, test F-1: 0.65609837
iter: 031, train loss: 0.51045096, test loss: 0.50577354
         , train AUC: 0.79594660, test AUC: 0.76500331
         , train F-1: 0.69163884, test F-1: 0.68378377
iter: 032, train loss: 0.50759429, test loss: 0.50431180
         , train AUC: 0.79849340, test AUC: 0.76894140
         , train F-1: 0.72085700, test F-1: 0.68653391
iter: 033, train loss: 0.50427979, test loss: 0.50252575
         , train AUC: 0.80136681, test AUC: 0.77199529
         , train F-1: 0.72363907, test F-1: 0.68942278
iter: 034, train loss: 0.50033706, test loss: 0.49922907
         , train AUC: 0.80520053, test AUC: 0.77710426
         , train F-1: 0.72720820, test F-1: 0.69325355
iter: 035, train loss: 0.49685732, test loss: 0.49583229
         , train AUC: 0.80851279, test AUC: 0.78196644
         , train F-1: 0.73110037, test F-1: 0.69741450
iter: 036, train loss: 0.49343216, test loss: 0.49394116
         , train AUC: 0.81159881, test AUC: 0.78542517
         , train F-1: 0.73522743, test F-1: 0.69972523
iter: 037, train loss: 0.48971802, test loss: 0.49660492
         , train AUC: 0.81573393, test AUC: 0.78235071
         , train F-1: 0.73828683, test F-1: 0.69645726
iter: 038, train loss: 0.48588639, test loss: 0.49577817
         , train AUC: 0.81929897, test AUC: 0.78246353
         , train F-1: 0.73980921, test F-1: 0.69504720
iter: 039, train loss: 0.48118222, test loss: 0.49775320
         , train AUC: 0.82372093, test AUC: 0.78252998
         , train F-1: 0.74142447, test F-1: 0.67800093
iter: 040, train loss: 0.47901869, test loss: 0.49827737
         , train AUC: 0.82469904, test AUC: 0.78269848
         , train F-1: 0.72610116, test F-1: 0.68475742
iter: 041, train loss: 0.47682598, test loss: 0.49450132
         , train AUC: 0.82670692, test AUC: 0.78756335
         , train F-1: 0.73304351, test F-1: 0.69122573
iter: 042, train loss: 0.47362494, test loss: 0.49139947
         , train AUC: 0.82928605, test AUC: 0.79249177
         , train F-1: 0.73816719, test F-1: 0.69157921
iter: 043, train loss: 0.47105491, test loss: 0.49055561
         , train AUC: 0.83119246, test AUC: 0.79647385
         , train F-1: 0.73633590, test F-1: 0.69239879
iter: 044, train loss: 0.46953583, test loss: 0.49138108
         , train AUC: 0.83226433, test AUC: 0.80148027
         , train F-1: 0.73710572, test F-1: 0.69609042
iter: 045, train loss: 0.46709716, test loss: 0.49334815
         , train AUC: 0.83470728, test AUC: 0.79983636
         , train F-1: 0.74440440, test F-1: 0.69234565
iter: 046, train loss: 0.46499759, test loss: 0.48852715
         , train AUC: 0.83623709, test AUC: 0.80216234
         , train F-1: 0.74382325, test F-1: 0.69256911
iter: 047, train loss: 0.46313721, test loss: 0.48408213
         , train AUC: 0.83696306, test AUC: 0.80714712
         , train F-1: 0.74325126, test F-1: 0.69619869
iter: 048, train loss: 0.46047115, test loss: 0.48271072
         , train AUC: 0.83901932, test AUC: 0.81114886
         , train F-1: 0.74402166, test F-1: 0.69782118
iter: 049, train loss: 0.45809525, test loss: 0.47897872
         , train AUC: 0.84102046, test AUC: 0.81332510
         , train F-1: 0.74835413, test F-1: 0.70010917
iter: 050, train loss: 0.45379359, test loss: 0.47566348
         , train AUC: 0.84388968, test AUC: 0.81299140
         , train F-1: 0.75067417, test F-1: 0.69395595
iter: 051, train loss: 0.45287552, test loss: 0.47671396
         , train AUC: 0.84473914, test AUC: 0.81391019
         , train F-1: 0.74729395, test F-1: 0.69778410
iter: 052, train loss: 0.44907516, test loss: 0.47190604
         , train AUC: 0.84733319, test AUC: 0.81821939
         , train F-1: 0.75267427, test F-1: 0.70495056
iter: 053, train loss: 0.44579741, test loss: 0.47179201
         , train AUC: 0.84948527, test AUC: 0.81975685
         , train F-1: 0.75984625, test F-1: 0.70578260
iter: 054, train loss: 0.44473848, test loss: 0.46814385
         , train AUC: 0.85059045, test AUC: 0.82275079
