Arguments: Namespace(dropout=0.2, gap=3, hidden_size=8, l1=0.0001, l2=0, lr=0.01, num_epochs=500, num_layers=2, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190105/LSTM_8_2_ep=500_dr=0.2_lr=0.01_wd=0_l1=0.0001')
iter: 000, train loss: 0.67168647, test loss: 0.60949183
         , train AUC: 0.43844680, test AUC: 0.54511448
         , train F-1: 0.40836071, test F-1: 0.41196335
iter: 001, train loss: 0.65900731, test loss: 0.59863669
         , train AUC: 0.52592301, test AUC: 0.64288149
         , train F-1: 0.40836071, test F-1: 0.41196335
iter: 002, train loss: 0.64921606, test loss: 0.58972681
         , train AUC: 0.60849061, test AUC: 0.70228894
         , train F-1: 0.40836071, test F-1: 0.41196335
iter: 003, train loss: 0.64048856, test loss: 0.58576322
         , train AUC: 0.65871787, test AUC: 0.70502863
         , train F-1: 0.40836071, test F-1: 0.41196335
iter: 004, train loss: 0.63473648, test loss: 0.58063138
         , train AUC: 0.67081527, test AUC: 0.71357885
         , train F-1: 0.40836071, test F-1: 0.41196335
iter: 005, train loss: 0.62991285, test loss: 0.57222164
         , train AUC: 0.67645905, test AUC: 0.73176832
         , train F-1: 0.40836071, test F-1: 0.41196335
iter: 006, train loss: 0.62270874, test loss: 0.56245959
         , train AUC: 0.68839907, test AUC: 0.74798991
         , train F-1: 0.40836071, test F-1: 0.41196335
iter: 007, train loss: 0.61500841, test loss: 0.55275673
         , train AUC: 0.69792861, test AUC: 0.75895808
         , train F-1: 0.40836071, test F-1: 0.41196335
iter: 008, train loss: 0.60696852, test loss: 0.54311353
         , train AUC: 0.70565016, test AUC: 0.76575206
         , train F-1: 0.40836071, test F-1: 0.41196335
iter: 009, train loss: 0.59895664, test loss: 0.53312093
         , train AUC: 0.71157266, test AUC: 0.77237106
         , train F-1: 0.40836071, test F-1: 0.42443841
iter: 010, train loss: 0.59227860, test loss: 0.52397287
         , train AUC: 0.71446320, test AUC: 0.77798712
         , train F-1: 0.42451373, test F-1: 0.49727926
iter: 011, train loss: 0.58579922, test loss: 0.51499766
         , train AUC: 0.71855338, test AUC: 0.78422767
         , train F-1: 0.49212325, test F-1: 0.53418113
iter: 012, train loss: 0.58082944, test loss: 0.50780356
         , train AUC: 0.72148820, test AUC: 0.78696089
