Arguments: Namespace(dropout=0.2, gap=5, hidden_size=16, l1=0.0001, l2=0, lr=0.008, num_epochs=100, num_layers=2, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190105_normalized/LSTM_16_2_ep=100_dr=0.2_lr=0.008_l2=0_l1=0.0001')
iter: 000, train loss: 0.86679441, test loss: 0.76575661
         , train AUC: 0.57472428, test AUC: 0.72198197
         , train F-1: 0.23716181, test F-1: 0.23355234
iter: 001, train loss: 0.84008217, test loss: 0.74112117
         , train AUC: 0.67033456, test AUC: 0.75400718
         , train F-1: 0.23716181, test F-1: 0.23355234
iter: 002, train loss: 0.81337929, test loss: 0.71515816
         , train AUC: 0.72218007, test AUC: 0.76985562
         , train F-1: 0.23716181, test F-1: 0.25903508
iter: 003, train loss: 0.78514427, test loss: 0.68612152
         , train AUC: 0.75191092, test AUC: 0.78035426
         , train F-1: 0.25280177, test F-1: 0.51027807
iter: 004, train loss: 0.75444877, test loss: 0.65352029
         , train AUC: 0.76780017, test AUC: 0.78841162
         , train F-1: 0.48835424, test F-1: 0.71474103
iter: 005, train loss: 0.72028363, test loss: 0.61829501
         , train AUC: 0.78212081, test AUC: 0.79364726
         , train F-1: 0.71113081, test F-1: 0.68521667
iter: 006, train loss: 0.68337750, test loss: 0.58281970
         , train AUC: 0.79283833, test AUC: 0.79750177
         , train F-1: 0.68288066, test F-1: 0.62319033
iter: 007, train loss: 0.64610672, test loss: 0.55193335
         , train AUC: 0.80125934, test AUC: 0.79764392
         , train F-1: 0.62476793, test F-1: 0.58965515
iter: 008, train loss: 0.61313421, test loss: 0.52906245
         , train AUC: 0.80836475, test AUC: 0.80188314
         , train F-1: 0.58997427, test F-1: 0.57366923
iter: 009, train loss: 0.58935624, test loss: 0.51712132
         , train AUC: 0.81484761, test AUC: 0.80578038
         , train F-1: 0.57726409, test F-1: 0.58303424
iter: 010, train loss: 0.57681257, test loss: 0.51265174
         , train AUC: 0.82091551, test AUC: 0.80995646
         , train F-1: 0.58518656, test F-1: 0.60807919
iter: 011, train loss: 0.57156497, test loss: 0.50857502
         , train AUC: 0.82629881, test AUC: 0.81562554
         , train F-1: 0.61035169, test F-1: 0.63987394
iter: 012, train loss: 0.56694591, test loss: 0.50188071
         , train AUC: 0.83099062, test AUC: 0.82024998
         , train F-1: 0.64396385, test F-1: 0.66634931
iter: 013, train loss: 0.55803066, test loss: 0.49070489
         , train AUC: 0.83520969, test AUC: 0.82624486
         , train F-1: 0.67616717, test F-1: 0.68993929
iter: 014, train loss: 0.54645169, test loss: 0.47829288
         , train AUC: 0.83891653, test AUC: 0.83027066
         , train F-1: 0.70160433, test F-1: 0.71110166
iter: 015, train loss: 0.53335673, test loss: 0.46520442
         , train AUC: 0.84166202, test AUC: 0.83646841
         , train F-1: 0.72202716, test F-1: 0.72910536
iter: 016, train loss: 0.52057874, test loss: 0.45437831
         , train AUC: 0.84477667, test AUC: 0.84150567
         , train F-1: 0.73921816, test F-1: 0.74355210
iter: 017, train loss: 0.50896710, test loss: 0.44692707
         , train AUC: 0.84813971, test AUC: 0.84509457
         , train F-1: 0.75182186, test F-1: 0.75275495
iter: 018, train loss: 0.50005078, test loss: 0.44002524
         , train AUC: 0.85132355, test AUC: 0.85025597
         , train F-1: 0.76236889, test F-1: 0.76355006
iter: 019, train loss: 0.49329814, test loss: 0.43574360
