,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.9274193390615707,0.8885984673260212,0.9397357117918427,0.923648212492194,0.9372379724993847,0.6745337399076378,0.7115304614836563,0.6753392335323325,0.674966686736579,0.7073770096236626
ICU,0.906806978784534,0.8794806070414529,0.9356275306852928,0.9098812094088167,0.9335717513552386,0.6979206099223515,0.7240338316304356,0.6988722358516632,0.714865799270937,0.7261178801605492
ETHNICITY,0.9254253699262149,0.883545607962076,0.9245177589885782,0.9236905254964685,0.9355615669313369,0.6763532766351968,0.7120687563225933,0.6771344580096077,0.6725681013228634,0.7050159658562838
AGE,0.9224617973185095,0.887680858033019,0.9385201627394589,0.9221053253298258,0.9340963545354682,0.6702372080950507,0.7086926646880931,0.6736751916854234,0.6731598770229443,0.705710250346149
GENDER,0.9182764505710533,0.8868434718206102,0.9365584033660073,0.9208611343787334,0.9361056077969683,0.6712756852378056,0.7100110676305298,0.6712020329730137,0.6732307585741787,0.704742616695376
HEIGHT,0.922787508075619,0.8899200053794477,0.9387501903939963,0.9229961088737275,0.9353304744493356,0.6766901390761192,0.7143282808407441,0.6747277811988818,0.674784116503938,0.7137066742988153
WEIGHT,0.9140978228156573,0.8974385914208292,0.9282767980540729,0.9228681776126031,0.932401995074797,0.6607356777325211,0.7085213067111402,0.6844026257839254,0.6750256329063339,0.6977595279434835
BMI,0.926689911492754,0.8937330219658317,0.9399397336691342,0.9229887701659976,0.9357636265346333,0.6815208324928581,0.7081728666457088,0.667665590097287,0.6752039328908818,0.703042487065563
DIAS_BP,0.8964874087692372,0.8381442234017324,0.928393435336955,0.9031437353794424,0.9146498488097591,0.6354618832783632,0.6512564044206582,0.6295988402584681,0.6317534430302472,0.6614133227173393
HR,0.923535160309057,0.8895017092264188,0.9373454668424206,0.9196101057561819,0.934074616971259,0.6718167355665995,0.7109644595091422,0.6718160581119109,0.6710990903077547,0.7055920306970704
SYS_BP,0.913662980553858,0.857963062605204,0.9297960095247607,0.9030906746559487,0.9142091870843422,0.6516300473228742,0.6768819120359341,0.6365937121548312,0.6435214018592705,0.665837459590589
MEAN_BP,0.8901628488038847,0.84798130117767,0.8956023300810564,0.8841808879262617,0.8757219270115738,0.6817414543658149,0.7113715945532643,0.6895636582857657,0.6810823061775494,0.7010972786873516
