,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.8921243073887042,0.7874613831477415,0.880589734702988,0.8665152587765526,0.8824813838574007,0.5730506881065028,0.5964267125098022,0.5788652073910014,0.5707162739404299,0.5790486360642937
ICU,0.8594297166775917,0.7793830053780845,0.8782750828020536,0.8327941495117033,0.8861052755676421,0.5917562301093355,0.6045016543174682,0.591128172204461,0.6008286721534202,0.5968890033617473
ETHNICITY,0.8828056951727528,0.7817507183008485,0.8395087539579065,0.8682142476998507,0.8796287385295699,0.5744094696995752,0.5956619780767107,0.580033918871327,0.568983901745675,0.5797788383027916
AGE,0.8852169698443355,0.7876330547288541,0.8747937899599816,0.8659669508434513,0.8737276113655456,0.5724614660671689,0.5944880060146289,0.5784819719608374,0.5694736718395176,0.5789188733816211
GENDER,0.880295018788787,0.7893486536727335,0.8788787655340707,0.861248496548757,0.8795704183984211,0.5728307461386728,0.5952240587288289,0.5752833663092365,0.5694171999078367,0.579023925713914
HEIGHT,0.8838104469990431,0.7908829516466281,0.8798531302427504,0.8665696584327822,0.8775009157408382,0.5768372688004387,0.600918017520309,0.5785178560954145,0.5694144221533403,0.5875809926619655
WEIGHT,0.8712570041362651,0.8011089127413762,0.8646186214883687,0.8628912243159756,0.8777116022456352,0.5667453563043778,0.5976953734128174,0.5805464779615961,0.5701060013030363,0.5802775061799221
BMI,0.8901564094346405,0.7958034133624348,0.8826258490260661,0.8642735885574098,0.8799356519378444,0.5738674054973861,0.5957650607673984,0.5764158987530869,0.5708383087926576,0.5785775670468698
DIAS_BP,0.8409576847415627,0.7314432257673623,0.8687107506450915,0.8359923790634209,0.8457367820461708,0.5585527668529171,0.5598618769013936,0.5576089019749515,0.5604673601503094,0.5521358523099508
HR,0.8907024250858427,0.7912932123698544,0.870009257989039,0.8562241727640698,0.8848724569286073,0.5722592364734901,0.5969520657909324,0.5761680682644039,0.5685076223136047,0.5756289231132938
SYS_BP,0.8691938114397983,0.7574853834244144,0.8711794062415514,0.8288383111591389,0.8333894347560251,0.5630593542545943,0.5743892278591476,0.5638115834653512,0.5595913987768556,0.5606204207869436
MEAN_BP,0.8158268317931626,0.7473268230751187,0.7901624732270354,0.8049187894759999,0.7766710035368941,0.583851451644337,0.5975849636330803,0.584633200287262,0.5777835358170377,0.5895866079169703
RESPRATE,0.8862704143856818,0.7839105774650579,0.8634767261774492,0.8703291701439004,0.8768556669850222,0.5695706851879494,0.5953248475506379,0.5776937872272419,0.5688169029939375,0.5770671473992064
