,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.8664581244494423,0.7762311215466509,0.8771428328970621,0.8498238031979921,0.8796160731191615,0.5524872810095316,0.5609378884548749,0.5652078740068518,0.5825224544300673,0.5273856413361981
ICU,0.852581667053672,0.7615167877443304,0.8562827355221865,0.851439421343148,0.8670897758448488,0.5819755324995188,0.6119735490395899,0.6115331658399594,0.6133698878061573,0.5925219923772537
ETHNICITY,0.8618393548137174,0.7792012238573414,0.8758171306232928,0.8413708501923601,0.878092227249405,0.5485493247438524,0.562365253090684,0.5645755801851908,0.578147110404163,0.5245377297062199
AGE,0.8580785822859625,0.7719593581732753,0.8763624893242568,0.8484641043436878,0.874794664990153,0.5554477757915837,0.5570262013420538,0.5651018736633255,0.58328285228355,0.5277716951132656
GENDER,0.8636215513060506,0.7792729087879546,0.8716556121701253,0.8504022411731504,0.875226183684222,0.5459538995603737,0.557058923238759,0.5685035385737257,0.575103027393419,0.5245884717594851
HEIGHT,0.8651772965591444,0.7774554498136634,0.8767472142567109,0.8481361929701614,0.8777363687076214,0.5559662226695463,0.5607243904248217,0.5621825121883023,0.580455546977232,0.5276294348862848
WEIGHT,0.8648054093287911,0.7856246612096925,0.8652258411242133,0.8396871256729858,0.8771062855090213,0.5538703520441559,0.5622008231305546,0.5695960036876906,0.5755300561552877,0.5269530291798639
BMI,0.8634540401998381,0.778054968437162,0.8769959486380534,0.8502096660291275,0.8749457192728511,0.5525233358017925,0.5585015714000182,0.5662736989217545,0.5792502892387219,0.5299195079572394
DIAS_BP,0.8474463360473723,0.7138068448020001,0.8445749928785153,0.8129469181863935,0.8568338683407146,0.5116113792871844,0.5158723069059222,0.5318050804877349,0.5233518767709997,0.48170771460082873
HR,0.8662575388365664,0.7708641116044896,0.8755659780596583,0.8494667901221263,0.8792246037365952,0.5557994827573765,0.5567274104955229,0.5595327113941073,0.5800041498689957,0.5168585699135747
SYS_BP,0.8256560595091534,0.7440798359613743,0.8554092195905074,0.8129410244710447,0.8596675369261,0.5126740583315464,0.5236986310158692,0.5441811884913857,0.5496732256599549,0.4999286149139448
MEAN_BP,0.8006685404318025,0.7447418863437202,0.7740517527310993,0.7868936023919764,0.830306618402679,0.572370190819644,0.564755894645613,0.5778579224020644,0.5917522370990045,0.5517104732808412
RESPRATE,0.8576642783391567,0.7747501022682733,0.864164108728392,0.8474077140712615,0.8757605085594513,0.5486694438626641,0.5650409055274095,0.5622597281677194,0.5824836985193714,0.5274606858562301
Temprate,0.8549132300872857,0.7477750562628921,0.837028356003293,0.8229004245807836,0.8528073718552367,0.5410389015711438,0.5523429646896963,0.5553478576365176,0.5645810252137823,0.5119492956569844
SPO2,0.8607164223131623,0.7765877701491768,0.8747926975199325,0.8489401862219201,0.8781941585959196,0.5541629573465914,0.5590143150680669,0.5681521752647802,0.5812615607756645,0.5300812641422912
PH,0.8625827332022069,0.7773984818116537,0.8722553169220071,0.8438102192203768,0.8679070059073355,0.5567725367291879,0.5632507615876219,0.5633690439876629,0.5870077557468071,0.5303023734720489
HCO3,0.867465208102614,0.7666115309826684,0.8695555940251262,0.837045263905253,0.8801087909147077,0.5541084763248719,0.5662003820735393,0.5699383548618698,0.5797785819791115,0.5305255902299608
HEMOGLOBIN,0.8538488613029651,0.7744073718903016,0.8692137803975237,0.846054972620905,0.8711906902113533,0.5522422959004388,0.5603330026163007,0.5687864691037295,0.5875930664362167,0.5346801109260161
WBC,0.8608720270149894,0.7645408792942792,0.8683996787880051,0.8410119134713413,0.8812870659405732,0.5494183100932708,0.5577420521765771,0.5620677640530048,0.5794297369000172,0.5261130056187895
RBC,0.8661960199694636,0.7759057542203394,0.8746190587566631,0.8439950712965569,0.8738841873657753,0.5470478758152812,0.5561139494951441,0.5644861808645046,0.5926731341205025,0.537112453859433
HEMATOCRIT,0.8557759521875583,0.7729880169610968,0.8679214748822718,0.8424265698699742,0.8682785050577072,0.5225721983694619,0.5533624463934167,0.5588765414291234,0.5660427945420576,0.5132593295727463
PLT,0.8538503814177214,0.7790124643894161,0.8730463531252806,0.8328643457482099,0.8735557796056016,0.5632630875615137,0.5615663759310505,0.5735114784674917,0.5988551945829381,0.5375237340671095
RDW,0.864647511033227,0.7747066019966392,0.8526222839156643,0.8483907729575455,0.8813455965765151,0.5469921830405368,0.5603140645410684,0.5610155559578378,0.5808595561745521,0.5315258538561949
ALT,0.8672339954366208,0.7779449021217274,0.8757349454269393,0.8487385811117604,0.8767809043555359,0.5536835552142381,0.5603786832640023,0.5654366216727695,0.5820560816642116,0.5288229281315149
AST,0.8659833031346063,0.7768349346210419,0.8758091520365797,0.8490581055326765,0.8780717751511915,0.5527586125111793,0.560207178813166,0.5655597705496807,0.5820188648599911,0.5263818879281537
ALB,0.8440783614339781,0.7154543079089223,0.8317210746542344,0.8172064212019934,0.8242897721138218,0.5728500218675558,0.5799633725979357,0.5961923041125732,0.6091111433447036,0.5683804187063864
TOTALBILIRUBIN,0.8560168447998164,0.7702165168507695,0.8557985101360553,0.8441369594769974,0.8779978230360972,0.5516166912273347,0.5562100251923177,0.554918259836629,0.5742243206655058,0.5260171106916824
CK,0.8693785949255031,0.7732438674238071,0.8746693469870566,0.8493226020341089,0.8785130432664456,0.562383794519101,0.5598047328770157,0.5648010644864774,0.5830113856100705,0.5261937638953494
CR,0.8532495220041831,0.7738282726887353,0.82801382115985,0.8110842195654704,0.8630140965683395,0.5466305444866265,0.5357484953920177,0.5613451248440428,0.5708194390346445,0.5127497846719211
