,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.8540401796532194,0.7870519937164034,0.8603687050478238,0.8384269383241365,0.8702721632502461,0.6377583750975371,0.6442383727933052,0.64669349263955,0.6518279367174121,0.6348555010918917
ICU,0.8433295069254262,0.7729197087930285,0.8418290996846016,0.8391145656989609,0.8592188515132195,0.6495538169078254,0.6623436133498819,0.6583959796389687,0.6610569747529498,0.668223332443062
ETHNICITY,0.8511510379297778,0.7900288772799038,0.8581111617810453,0.8345830552156552,0.8699974209503054,0.6353772263331815,0.645917778196729,0.6475631438102569,0.6493178295182584,0.6308937932370793
AGE,0.8466733828400326,0.7840432641630515,0.8588316157543663,0.8364462489021498,0.8668846181217553,0.6372795268992894,0.6376451273349987,0.6453332102664007,0.6459717836326216,0.6315700067555892
GENDER,0.8535847125731244,0.7888847973673982,0.8535626638443806,0.8370719437300267,0.865840389219234,0.6356063403036349,0.6416794970490121,0.6475071745403319,0.6425592946955534,0.6298212125496849
HEIGHT,0.8532793317899212,0.7881590613861151,0.8601586481495882,0.8375054715586587,0.8682176186259862,0.6400148204008316,0.6443928610705252,0.6440095861285238,0.649389182154771,0.632907050426021
WEIGHT,0.8534609323108151,0.7931012705305525,0.8480600627633537,0.8291944134242244,0.8674482187578834,0.6406288458416469,0.6385471817672411,0.6412088314925662,0.6389288201808823,0.6301570281692354
BMI,0.8520107010516114,0.7875870497122689,0.8600251672876662,0.8397302538862468,0.866343481715353,0.6333728063973858,0.6421678371117501,0.6479244892722293,0.6444665048467424,0.6342879530565113
DIAS_BP,0.8354628174882643,0.7366190513496318,0.8316896284941935,0.8091928670032541,0.850671016950042,0.6028639900918027,0.6114583824291842,0.6251145569852268,0.6093917744156939,0.5995919152880551
HR,0.8537284367703661,0.7842074058235926,0.8577440646981838,0.8388327668499483,0.8697113164337853,0.6406897246966532,0.6405329452797285,0.6420935387241886,0.6505147863610418,0.6263789387964578
SYS_BP,0.8163070656168869,0.758522436574582,0.8408200687207321,0.8085050750455253,0.8517503624742242,0.5979746979623258,0.6101596335223851,0.625788479364032,0.6240861625635628,0.6084517525254906
MEAN_BP,0.800457812324672,0.7705724010283106,0.7888302120800346,0.79491724211982,0.8360445049349966,0.6482953265986918,0.647061711520636,0.6542725827821506,0.6587795818866422,0.6545157708965033
RESPRATE,0.8452632889447977,0.7848749837494005,0.8486352067882481,0.8359373914781474,0.8656064446492437,0.6326438966656717,0.6463233099244317,0.6458352971673658,0.6508695857095725,0.6314092996705996
Temprate,0.8448078218647027,0.7610703325945025,0.8254312179807387,0.8159424612899363,0.8478485361019904,0.6291783842097269,0.637967850727666,0.6382421328808661,0.6375966860955313,0.6231962184411871
SPO2,0.8471344791308474,0.7825339452514829,0.8553078989301761,0.8362570608534756,0.8676806996835622,0.6329217791812645,0.6385733662210072,0.6463606227710483,0.6492366577115836,0.6354387597995319
