Arguments: Namespace(dropout=0.2, gap=5, hidden_size=8, l1=0.0001, l2=0, lr=0.005, num_epochs=400, num_layers=1, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/20180105 data: 42 features/LSTM_20190105/LSTM_8_1_ep=400_dr=0.2_lr=0.005_l2=0_l1=0.0001')
iter: 000, train loss: 0.75610000, test loss: 0.70663220
         , train AUC: 0.57989023, test AUC: 0.60690447
         , train F-1: 0.45534404, test F-1: 0.50581810
iter: 001, train loss: 0.73496771, test loss: 0.68572527
         , train AUC: 0.58989549, test AUC: 0.62678449
         , train F-1: 0.51017263, test F-1: 0.55239615
iter: 002, train loss: 0.71846038, test loss: 0.66542727
         , train AUC: 0.59668146, test AUC: 0.65113698
         , train F-1: 0.54341841, test F-1: 0.58035421
iter: 003, train loss: 0.70418310, test loss: 0.64957792
         , train AUC: 0.60249783, test AUC: 0.66419089
         , train F-1: 0.56228322, test F-1: 0.58675002
iter: 004, train loss: 0.69031096, test loss: 0.63684064
         , train AUC: 0.61166512, test AUC: 0.67265151
         , train F-1: 0.56747337, test F-1: 0.58049704
iter: 005, train loss: 0.67770630, test loss: 0.62585700
         , train AUC: 0.62088011, test AUC: 0.67811945
         , train F-1: 0.56507078, test F-1: 0.57044413
iter: 006, train loss: 0.66680849, test loss: 0.61671495
         , train AUC: 0.62694380, test AUC: 0.67745064
         , train F-1: 0.55667525, test F-1: 0.56172076
iter: 007, train loss: 0.65707844, test loss: 0.60912830
         , train AUC: 0.63226120, test AUC: 0.67965489
         , train F-1: 0.54829241, test F-1: 0.55848796
iter: 008, train loss: 0.64823020, test loss: 0.60190928
         , train AUC: 0.63595483, test AUC: 0.68167889
         , train F-1: 0.54175525, test F-1: 0.55349294
iter: 009, train loss: 0.63996881, test loss: 0.59488010
         , train AUC: 0.64218639, test AUC: 0.68369757
         , train F-1: 0.53875895, test F-1: 0.56161548
iter: 010, train loss: 0.63226748, test loss: 0.58655947
         , train AUC: 0.64913006, test AUC: 0.69436365
         , train F-1: 0.54470705, test F-1: 0.56530401
iter: 011, train loss: 0.62460095, test loss: 0.57920039
         , train AUC: 0.65801700, test AUC: 0.70303296
         , train F-1: 0.54638280, test F-1: 0.56609796
iter: 012, train loss: 0.61761981, test loss: 0.57498038
         , train AUC: 0.66717067, test AUC: 0.70773683
         , train F-1: 0.54867339, test F-1: 0.57098973
iter: 013, train loss: 0.61123264, test loss: 0.57241166
         , train AUC: 0.67682076, test AUC: 0.71195413
         , train F-1: 0.55429224, test F-1: 0.57477850
iter: 014, train loss: 0.60670972, test loss: 0.57027161
         , train AUC: 0.68431806, test AUC: 0.71386595
         , train F-1: 0.56048794, test F-1: 0.57516814
iter: 015, train loss: 0.60341728, test loss: 0.56842339
