Arguments: Namespace(dropout=0.2, gap=2, hidden_size=8, l1=0.0, l2=1e-05, lr=0.005, num_epochs=400, num_layers=1, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190105/LSTM_8_1_ep=400_dr=0.2_lr=0.005_l2=1e-05_l1=0.0')
iter: 000, train loss: 0.62094545, test loss: 0.61667287
         , train AUC: 0.55673487, test AUC: 0.51187050
         , train F-1: 0.46932117, test F-1: 0.46501858
iter: 001, train loss: 0.61374319, test loss: 0.60869849
         , train AUC: 0.57768198, test AUC: 0.53917849
         , train F-1: 0.47520201, test F-1: 0.46846368
iter: 002, train loss: 0.60722190, test loss: 0.60035801
         , train AUC: 0.59560180, test AUC: 0.56924219
         , train F-1: 0.47865495, test F-1: 0.46625506
iter: 003, train loss: 0.60057288, test loss: 0.59234357
         , train AUC: 0.61462289, test AUC: 0.59802535
         , train F-1: 0.47994574, test F-1: 0.46812769
iter: 004, train loss: 0.59420627, test loss: 0.58571219
         , train AUC: 0.63283180, test AUC: 0.62515484
         , train F-1: 0.48300795, test F-1: 0.46893671
iter: 005, train loss: 0.58854854, test loss: 0.57970178
         , train AUC: 0.65181064, test AUC: 0.64479295
         , train F-1: 0.48291794, test F-1: 0.46728263
iter: 006, train loss: 0.58300072, test loss: 0.57392055
         , train AUC: 0.66858688, test AUC: 0.66282111
         , train F-1: 0.48292864, test F-1: 0.46648626
iter: 007, train loss: 0.57791185, test loss: 0.56788796
         , train AUC: 0.68272119, test AUC: 0.68069005
         , train F-1: 0.48354875, test F-1: 0.47041270
iter: 008, train loss: 0.57353401, test loss: 0.56357425
         , train AUC: 0.69455412, test AUC: 0.69036320
         , train F-1: 0.48502166, test F-1: 0.47453549
iter: 009, train loss: 0.56943876, test loss: 0.55910289
         , train AUC: 0.70455776, test AUC: 0.69926112
         , train F-1: 0.48684725, test F-1: 0.47817802
iter: 010, train loss: 0.56622726, test loss: 0.55466026
