,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.7565050982287038,0.7839314459800533,0.7599213396509163,0.7699675136232156,0.7857305313896064,0.6598108227440973,0.6494863263555656,0.6546245784182456,0.6544848703886303,0.6497088093939192
ICU,0.7515713941905866,0.781102698911735,0.7761698169328147,0.7568978378496822,0.7712657918483525,0.655116153234965,0.6564270588096901,0.668393644236433,0.6595132957409928,0.6537544466364829
ETHNICITY,0.7568148061979545,0.7853892440413361,0.7588729328450532,0.7796222358390202,0.7879393230807878,0.659187681132034,0.6483947265825913,0.6548120214730582,0.6557036986732723,0.6517272028268034
AGE,0.7532635404904331,0.7823379643255151,0.7556703275051673,0.7636146498537421,0.788238227857982,0.6580646288024048,0.6485444043218094,0.6530790509537259,0.6532773605748626,0.6484484058907107
GENDER,0.7571621523115701,0.7834783832761751,0.7600110071442239,0.7664969255151568,0.7793444972594072,0.6585075369753168,0.6466970185228862,0.655297811911542,0.6515474908159786,0.6510467597178458
HEIGHT,0.7566501285046222,0.7846558758704425,0.760366683780471,0.7706407943463323,0.7844231805188492,0.6596690637630646,0.6498064138242635,0.6533890157605118,0.6547485532171557,0.6514150341162906
WEIGHT,0.7542972953789673,0.7887808634369063,0.7606274830014454,0.759179026826245,0.7822749811975,0.6568549150849103,0.6484643546451241,0.6495986906837388,0.6420434028039941,0.6508977911211519
BMI,0.7560492555232263,0.7885104371220275,0.7599213396509163,0.7733726709859997,0.7808236651279815,0.6589630706661082,0.6493707152670125,0.6545155790408728,0.6674786557138352,0.6450064088407992
DIAS_BP,0.718753161184964,0.7263873243000634,0.7486464243831925,0.7178856670257351,0.7717832713777873,0.5944252540280617,0.5759067548217034,0.6274366728078409,0.5741745699210496,0.6253848453906612
HR,0.7563404205353716,0.7833332909665991,0.7613611915754614,0.7716634230550894,0.7878691965918323,0.6594012720793263,0.6471572589733714,0.6507937626938249,0.6549863871054418,0.6443226424953074
SYS_BP,0.7179081492484094,0.7389705084942386,0.7500554714600475,0.7206361956205773,0.7780369029643321,0.6143801283692578,0.6066294439146269,0.6402765950624603,0.6005271612571468,0.6268092693882555
MEAN_BP,0.7081349063935292,0.7117941081694035,0.7455314783485116,0.7640121716076428,0.744627625300842,0.6556010120548389,0.6436083552117706,0.6544809144857267,0.6576725981294044,0.656851591848376
RESPRATE,0.7527913637484669,0.7827520716425218,0.7553638325322684,0.7704996272587008,0.7774287884471467,0.6614386037890292,0.6517681036647345,0.653644181926371,0.6582072846401592,0.6556125182399104
Temprate,0.7435693264279813,0.7736592983652835,0.7250409689318145,0.7589159088669859,0.7416679507299444,0.6597717503814978,0.650386673170755,0.6510025356433804,0.6515046085504067,0.6514666207587263
SPO2,0.7461692925277033,0.7776524566108793,0.7524873683073816,0.7646966435038641,0.7764513992394937,0.6517205146394687,0.6370529652433119,0.6507793434625027,0.6491841690689217,0.6479969810551323
PH,0.7553700257403124,0.7824455125556679,0.7600470219138791,0.7662336194689547,0.7845217470822958,0.6556455003196564,0.6528530917265287,0.6573565847540308,0.6527257519768181,0.6496215501015729
