,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.7478079584087929,0.7523642441715858,0.7457477407319049,0.7557499669922825,0.8030973743887821,0.5615666170468384,0.6100096690012928,0.5571748203234976,0.5410545029216688,0.564542444806893
ICU,0.72866982597833,0.7540965653996086,0.7405794540146124,0.7344530211588449,0.7995390197695252,0.5993340335924549,0.629040991909664,0.5937355695635607,0.5763492566064888,0.6064958845863622
ETHNICITY,0.7504763817211858,0.7515673641403346,0.7434008014641607,0.7596453594898958,0.8005946068159839,0.5553312187633287,0.6093755419469715,0.5563841424756034,0.5376506497631269,0.5632445071199148
AGE,0.7477892445295191,0.7425437047234003,0.7438348913404144,0.7538262404205145,0.8098095225630307,0.5602497565018657,0.6108023044116407,0.5541296992468796,0.5402189030480975,0.5673417558772447
GENDER,0.7478830231600941,0.7433453975796995,0.7472672996984568,0.757454064573144,0.8037888421869006,0.5614170607678348,0.6088770087625022,0.5568942808864549,0.5408446280443282,0.5639536013352966
HEIGHT,0.7489213809843711,0.751851723477318,0.7440118538793218,0.7560831866826068,0.8037321242229926,0.561293055504503,0.610030402661853,0.55655932729725,0.541440526648379,0.5647735503799625
WEIGHT,0.7451623237001123,0.7554719509363802,0.7456180532749968,0.7575242282842786,0.7945574027656783,0.5619760537421035,0.6084498492484597,0.5526928263037238,0.5399805996745154,0.5616754944858376
BMI,0.7492317626913708,0.7547489256381736,0.7437636518668609,0.7573735205836998,0.8031826639148851,0.5638158832503127,0.6116750673458515,0.5573039520795722,0.5418485940783254,0.5645327737336479
DIAS_BP,0.7470692745940932,0.6837596310529125,0.7355320044156477,0.7522878127331998,0.7750955010248128,0.5401757033259547,0.4965740362793766,0.5320600126431093,0.5356659817885466,0.5120995398603715
HR,0.7451092788591098,0.753243967533326,0.7403708140451153,0.756517184480747,0.8049309570286198,0.5609297465581113,0.6063713828647571,0.5557294906089666,0.5396311246497836,0.5618824596587491
SYS_BP,0.7449447105410364,0.6820874062942983,0.7363100541834495,0.7548417572035899,0.784070660293479,0.5514366979262093,0.5475814393624772,0.541703831193985,0.5397095606852831,0.5350670019860291
MEAN_BP,0.741115108168839,0.6873065489215577,0.7407862948350918,0.7587143049984704,0.7465315807322634,0.5660847012445327,0.6015823848727624,0.5670240491232871,0.5421924963943273,0.5921132249939751
