,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.749183925454634,0.7463111949004038,0.737181613816007,0.807427367370197,0.8027915045076884,0.5776124899875931,0.6044590165366366,0.5790707612438739,0.5617098011210458,0.5809845092224698
ICU,0.728301650833743,0.7476978116560622,0.7323371646480306,0.7805519256619586,0.8015070741405872,0.5943964498993347,0.6179291011372694,0.5926383134295414,0.5743153261659553,0.6013624925909442
ETHNICITY,0.7508932615774022,0.745403347775397,0.7349941496910329,0.8175968898930122,0.7974861619412148,0.5740929545933003,0.6041898570011603,0.5787979304462028,0.5605651274012559,0.58103843545134
AGE,0.7493346351398444,0.7355069381847728,0.7353775196346661,0.8046954235474237,0.810198260556326,0.5752742621784953,0.6045896082977426,0.5758494357832786,0.5601499938838763,0.5808783080576381
GENDER,0.7491056593456937,0.7368017706707144,0.7389257372314885,0.8114398036829231,0.80465902686997,0.5775945362390347,0.6038527624283658,0.5792069080766861,0.5618327026281202,0.5805294195326561
HEIGHT,0.7497906924324288,0.7458214319596219,0.7354232834265791,0.8078151528867881,0.8033729060439241,0.5774609269292021,0.6044574885531253,0.578148331972778,0.5618854712890085,0.5810788486915172
WEIGHT,0.7461533850225273,0.7496038437103776,0.7370573696006671,0.8112935412345326,0.7942857915474912,0.575190732405332,0.6030279737550662,0.5773862401676041,0.5580511745629446,0.5779000652537366
BMI,0.7505872841366212,0.7482771529242589,0.7351313304878176,0.80998676376405,0.8029294951218146,0.5775071954978216,0.6051833650944572,0.5776726200040451,0.5617058327068489,0.5809463614996659
DIAS_BP,0.7477576821676146,0.677382995087001,0.7269048491936624,0.8048359708888668,0.7723365243572446,0.567713194716762,0.5396540758230735,0.5684955088639156,0.5586775191478552,0.5559077931990173
HR,0.7461543847136834,0.746868488199127,0.7318760703357216,0.808264808595536,0.8049444706404807,0.5771948294320165,0.6017833910526018,0.5782778506924179,0.5610423312840471,0.5795954649374226
SYS_BP,0.7466707254747094,0.6759559496742431,0.7280027855722881,0.8068685929183552,0.7845825881481584,0.5713447522017807,0.5606144822561733,0.570312202274041,0.5606779561349561,0.5617991953565149
MEAN_BP,0.7408950780542423,0.682037996507211,0.7319321671777566,0.8109887957902683,0.7395167483817686,0.579729116852238,0.5998398609121097,0.5843641226705313,0.562260612980615,0.5976211777233357
RESPRATE,0.744051791611397,0.744369423330026,0.7326256936323432,0.824964678138681,0.8007945383179935,0.5791185156228267,0.6029905112485687,0.578905436506642,0.5628171401646481,0.580134944293837
Temprate,0.7269226665959851,0.7180013336828719,0.7369840347908706,0.7446271126002886,0.7803873718616146,0.5772319478075392,0.5997149086623003,0.5763197369374005,0.5575803931059817,0.5785397725871728
