,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.8301439448635984,0.8881439906253072,0.8396136751852202,0.878184240232234,0.8474808743232463,0.69962979765418,0.7131462365869681,0.703802126903248,0.6654099323991562,0.6257045186227727
ICU,0.8242996404906282,0.8849775221217766,0.8305313480285182,0.8715615035088553,0.8526019790168621,0.7233171911358479,0.718707880777109,0.7246483743751623,0.6978831215589678,0.6797088467209291
ETHNICITY,0.8347361674715346,0.886469256739633,0.8389253986017976,0.8781765282033611,0.845639907892739,0.6965864047784152,0.7127978954755922,0.700684899078281,0.6630775472486586,0.6221915202463805
AGE,0.8242590459121076,0.8875987542422347,0.8406046309673503,0.8771197739387222,0.8385494474767857,0.696759254678053,0.7112990231712338,0.7015972630830583,0.6636539470108644,0.6223646746200354
GENDER,0.8324535302321929,0.8874143290261166,0.8419334636853862,0.8793162481798875,0.8483812645112871,0.6943242998429674,0.7118949092705487,0.7034718943840529,0.6615708956331574,0.624808345023867
HEIGHT,0.8291014908401055,0.8856091478483626,0.8400135711743062,0.8784714519062455,0.8478878044928256,0.6979546729530401,0.7087487259665337,0.7043666978498807,0.6650672545045028,0.6256259643263018
WEIGHT,0.8335816393776166,0.882616159444267,0.8471919355017701,0.8778703950419493,0.8471787493836077,0.7019489610204751,0.715890993734686,0.6969528392582709,0.6504864353019355,0.6257192780007627
BMI,0.8200732100733439,0.9012088835130039,0.842088294095402,0.8778902891291693,0.8387950234249663,0.6913806983263825,0.6892758998919879,0.7008049455714636,0.67037722808377,0.6205639696104484
DIAS_BP,0.7809381120857446,0.8383692611670096,0.8389897880526106,0.8637512125814569,0.8467921554183907,0.6176464234578962,0.6397195489826382,0.6761282475008391,0.6436814486264796,0.6183784627259102
HR,0.8308750561893752,0.8879481732384435,0.8397181784712164,0.8775542313308826,0.8463924711035479,0.6975963831531481,0.7121224198681475,0.699474005911363,0.6641978746191222,0.6233778651956512
SYS_BP,0.7732061878741787,0.8561572648011585,0.844090258766325,0.8681439351062539,0.8467277258386191,0.6328422192806649,0.66413722339487,0.679177950600613,0.6506275437852667,0.6221352534479779
MEAN_BP,0.7681419681008556,0.842545555425516,0.8097340203492616,0.8679434616525209,0.8462906334591646,0.6997753286226129,0.7000140971470024,0.7072207840053709,0.6763877050347062,0.6253654182978228
RESPRATE,0.8278299256016753,0.8869968730264105,0.8354705859720508,0.8822273573309534,0.8481216255048811,0.702534007844773,0.7150743259135554,0.7032513638533014,0.6685537255821352,0.6296040924352669
Temprate,0.806453267950966,0.8663977240816861,0.8261327589135792,0.8516462548747146,0.8282273193618306,0.6966774044503445,0.7122035165226631,0.7062923742198804,0.6620572928758408,0.6264707579347832
SPO2,0.8265480814278977,0.8859694811299406,0.8327377385351717,0.8762900382259239,0.847857172415237,0.6903462935236093,0.7053693992955994,0.6964375626550439,0.6574629854743058,0.6165605016513909
PH,0.8272922859685123,0.8870501957850139,0.8417184815772392,0.8790779710483165,0.8481927568820369,0.6970123715405091,0.7108841316515203,0.7023215763228825,0.6644261692373155,0.6242920636563828
HCO3,0.8248426921997345,0.8865196428155206,0.8403984521044313,0.8763832113237969,0.8451804679453772,0.6993821232647836,0.7157012683626377,0.7051472093814534,0.6649157025623773,0.6258015544920955
HEMOGLOBIN,0.8306955837332015,0.8816537291276625,0.8372296268058163,0.8804859812114544,0.843439220632897,0.6978285065321095,0.7101568954611297,0.7038242697761583,0.6629460677561254,0.6216668582315692
WBC,0.8208339394858389,0.8843757565233821,0.8363389899100024,0.8770901047321029,0.8476056777825277,0.691304191617678,0.7115216926319572,0.6957044044450161,0.6643011978769027,0.6233960955774388
RBC,0.8332592159555245,0.8863263767199403,0.8407480133476406,0.8781710168043831,0.8494351777921724,0.702811718595979,0.714814495399017,0.703899832615409,0.6654916456135569,0.6231200213740761
