Arguments: Namespace(gap=5, num_epochs=200, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190103', run_fold=1, verbose=0)
iter: 000, train loss: 0.74610513, test loss: 0.58705962
         , train AUC: 0.51690837, test AUC: 0.52618205
         , train F-1: 0.41404942, test F-1: 0.47704437
iter: 001, train loss: 0.59694707, test loss: 0.52202022
         , train AUC: 0.53833035, test AUC: 0.55310496
         , train F-1: 0.48571688, test F-1: 0.44185408
iter: 002, train loss: 0.54676777, test loss: 0.50891477
         , train AUC: 0.53999062, test AUC: 0.57560685
         , train F-1: 0.44541247, test F-1: 0.44076947
iter: 003, train loss: 0.54323554, test loss: 0.50661701
         , train AUC: 0.54838622, test AUC: 0.60379339
         , train F-1: 0.43649167, test F-1: 0.44002884
iter: 004, train loss: 0.54308784, test loss: 0.50141346
         , train AUC: 0.56843456, test AUC: 0.63281791
         , train F-1: 0.43546489, test F-1: 0.44054433
iter: 005, train loss: 0.53725117, test loss: 0.49491879
         , train AUC: 0.59587090, test AUC: 0.66243519
         , train F-1: 0.43516170, test F-1: 0.44065626
iter: 006, train loss: 0.52950299, test loss: 0.48944089
         , train AUC: 0.62071585, test AUC: 0.67695595
         , train F-1: 0.43490873, test F-1: 0.44313425
iter: 007, train loss: 0.52135664, test loss: 0.48657894
         , train AUC: 0.64565408, test AUC: 0.68567953
         , train F-1: 0.43600135, test F-1: 0.44278093
iter: 008, train loss: 0.51553077, test loss: 0.48351854
         , train AUC: 0.66203349, test AUC: 0.70099464
         , train F-1: 0.43796565, test F-1: 0.44498710
iter: 009, train loss: 0.51040792, test loss: 0.47772062
         , train AUC: 0.68079518, test AUC: 0.72238820
         , train F-1: 0.45076828, test F-1: 0.45124648
iter: 010, train loss: 0.50424278, test loss: 0.46918869
         , train AUC: 0.70111170, test AUC: 0.73680828
         , train F-1: 0.46176232, test F-1: 0.45217540
iter: 011, train loss: 0.49804503, test loss: 0.45740819
         , train AUC: 0.71117447, test AUC: 0.75277868
         , train F-1: 0.46316293, test F-1: 0.45463146
iter: 012, train loss: 0.48875654, test loss: 0.44595039
         , train AUC: 0.72427547, test AUC: 0.76917681
         , train F-1: 0.46882521, test F-1: 0.46911839
iter: 013, train loss: 0.48068222, test loss: 0.43756011
         , train AUC: 0.73755749, test AUC: 0.77952662
         , train F-1: 0.47546974, test F-1: 0.48968732
iter: 014, train loss: 0.47537887, test loss: 0.43340284
         , train AUC: 0.74509230, test AUC: 0.78041302
         , train F-1: 0.48357667, test F-1: 0.51216562
iter: 015, train loss: 0.46520409, test loss: 0.43842202
         , train AUC: 0.76163761, test AUC: 0.77483546
         , train F-1: 0.50102912, test F-1: 0.53486555
iter: 016, train loss: 0.45906809, test loss: 0.44339770
         , train AUC: 0.77946343, test AUC: 0.77272855
         , train F-1: 0.52154886, test F-1: 0.54644802
iter: 017, train loss: 0.45381904, test loss: 0.43211675
         , train AUC: 0.79426751, test AUC: 0.78727128
         , train F-1: 0.53849474, test F-1: 0.59352217
iter: 018, train loss: 0.44236785, test loss: 0.41311109
         , train AUC: 0.80623731, test AUC: 0.81374807
         , train F-1: 0.58777042, test F-1: 0.57720495
iter: 019, train loss: 0.43328756, test loss: 0.40480396
         , train AUC: 0.81268304, test AUC: 0.82732686
         , train F-1: 0.57562851, test F-1: 0.58299661
iter: 020, train loss: 0.42750141, test loss: 0.39355588
         , train AUC: 0.82149979, test AUC: 0.84285334
         , train F-1: 0.57564657, test F-1: 0.61436639
iter: 021, train loss: 0.41557571, test loss: 0.38847876
         , train AUC: 0.83845138, test AUC: 0.84943898
         , train F-1: 0.60938955, test F-1: 0.67315368
iter: 022, train loss: 0.40647584, test loss: 0.37756041
         , train AUC: 0.85063173, test AUC: 0.86294901
         , train F-1: 0.67440825, test F-1: 0.68472081
iter: 023, train loss: 0.39748397, test loss: 0.36193961
