,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.9969293196647088,0.963196025273097,0.9878071599339444,0.9879043266315304,0.9909542724288025,0.8730378933847142,0.8958124598587027,0.8871933204881183,0.8216313423249839,0.8950032113037893
ICU,0.9958114297508324,0.963270805325457,0.9884470182189072,0.9865549238667648,0.9883789459659342,0.8485292228644831,0.8809120102761722,0.8826718047527295,0.8119717405266538,0.8844701348747591
ETHNICITY,0.997452835791082,0.9599622910319909,0.9888732657450592,0.984989796611224,0.9910499948202975,0.8636095054592164,0.8850481695568401,0.8791522157996147,0.8081695568400771,0.8749132947976878
AGE,0.9813293956199688,0.9288163576517221,0.982193091139412,0.982284886776,0.9237575158929471,0.8743481053307642,0.9009762363519589,0.8901991008349389,0.8314193962748876,0.8923057161207449
LOS,0.8492132359826935,0.8806151014333126,0.8892773711984663,0.8563383096525294,0.8859040363428465,0.5560693641618498,0.5615671162491972,0.5777777777777777,0.5967630057803468,0.5625176621708414
GENDER,0.997021707153644,0.9648680919453089,0.9879095011857805,0.9878385004747978,0.9911091255463663,0.8714450867052023,0.8934232498394348,0.8863712267180476,0.8203211303789338,0.8935645472061656
HEIGHT,0.9601504559911113,0.9199521693681548,0.9524871268990398,0.9519357338696649,0.9694393173174334,0.7763904945407835,0.81844572896596,0.8735388567758511,0.8215671162491973,0.8203468208092486
WEIGHT,0.9463075943009054,0.9164658923974078,0.9718204246876969,0.9676641882628082,0.9608593677232483,0.8496339113680155,0.9095825305073859,0.859165061014772,0.8185870263326911,0.8763262684649968
BMI,0.990603819918343,0.9460897349320688,0.9837345408615035,0.9859385562330313,0.9922814201861012,0.8781245985870264,0.8980603725112396,0.8824919717405266,0.8196788696210662,0.8933076429030186
DIAS_BP,0.9803142233595439,0.949140036049406,0.9737325683484084,0.9823168465792307,0.9779247302086517,0.9205138086062941,0.8938086062941554,0.8737058445728967,0.8282337829158638,0.9201027617212588
HR,0.993644547967574,0.947117848407115,0.9801175513912169,0.9763376875150725,0.9870198504899464,0.8807707129094412,0.9079897238278741,0.8791907514450867,0.8321901091843288,0.8789980732177265
SYS_BP,0.9791571540905478,0.8807324181487678,0.9675173664482738,0.9675889129753457,0.946363853380567,0.7890301862556197,0.8221194605009634,0.8465510597302506,0.7761078998073218,0.8128709055876686
MEAN_BP,0.9768829086753241,0.9321942808708169,0.9720612530970223,0.9640058193265998,0.9812053327527265,0.7802312138728323,0.7997045600513808,0.8234938985228002,0.7955555555555556,0.7771483622350674
RESPRATE,0.9826287382477509,0.959602625087472,0.9775487030004927,0.9755399467436958,0.9903810798539704,0.8537443802183687,0.8654849068721902,0.8492999357739242,0.7901991008349389,0.8441618497109825
Temprate,0.9957400919187382,0.9578988471500054,0.9859089768176321,0.987903105770392,0.9844491569952175,0.8725497752087348,0.8875401412973667,0.888709055876686,0.839640333975594,0.880616570327553
SPO2,0.9282724248145711,0.8648912859006193,0.9424053411960659,0.9706668544228454,0.862607188987641,0.8731920359666023,0.8412459858702633,0.8755298651252409,0.8831342324983943,0.8370969813744381
PH,0.9966526114136794,0.9603385027074636,0.9866136416090887,0.9882984473656661,0.9905781237216796,0.8813102119460501,0.9027488760436737,0.890199100834939,0.8256390494540784,0.9023635195889532
CA_ION,0.9578973251206969,0.9099816287511127,0.9503850007910974,0.9751064406947468,0.9348273016113637,0.9196403339755941,0.8900321130378934,0.8819524727039179,0.8730378933847143,0.8686962106615285
HCO3,0.9957235714420681,0.9755004618004969,0.9871190710343521,0.9858351676911308,0.9916236814320166,0.857315350032113,0.8737058445728966,0.8723442517662171,0.8020295439948618,0.8626589595375722
HEMOGLOBIN,0.9964834225257388,0.950551411843065,0.9858501946287472,0.9887732285555741,0.9890395501339632,0.8869621066152857,0.9070905587668594,0.8803339755940913,0.8323442517662171,0.8937186897880539
WBC,0.9962920419527188,0.9630719073476316,0.9890141157337067,0.9850673798279622,0.9861707438030538,0.8538985228002569,0.8877970456005138,0.8719332048811816,0.8016441875401412,0.8747591522157997
RBC,0.9969029232392987,0.9585717179613704,0.9889693842736165,0.9874694492043163,0.9909196129965339,0.8727039177906231,0.8933461785484907,0.883339755940912,0.8186769428387926,0.8890430314707771
HEMATOCRIT,0.9947918321309853,0.9254423754760805,0.9887780310235764,0.9818706301951405,0.9830765358871251,0.8354913294797687,0.8740141297366731,0.8614258188824663,0.8150802825947333,0.867514450867052
PLT,0.9789173800709428,0.8666794720092627,0.9725502869992123,0.9651022195255499,0.8842291634673203,0.8772768143866411,0.8990237636480412,0.9160950545921643,0.8726525369299936,0.8898394348105331
RDW,0.9963195025408051,0.9676612940211644,0.9879171668593848,0.98811593698751,0.9932515000387105,0.8796917148362234,0.9066281310211945,0.8924598587026333,0.8217597944765574,0.9072318561335903
ALT,0.9843203675752851,0.9443827476216635,0.9811711756820158,0.9486853834156217,0.9515574106652861,0.8767630057803467,0.7838407193320488,0.8514193962748876,0.8125369299935773,0.7307642903018625
AST,0.9673623643140676,0.9248140035350993,0.9639261156044182,0.9779430028434357,0.9656459483990987,0.8288503532434167,0.8691971740526654,0.8356968529222865,0.7508028259473346,0.855208734746307
ALB,0.9948171384385317,0.96050823363796,0.9839926666378557,0.9889425937713338,0.9849801149055145,0.8745536287732819,0.9099165061014773,0.8942838792549775,0.8362748876043674,0.9159152215799615
TOTALBILIRUBIN,0.9955539153607573,0.9624338241434575,0.9876194140597184,0.9883380500941067,0.9899776932464806,0.8774052665382145,0.8974823378291586,0.8873474630700064,0.8220680796403339,0.9014258188824663
CK,0.9608212937601862,0.9718738204930868,0.9844166054434869,0.9821666973833098,0.9795700486997411,0.8268721901091844,0.8441875401412975,0.9100064226075787,0.9320488118175978,0.8442132305716121
CR,0.9964243355420159,0.9613844090791133,0.9874672729847739,0.9884360534676971,0.9904330525344771,0.8770199100834939,0.8963519588953114,0.8825176621708414,0.8203468208092486,0.9035324341682723
UN,0.9912517262795025,0.9408419445687084,0.9859870404302418,0.9798775325760873,0.9872412997798702,0.8500449582530507,0.9013615928066796,0.8779190751445086,0.7592549775208735,0.8955298651252408
CL_ION,0.9829145048591225,0.8917191992238706,0.9575857016897886,0.9720657104257862,0.953263956794564,0.9177649325626205,0.8966473988439305,0.8867951188182401,0.8432626846499679,0.8847141939627489
GLU,0.9873928258409013,0.9550243963892859,0.9767558559072691,0.9789342250190907,0.9888533750777668,0.8627874116891457,0.8944508670520231,0.8677199743095696,0.8236608863198459,0.8740526653821452
K_ION,0.9969437767039944,0.9572400942537956,0.988291269768149,0.9873631339405082,0.9905575717871827,0.8696467565831727,0.8948876043673731,0.8854206807964032,0.8238664097623635,0.8925626204238921
NA_ION,0.980153002714082,0.8645891226069925,0.9754149041329055,0.9584006117016028,0.9384647415095808,0.8058831085420681,0.8332947976878613,0.8441618497109826,0.7999486191393705,0.7886319845857417
APTT,0.9938527215467298,0.9265116953041952,0.9846488302614964,0.9872459981677049,0.9840647743399789,0.8792292870905587,0.8972896596017983,0.8961078998073218,0.8339627488760437,0.8988053949903659
INR,0.9963801598133553,0.9593921035257905,0.9860160617686633,0.9884931161828323,0.9896868262846419,0.8745279383429672,0.8989852280025691,0.8906872190109184,0.8286448298008992,0.9032241490044959
LAC,0.9959958932664562,0.9591449485517562,0.9865935124520481,0.9865310083677487,0.9882276938283462,0.8721130378933847,0.8911496467565833,0.8792549775208736,0.8127938342967244,0.8726525369299936
ANION_GAP,0.9940412470491546,0.949889166883036,0.9856257437056162,0.9889208189603415,0.9873200931740396,0.868387925497752,0.8958509955041747,0.8926140012845215,0.8235067437379576,0.9029929351316636
P_ION,0.9970289616284741,0.9614275443817198,0.9886998050790552,0.9869472383953803,0.9909532514192364,0.8686191393705844,0.8865767501605651,0.8744508670520231,0.8133076429030187,0.8710340398201669
INPUT,0.9811405197225163,0.9330807329569244,0.9594577674052096,0.9708829635685001,0.9403533237638023,0.8376878612716763,0.8774309569685292,0.8433911368015413,0.7569428387925498,0.8461143224149005
OUTPUT,0.9744340756932163,0.9569617767673925,0.974566395230876,0.9771437569007921,0.9699351656729646,0.8323442517662171,0.8815799614643546,0.8162363519588953,0.7798330122029544,0.8628901734104045
INPUT_MINUS_OUTPUT,0.9718529361442177,0.9253110905053478,0.9659273434108502,0.9644279195221717,0.9541339447738781,0.9191522157996147,0.9420038535645472,0.9304816955684009,0.8612973667308927,0.9276043673731535
