,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.9736330596826034,0.9280464573528048,0.9423135515184852,0.9480511209679388,0.9544327273045053,0.8055362877328196,0.8326910725754657,0.8198458574181118,0.6709441233140655,0.7489788053949904
ICU,0.9685720058147925,0.9274541700712904,0.9410199826254351,0.9368954103314286,0.9508105586353937,0.815028901734104,0.8175979447655748,0.7954399486191394,0.6529608220937702,0.7258574181117534
ETHNICITY,0.9731832303327683,0.9163780753067887,0.941887736877431,0.9362190699847777,0.9553290858749848,0.8085163776493256,0.8140655105973025,0.8063583815028902,0.65713551701991,0.724572896596018
AGE,0.9270606030781191,0.8946042093204247,0.9239903369945552,0.929510488200628,0.8755235638248889,0.7959023763648041,0.836223506743738,0.8233782915863841,0.6792935131663456,0.7592549775208735
LOS,0.5954494483276865,0.6015298764850375,0.6132293401438665,0.6196450772704756,0.6385790923852931,0.5481695568400771,0.5218368657675017,0.5404624277456648,0.45000642260757867,0.4339499036608863
GENDER,0.9743076479762325,0.9256572870608493,0.9423468475972461,0.9475214511991699,0.9541277418662975,0.7981502890173411,0.8288375080282595,0.8182402055234426,0.6696596017983301,0.7464097623635195
HEIGHT,0.8667178035765417,0.8381168011538045,0.8541890759858364,0.8605348609372266,0.9218176965242507,0.711946050096339,0.7312138728323699,0.7154784842646115,0.6860757867694284,0.6545664739884394
WEIGHT,0.856589116200958,0.8620306537352993,0.9073324855519187,0.8803022751834386,0.9075659180243935,0.7684649967886963,0.8391136801541426,0.7498394348105331,0.6959409120102762,0.7517276814386641
BMI,0.9486613534321997,0.9022994375548982,0.9281550343346423,0.9332452027683109,0.9552790454276359,0.8246628131021194,0.8224149004495825,0.8073217726396917,0.6519974309569685,0.7425561978163134
DIAS_BP,0.9120678227729981,0.8821155248543652,0.9180437402975119,0.9437982930019906,0.9039190255537396,0.9046242774566474,0.832742453436095,0.8686576750160565,0.6839306358381503,0.8109569685292228
HR,0.9604929087313873,0.916194841729524,0.9294778590455417,0.9142066091735841,0.9462250509725303,0.8127809890815672,0.8416827231856134,0.8262684649967886,0.754155427103404,0.7380603725112396
SYS_BP,0.9284940172255234,0.8692867632589256,0.9001533747974729,0.9080664302321342,0.880290822169161,0.7488375080282594,0.7793448940269749,0.7964033397559409,0.655208734746307,0.6965446371226718
MEAN_BP,0.9183329507538736,0.8450336483629421,0.8719946681542523,0.8772735862846118,0.9186532146058031,0.7472703917790623,0.7430956968529223,0.7318561335902376,0.6198843930635838,0.6381888246628131
RESPRATE,0.9290212060108891,0.8719190643370853,0.8961358944643447,0.8742895675241572,0.9504364299902084,0.7667694283879255,0.7768143866409762,0.7607578676942839,0.6128195247270392,0.7027360308285164
Temprate,0.9693930592299449,0.9063119020277217,0.9394035535970551,0.9514098604773132,0.940054859612502,0.8097109826589596,0.8288375080282595,0.831727681438664,0.6905330764290302,0.7393448940269749
SPO2,0.7026121741663661,0.674385269556896,0.8012937276175859,0.9021452369858711,0.6513509779010055,0.6953628773281952,0.6256390494540783,0.7650867052023121,0.7214129736673089,0.6184842646114322
PH,0.9724355652095009,0.9245352370690623,0.9410684296826137,0.9489067773848352,0.9510733752806514,0.8268208092485549,0.8387925497752087,0.8246628131021194,0.6696596017983301,0.7576493256262042
CA_ION,0.8367152293410725,0.8056826953171989,0.8783445875041512,0.9248173307426548,0.8174896325810345,0.8290301862556197,0.841233140655106,0.8623763648041105,0.6872832369942197,0.6727938342967245
HCO3,0.9667810849185204,0.9071276315070493,0.9323933942888459,0.9408633261007067,0.95659690529146,0.7817726396917148,0.8060372511239563,0.7999357739242132,0.6497495183044316,0.7149389852280026
HEMOGLOBIN,0.9726333048033915,0.9148250713819417,0.9399918083710022,0.948735739756557,0.9485329497791963,0.8048940269749518,0.8330122029543995,0.8230571612074502,0.678330122029544,0.7486576750160565
WBC,0.9666889699590511,0.8992912573787725,0.9364173498615598,0.9275562908967576,0.9417689480382542,0.8172768143866409,0.8175979447655748,0.7848426461143224,0.64461143224149,0.7242517662170842
RBC,0.9739283388700939,0.9210623463429561,0.9432272096277109,0.9458671509081367,0.953502763247116,0.7971868978805395,0.8272318561335903,0.8134232498394348,0.6670905587668594,0.7422350674373797
HEMATOCRIT,0.9580814382412932,0.8794677589221482,0.9347691218153815,0.9250877263986637,0.9388661300123281,0.7702119460500964,0.7996146435452793,0.7813102119460501,0.6333718689788054,0.7165446371226718
PLT,0.9150183176138338,0.875415584695036,0.9014393862381931,0.9036292856825099,0.8451881180483796,0.7972382787411689,0.8683365446371227,0.8737957610789981,0.7025561978163135,0.7154014129736673
RDW,0.9709995944761547,0.9268830513480714,0.940264237392456,0.944416533737745,0.9591016064366902,0.8007193320488118,0.840398201669878,0.8227360308285163,0.6629158638407193,0.758291586384072
ALT,0.9346192986576185,0.8981750108644757,0.924645183926024,0.8707077616330506,0.898730222001733,0.840398201669878,0.7248940269749518,0.8063583815028902,0.6465382145150931,0.6190237636480411
AST,0.9377345180941916,0.8859891215893054,0.8922385758195723,0.9019372055926813,0.9119447755467462,0.7676429030186256,0.8050738599871547,0.7838792549775209,0.6410789980732177,0.7155812459858703
ALB,0.9661582902010032,0.9290620991713532,0.9398626643168702,0.9541883230151056,0.9374839575244212,0.8222350674373796,0.8577392421323058,0.8381502890173411,0.6882851637764933,0.768888888888889
TOTALBILIRUBIN,0.9697506697995615,0.9286406236972315,0.9391190037928671,0.9464211877273018,0.9486604222746258,0.8252151573538857,0.8397559409120103,0.8204881181759794,0.6693384714193963,0.753795761078998
CK,0.9103985408616666,0.9177286393033646,0.9374490773811692,0.9224991997506098,0.9348865421234074,0.7585613359023764,0.7081053307642903,0.8188824662813102,0.7623635195889531,0.7734232498394349
CR,0.9720860915910801,0.9288786993053354,0.9426107091011422,0.9516043286049771,0.9530159832131097,0.8132434168272319,0.8442517662170841,0.8272318561335903,0.6818625561978163,0.758291586384072
UN,0.9592656825913161,0.905282857335657,0.9364345209704331,0.9183772715124932,0.9448786028408482,0.8200770712909441,0.8220937700706488,0.802504816955684,0.6254849068721902,0.7480154142581888
CL_ION,0.9092719819152562,0.8633135548381563,0.868612645107594,0.9144533903648302,0.8692861614910411,0.8681567116249198,0.8598073217726396,0.8956326268464997,0.6970969813744381,0.710956968529223
GLU,0.9505119972142817,0.91724685089842,0.9192943633814993,0.9265025706652823,0.9512811342595083,0.7996660244059088,0.8458574181117533,0.8220937700706488,0.6253949903660887,0.7525112395632627
K_ION,0.9743239218786239,0.9255267670183818,0.9439421013295993,0.9470083383143353,0.952917098985538,0.8016827231856134,0.8304431599229287,0.8188824662813102,0.671907514450867,0.7441618497109826
NA_ION,0.9219854685212374,0.8011787810628639,0.8997739149356253,0.8812553998019195,0.8592544241222798,0.7600256904303146,0.7353885677585099,0.762684649967887,0.6031856133590238,0.6305716120745023
APTT,0.9638227126783614,0.8999114146553404,0.931928259251422,0.9457296953232321,0.9368349028409493,0.8048940269749518,0.8269107257546564,0.8301220295439948,0.6831470777135518,0.7460886319845857
INR,0.9727878030553616,0.926348466263953,0.9413479291606625,0.952541364615029,0.9500361942401974,0.8119588953114965,0.842324983943481,0.8291586384071934,0.6792935131663456,0.756043673731535
LAC,0.9661227186169083,0.9037546138061769,0.9277635258375767,0.935607552347348,0.9454116027702778,0.8098908156711625,0.8015414258188824,0.8015414258188824,0.6523185613359024,0.7146178548490687
ANION_GAP,0.9658846057292858,0.9274408503421507,0.9396684251661791,0.9515146705698545,0.9437554264462733,0.8338856775850996,0.8519588953114965,0.8314065510597303,0.654155427103404,0.7595761078998073
P_ION,0.9717852320383356,0.9134369926426206,0.940639584845876,0.9425668287680374,0.9525284676130715,0.8024149004495825,0.8118175979447656,0.802504816955684,0.6590622992935131,0.7226461143224149
INPUT,0.8989667992665271,0.8626245706465961,0.8173705570747818,0.7711704680045743,0.8439834255674585,0.7486962106615286,0.7906229929351316,0.7398843930635838,0.5919460500963392,0.6709441233140655
