,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.8025797609690226,0.9635592389053922,0.9752929009933163,0.9721554473405798,0.9369024240203083,0.41851400979152037,0.431392777921816,0.4312823148122108,0.409223075843468,0.4330568683240238
ICU,0.8113695721058849,0.9619835220765266,0.974366424080906,0.9676817619160839,0.9397799736133584,0.4093318420540751,0.41912742054140323,0.42028491262550177,0.39281898790864306,0.41812535567809417
ETHNICITY,0.8195693355251071,0.9573668809111017,0.970299511970538,0.9642181875340696,0.9479359988756041,0.4114116794477585,0.421249428625205,0.41965615270069045,0.3924945893022776,0.41882411920160423
AGE,0.8222634364912138,0.9341892101119964,0.9623970966893262,0.9638896281547875,0.9023690090929246,0.4223467893600928,0.4352899973030475,0.45026876765752,0.42513589356149056,0.442773990635718
LOS,0.6050394260141669,0.6373746304077186,0.6533921615219004,0.48449396149822177,0.6025447761800629,0.10967053903920623,0.08105245082627409,0.06454459087572186,0.02865286293561088,0.05557255201898374
GENDER,0.8044272411355331,0.9619077526565281,0.974934016758734,0.9726549734865364,0.938059266164154,0.4173329450051284,0.4293034545756962,0.43033927056827825,0.407625075689198,0.4303318304651836
HEIGHT,0.8096487610547429,0.757565171980753,0.8624313258728347,0.8054245060875707,0.8739742591222344,0.3324341042330241,0.3359076257751884,0.2882602008463791,0.2117310399072694,0.360303315938987
WEIGHT,0.8345030999896472,0.9023063282992255,0.9352598694653927,0.912235324759122,0.9243051499795714,0.3441389530912404,0.4206433238398392,0.3978246241078422,0.3979933427810646,0.4215031775126041
BMI,0.8193035784153226,0.9567936761494554,0.967034771666047,0.9670937201953436,0.9340251929384621,0.4019771349213238,0.4233327052126275,0.42028491262550177,0.3983157894736842,0.42427822239217716
DIAS_BP,0.7796734459694753,0.8547888988407686,0.9274713014555609,0.9155054852670348,0.8321886028735344,0.4361730077283013,0.4809133185637587,0.46321538345957985,0.4664804010864124,0.49191448429295814
HR,0.8225658652674133,0.9289372775385947,0.9413144381411453,0.9501202603282399,0.9068840419665181,0.39465161274816135,0.4310942758673371,0.4312823148122108,0.41400749022869865,0.4421646217261812
SYS_BP,0.7762523533205803,0.8513032335406755,0.8804804304755738,0.9341609170669337,0.8310155899100369,0.45457840329207544,0.40336379391838667,0.4361718286899823,0.40410277105192355,0.3977260475373683
MEAN_BP,0.8530104057480286,0.8831806318278874,0.9262167439491467,0.8900374309833466,0.895486259172422,0.3767042920847269,0.3153777790442741,0.3222936645631161,0.27830079351250286,0.3221646164267349
RESPRATE,0.828226259662538,0.9056768069360207,0.9483022281725078,0.9405961635878795,0.9453657446430759,0.3737614290228598,0.40511196825873574,0.40830879646669127,0.37775447247214095,0.40817234532489877
Temprate,0.7926028736215762,0.9546244417710195,0.9708828403743359,0.9746492619955747,0.9437115328168191,0.4279377429815771,0.4310942758673371,0.44931009850364695,0.4219591044756877,0.43335976861354736
SPO2,0.6813974862810291,0.5104328971795452,0.6670856905366005,0.7128883869676768,0.4428916817470023,0.47061597009396156,0.49915144807231143,0.5633268622375611,0.5450729500986895,0.5440464104423495
PH,0.8022000484684766,0.960142174589691,0.9740639361790546,0.9746492619955747,0.934833924538419,0.42116829840044134,0.43258693839068785,0.43379852750377446,0.4159179078424527,0.4385151820243501
CA_ION,0.6849746526040468,0.786023421521487,0.8378036544502702,0.8775093834583341,0.7099275019823872,0.48067265759217653,0.49516987659735157,0.5003441478348971,0.5001632310418804,0.5018364272463552
HCO3,0.8355218867207901,0.9331933059906514,0.9603730010825603,0.9523099570620766,0.9450787627099734,0.4030642949690714,0.40410119194313726,0.4079924832124312,0.37940723570285617,0.3967568654166155
HEMOGLOBIN,0.8065460932545112,0.9610711353579793,0.9733208399651994,0.973291584849469,0.9304996238692211,0.4232302495368857,0.4301988341737295,0.4297106988007224,0.4085840880319408,0.428213141549526
WBC,0.8300747287657206,0.9251803518534447,0.9594433041581611,0.9512189552281972,0.9411019675056638,0.40156510760114755,0.41821738526006397,0.41115242154961484,0.3810559992067301,0.41213827503310324
RBC,0.8028292959009647,0.9647510501572988,0.9760665512806277,0.971549244620264,0.9373170346735361,0.41939922427685666,0.4301988341737295,0.42908221062426666,0.40666539838989246,0.4276078390484011
HEMATOCRIT,0.835646116177457,0.9405672792528991,0.9588008196266954,0.9520832980806746,0.8988593495212909,0.412550256952534,0.41609230227521177,0.419341731003657,0.3744365233380348,0.41268150840813755
PLT,0.7428213961274581,0.8096221698325613,0.8922179242393615,0.8719251345153719,0.8007512655385891,0.4462160217018214,0.4469770340321825,0.4589709867686912,0.4356283831398636,0.4597468246888407
RDW,0.8029888716819589,0.9497640068698097,0.973436067494442,0.9716405600246766,0.9291188558196879,0.4232302495368857,0.42840809333673147,0.42782543139554363,0.41145745525201366,0.4385151820243501
ALT,0.7858682545191591,0.9116500470068767,0.9130287963023204,0.9252695786121364,0.8665230076642976,0.4394138686973578,0.4173069366633139,0.44010349496314405,0.40314039065030216,0.4251864367530201
AST,0.7961772990082835,0.9229293769162813,0.9347954151796557,0.9594605087194813,0.9383875757539102,0.40515849814428795,0.41973389854392124,0.42450058371214844,0.41559961642599275,0.434874757582915
ALB,0.7833104639061582,0.9587650216744057,0.9668326571686718,0.9642632614918147,0.8975996861844768,0.42852585273355526,0.44637364896384324,0.44536748844950996,0.42767726517453447,0.4528963488745199
TOTALBILIRUBIN,0.8048715407083891,0.9603574794910327,0.971842172117904,0.9728020955417932,0.9387077672428177,0.4167420566961074,0.43557401255075673,0.4331692475544163,0.4149629036996294,0.4363907270257242
CK,0.7925260462463646,0.9381354667946638,0.9448997656735028,0.9455223381554421,0.9454232510622123,0.4205992536643044,0.4310942758673371,0.4127299376832157,0.4375408917330275,0.42631874941508935
CR,0.7971390984902313,0.9632367156084887,0.975354652709918,0.9736369125434771,0.9287551026441712,0.4223467893600928,0.4341130669522343,0.4394717671890468,0.41878082261426613,0.44033855371572517
UN,0.7909810402164439,0.9516047876831231,0.9659061731777705,0.9623457455546502,0.9245176781560502,0.4099265184029133,0.4373008770359764,0.43694785883088016,0.4159179078424527,0.43821151716500556
CL_ION,0.7626484288117578,0.8646672190113467,0.9157609900227242,0.9343766912845533,0.880626498756991,0.4349763496862563,0.4727851235576685,0.4763234784331204,0.4698488354544997,0.47254590477970376
GLU,0.8163999310537078,0.8870986512712935,0.942197802801087,0.9443029051537852,0.9336794894841342,0.41880913484446264,0.39803507691192724,0.4174545292090847,0.3892436413452666,0.413964533488945
K_ION,0.8029973506217933,0.9646013770051458,0.9749466033206473,0.9731602086392438,0.932722077243406,0.41880913484446264,0.431392777921816,0.4319111555675246,0.4105002453686664,0.43335976861354736
NA_ION,0.8529797389595739,0.8611671105816776,0.9410101417911256,0.9122146224583172,0.9174274716535396,0.39120738995281384,0.38538613482859696,0.4174545292090847,0.37742343048838933,0.3849424970732043
APTT,0.7923022330528809,0.9143842242983761,0.9724635565032008,0.950653130330807,0.9319123970717943,0.4220522275926515,0.429726451249956,0.4353725274495742,0.39992645788058967,0.43848773450844736
INR,0.7973794153312483,0.9647823490420178,0.9760452232115193,0.9723806400164634,0.9319922910031296,0.4220522275926515,0.43647079892031027,0.43442798289045337,0.4136889220440134,0.4385151820243501
LAC,0.8205297771321934,0.9552778368943899,0.9671256527708516,0.9611963752230632,0.939772559855842,0.40561525129982673,0.4115289706447892,0.4165104352026031,0.39119574819754355,0.41227800118531954
ANION_GAP,0.8056018992989271,0.9576354236480153,0.9705020389657684,0.971507533148001,0.9333650214357536,0.4241134006167648,0.4322883720340954,0.43411323234419313,0.41145745525201366,0.4369974418553512
P_ION,0.8159879124392728,0.9560949647787093,0.9702259185938413,0.9650781407112737,0.9422757303103708,0.4102237233167024,0.4233698426951402,0.4205992536643044,0.39637948753679736,0.42077292510266495
INPUT,0.829287664296736,0.8749686004853006,0.9300820657339843,0.9093555417253208,0.9183682339515031,0.36893087679329073,0.4059177637832793,0.3984630548554064,0.37940723570285617,0.40969927296761394
OUTPUT,0.7924555607766143,0.9496471549612854,0.9559706372865528,0.9646283176016278,0.8955142775720415,0.40665119393635374,0.4334827665715507,0.41839828227150355,0.3863064274880288,0.43335976861354736
INPUT_MINUS_OUTPUT,0.7441432484527576,0.9082571789991369,0.9411922617617268,0.964890905357578,0.8483831128511947,0.42940795987540553,0.4453261304521809,0.45832109487254796,0.4203702414753977,0.4584933306386419
