,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.9713321559488715,0.9458971770672325,0.9728303779956304,0.9682470130876183,0.9501845888000373,0.5084925690021231,0.5033484866975836,0.5095693779904307,0.5046324123489992,0.5022940362279593
ICU,0.9711885908818949,0.944872376073528,0.973699940273202,0.9683998350526243,0.9501665084859499,0.506993006993007,0.5022315584156656,0.5081967213114754,0.5035346514262177,0.5018983783989787
ETHNICITY,0.977990028447228,0.9450179874419342,0.9762747705811943,0.9685069309760529,0.9511977698997061,0.5070546737213404,0.5022523118045656,0.5083857442348009,0.5035619222515682,0.5020176695319962
AGE,0.9319017144190306,0.9142866507546092,0.9466411673332533,0.9298486396919381,0.8802818463217802,0.508298755186722,0.5031079622436432,0.5104438642297651,0.5057871791722952,0.5024317653890825
LOS,0.8947736748658408,0.7978881387972296,0.8847594656374858,0.8548086967382691,0.8233837015037063,0.5032154340836013,0.4778291053345861,0.5032102728731942,0.49032390379042073,0.48398532401209776
GENDER,0.9727904437003575,0.9462065779047562,0.9739912656879388,0.9681443965068051,0.9497146362024014,0.5082815734989649,0.5031825100318251,0.5092592592592593,0.5044251803487889,0.5022523118045656
HEIGHT,0.7942322594175164,0.807730332229014,0.8328278093476251,0.8129677684343095,0.8073082196668335,0.5063091482649842,0.4982446232045548,0.5051085568326947,0.49963262125964064,0.4973481031618508
WEIGHT,0.9584031360889302,0.9135561151763236,0.9582581704720086,0.9438067133520633,0.9205784111143905,0.5058309037900874,0.5016457680250784,0.5064102564102564,0.5025778619528619,0.501427360191138
BMI,0.9346716246338764,0.9283020932302575,0.9572105486358422,0.956993917887282,0.9472690495751275,0.5079840319361277,0.5027638561320755,0.5082135523613963,0.5047038645916804,0.5022419261822376
DIAS_BP,0.7736290944343169,0.8676326404035026,0.8531122118241898,0.8312429277969564,0.887822647226091,0.5129032258064516,0.5054948513872026,0.5133333333333333,0.5095138500251224,0.5042601024705335
HR,0.9385222162444374,0.9300050899483754,0.9640099169290492,0.9477225323847014,0.9310298816495034,0.506872852233677,0.5018786787816446,0.5077369439071566,0.5040858428892937,0.5006902063353676
SYS_BP,0.8606383842525795,0.8426910125028655,0.9466131937653264,0.9348799805566113,0.8348627653966338,0.5072595281306715,0.501742085749596,0.5077821011673151,0.5040858428892937,0.5015408320493067
MEAN_BP,0.9643954009784366,0.9249274477232754,0.9552250884044635,0.948815141645738,0.9369994713521559,0.5051085568326947,0.5000830220008302,0.5053050397877984,0.5012026529810314,0.5002118010565135
RESPRATE,0.9714067126581654,0.9307179553506049,0.9647801482863596,0.9566240243560036,0.9381093838353523,0.5065897858319605,0.5018394250904246,0.5074626865671642,0.5026956751674697,0.5011840183725346
