Arguments: Namespace(gap=6, num_epochs=200, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190104_32_3', run_fold=1, verbose=0)
iter: 000, train loss: 0.08113293, test loss: 0.09854006
         , train AUC: 0.99456039, test AUC: 0.99102036
         , train F-1: 0.96489446, test F-1: 0.94238503
iter: 001, train loss: 0.08748399, test loss: 0.07873950
         , train AUC: 0.99346189, test AUC: 0.99168939
         , train F-1: 0.95408299, test F-1: 0.95244088
iter: 002, train loss: 0.07360905, test loss: 0.08222824
         , train AUC: 0.99369922, test AUC: 0.99176767
         , train F-1: 0.96231780, test F-1: 0.95357078
iter: 003, train loss: 0.08092096, test loss: 0.08844984
         , train AUC: 0.99369342, test AUC: 0.98872788
         , train F-1: 0.96130013, test F-1: 0.95195962
iter: 004, train loss: 0.07652342, test loss: 0.09540435
         , train AUC: 0.99234547, test AUC: 0.98743939
         , train F-1: 0.96318976, test F-1: 0.94626303
iter: 005, train loss: 0.08059248, test loss: 0.07176851
         , train AUC: 0.99203907, test AUC: 0.99293150
         , train F-1: 0.96003694, test F-1: 0.96167371
iter: 006, train loss: 0.06778648, test loss: 0.08004165
         , train AUC: 0.99543425, test AUC: 0.99249494
         , train F-1: 0.96797369, test F-1: 0.95302854
iter: 007, train loss: 0.07011849, test loss: 0.09273537
         , train AUC: 0.99527274, test AUC: 0.99130895
         , train F-1: 0.96522019, test F-1: 0.93787151
iter: 008, train loss: 0.07598081, test loss: 0.09629843
         , train AUC: 0.99506230, test AUC: 0.99118189
         , train F-1: 0.95461171, test F-1: 0.93674077
iter: 009, train loss: 0.07325450, test loss: 0.08922216
         , train AUC: 0.99569647, test AUC: 0.99127629
         , train F-1: 0.95580528, test F-1: 0.95065668
iter: 010, train loss: 0.06072830, test loss: 0.09513394
         , train AUC: 0.99624912, test AUC: 0.99089122
         , train F-1: 0.96756450, test F-1: 0.94962902
iter: 011, train loss: 0.06078157, test loss: 0.08216298
         , train AUC: 0.99617079, test AUC: 0.99128070
         , train F-1: 0.97212166, test F-1: 0.95625736
iter: 012, train loss: 0.05887542, test loss: 0.08330731
         , train AUC: 0.99600497, test AUC: 0.99128395
         , train F-1: 0.97091708, test F-1: 0.95672860
iter: 013, train loss: 0.05605468, test loss: 0.09704351
         , train AUC: 0.99614543, test AUC: 0.99026249
         , train F-1: 0.97329437, test F-1: 0.95181045
iter: 014, train loss: 0.05845857, test loss: 0.11179969
         , train AUC: 0.99603369, test AUC: 0.98891836
         , train F-1: 0.97162856, test F-1: 0.94370334
iter: 015, train loss: 0.06145635, test loss: 0.09697454
         , train AUC: 0.99586727, test AUC: 0.99060780
         , train F-1: 0.96924213, test F-1: 0.95115771
iter: 016, train loss: 0.05725544, test loss: 0.10743358
         , train AUC: 0.99637561, test AUC: 0.98962793
         , train F-1: 0.97127832, test F-1: 0.94568315
iter: 017, train loss: 0.05336578, test loss: 0.13384987
         , train AUC: 0.99659080, test AUC: 0.98801388
         , train F-1: 0.97332089, test F-1: 0.93719584
iter: 018, train loss: 0.05166724, test loss: 0.12797959
         , train AUC: 0.99685012, test AUC: 0.98801869
         , train F-1: 0.97420990, test F-1: 0.93758734
iter: 019, train loss: 0.05166846, test loss: 0.11707086
         , train AUC: 0.99689844, test AUC: 0.98845693
         , train F-1: 0.97482588, test F-1: 0.94252935
iter: 020, train loss: 0.05020198, test loss: 0.12505722
         , train AUC: 0.99707030, test AUC: 0.98803506
         , train F-1: 0.97577483, test F-1: 0.94088814
iter: 021, train loss: 0.04855107, test loss: 0.12356623
         , train AUC: 0.99721519, test AUC: 0.98808122
         , train F-1: 0.97680759, test F-1: 0.94243443
iter: 022, train loss: 0.04724984, test loss: 0.12545523
         , train AUC: 0.99723514, test AUC: 0.98704451
         , train F-1: 0.97811778, test F-1: 0.94102230
iter: 023, train loss: 0.04980705, test loss: 0.14239483
         , train AUC: 0.99712434, test AUC: 0.98561077
         , train F-1: 0.97597835, test F-1: 0.93539987
iter: 024, train loss: 0.04522812, test loss: 0.16322912
         , train AUC: 0.99743514, test AUC: 0.98447096
         , train F-1: 0.97894620, test F-1: 0.92838008
iter: 025, train loss: 0.04698179, test loss: 0.16012239
         , train AUC: 0.99737617, test AUC: 0.98494010
         , train F-1: 0.97785266, test F-1: 0.92510583
iter: 026, train loss: 0.04520379, test loss: 0.15419592
         , train AUC: 0.99744715, test AUC: 0.98546018
         , train F-1: 0.97897285, test F-1: 0.92844390
iter: 027, train loss: 0.04262588, test loss: 0.15121222
         , train AUC: 0.99759693, test AUC: 0.98580803
         , train F-1: 0.98050235, test F-1: 0.93018074
iter: 028, train loss: 0.04364715, test loss: 0.13439599
         , train AUC: 0.99760416, test AUC: 0.98758103
         , train F-1: 0.97946620, test F-1: 0.93638014
iter: 029, train loss: 0.04200108, test loss: 0.12461250
         , train AUC: 0.99773594, test AUC: 0.98888022
         , train F-1: 0.98039590, test F-1: 0.93731715
iter: 030, train loss: 0.04191661, test loss: 0.11698566
         , train AUC: 0.99777351, test AUC: 0.98903094
         , train F-1: 0.98056795, test F-1: 0.94137056
iter: 031, train loss: 0.04112507, test loss: 0.13025637
         , train AUC: 0.99779870, test AUC: 0.98846379
         , train F-1: 0.98092320, test F-1: 0.93698884
iter: 032, train loss: 0.04279671, test loss: 0.14358440
         , train AUC: 0.99771951, test AUC: 0.98804572
         , train F-1: 0.97962610, test F-1: 0.93602912
iter: 033, train loss: 0.03967571, test loss: 0.14827293
         , train AUC: 0.99794424, test AUC: 0.98708292
         , train F-1: 0.98116155, test F-1: 0.93548299
iter: 034, train loss: 0.03805022, test loss: 0.16554195
         , train AUC: 0.99801363, test AUC: 0.98583333
         , train F-1: 0.98270688, test F-1: 0.92916961
iter: 035, train loss: 0.04081398, test loss: 0.17066330
         , train AUC: 0.99790442, test AUC: 0.98546395
         , train F-1: 0.98191079, test F-1: 0.92802852
iter: 036, train loss: 0.03656085, test loss: 0.17133211
         , train AUC: 0.99810777, test AUC: 0.98526555
         , train F-1: 0.98327914, test F-1: 0.92499291
iter: 037, train loss: 0.03909996, test loss: 0.14898542
         , train AUC: 0.99794543, test AUC: 0.98682357
         , train F-1: 0.98178616, test F-1: 0.93171313
iter: 038, train loss: 0.03592825, test loss: 0.15717836
         , train AUC: 0.99808011, test AUC: 0.98686309
         , train F-1: 0.98404383, test F-1: 0.92618124
iter: 039, train loss: 0.04759397, test loss: 0.15686926
         , train AUC: 0.99768263, test AUC: 0.98696667
         , train F-1: 0.97955122, test F-1: 0.92295975
iter: 040, train loss: 0.04619746, test loss: 0.15262792
         , train AUC: 0.99776626, test AUC: 0.98704051
         , train F-1: 0.97916940, test F-1: 0.92277829
iter: 041, train loss: 0.04474873, test loss: 0.14831124
         , train AUC: 0.99778016, test AUC: 0.98685067
         , train F-1: 0.97888226, test F-1: 0.92606662
iter: 042, train loss: 0.04339025, test loss: 0.14587514
         , train AUC: 0.99781757, test AUC: 0.98677140
         , train F-1: 0.97901943, test F-1: 0.93066693
iter: 043, train loss: 0.04185661, test loss: 0.14794447
         , train AUC: 0.99787857, test AUC: 0.98679208
         , train F-1: 0.97950780, test F-1: 0.93157003
iter: 044, train loss: 0.04117024, test loss: 0.14237909
         , train AUC: 0.99790048, test AUC: 0.98715269
         , train F-1: 0.97939815, test F-1: 0.93472537
iter: 045, train loss: 0.04032955, test loss: 0.13266861
         , train AUC: 0.99791130, test AUC: 0.98763570
         , train F-1: 0.98042344, test F-1: 0.93694735
iter: 046, train loss: 0.03984713, test loss: 0.12867591
         , train AUC: 0.99797597, test AUC: 0.98785787
         , train F-1: 0.98120703, test F-1: 0.93843494
