Arguments: Namespace(gap=5, num_epochs=200, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190104', run_fold=1, verbose=0)
iter: 000, train loss: 0.09511591, test loss: 0.09566011
         , train AUC: 0.99135428, test AUC: 0.99210509
         , train F-1: 0.95328785, test F-1: 0.94717595
iter: 001, train loss: 0.09847375, test loss: 0.09293243
         , train AUC: 0.99153708, test AUC: 0.99168233
         , train F-1: 0.94984084, test F-1: 0.94759669
iter: 002, train loss: 0.09569661, test loss: 0.09357002
         , train AUC: 0.99108549, test AUC: 0.99207534
         , train F-1: 0.95172768, test F-1: 0.94840669
iter: 003, train loss: 0.08717809, test loss: 0.07137108
         , train AUC: 0.99225625, test AUC: 0.99472897
         , train F-1: 0.95517082, test F-1: 0.96425350
iter: 004, train loss: 0.07837699, test loss: 0.07803995
         , train AUC: 0.99243381, test AUC: 0.99532732
         , train F-1: 0.95946427, test F-1: 0.96243271
iter: 005, train loss: 0.08720481, test loss: 0.08370798
         , train AUC: 0.99260988, test AUC: 0.99236171
         , train F-1: 0.95553299, test F-1: 0.95786570
iter: 006, train loss: 0.07808418, test loss: 0.09767953
         , train AUC: 0.99265175, test AUC: 0.98995671
         , train F-1: 0.95856825, test F-1: 0.95028523
iter: 007, train loss: 0.08202038, test loss: 0.10046746
         , train AUC: 0.99245525, test AUC: 0.98863264
         , train F-1: 0.95561652, test F-1: 0.95072383
iter: 008, train loss: 0.07898672, test loss: 0.09629349
         , train AUC: 0.99275818, test AUC: 0.98962003
         , train F-1: 0.96117865, test F-1: 0.95358565
iter: 009, train loss: 0.06963197, test loss: 0.09119604
         , train AUC: 0.99397429, test AUC: 0.99092123
         , train F-1: 0.96685420, test F-1: 0.95442236
iter: 010, train loss: 0.07146137, test loss: 0.09309023
         , train AUC: 0.99335849, test AUC: 0.99114966
         , train F-1: 0.96483371, test F-1: 0.95319839
iter: 011, train loss: 0.06891749, test loss: 0.08929297
         , train AUC: 0.99360424, test AUC: 0.99171384
         , train F-1: 0.96735926, test F-1: 0.95403251
iter: 012, train loss: 0.06340433, test loss: 0.08744523
