Arguments: Namespace(gap=4, num_epochs=200, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190104_16_2', run_fold=1, verbose=0)
iter: 000, train loss: 0.66202825, test loss: 0.63370973
         , train AUC: 0.54987186, test AUC: 0.48781780
         , train F-1: 0.44418212, test F-1: 0.42975337
iter: 001, train loss: 0.62521285, test loss: 0.60159206
         , train AUC: 0.55358757, test AUC: 0.52929884
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 002, train loss: 0.59124237, test loss: 0.57350540
         , train AUC: 0.57240242, test AUC: 0.52553861
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 003, train loss: 0.55779648, test loss: 0.55424464
         , train AUC: 0.58189644, test AUC: 0.54003524
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 004, train loss: 0.53188258, test loss: 0.55330342
         , train AUC: 0.58984639, test AUC: 0.57715015
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 005, train loss: 0.52460140, test loss: 0.56870335
         , train AUC: 0.60995176, test AUC: 0.60748369
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 006, train loss: 0.53322387, test loss: 0.57185614
         , train AUC: 0.63660500, test AUC: 0.64725887
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 007, train loss: 0.53566515, test loss: 0.56327963
         , train AUC: 0.66587620, test AUC: 0.66470298
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 008, train loss: 0.52839267, test loss: 0.55241019
         , train AUC: 0.68850895, test AUC: 0.66472706
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 009, train loss: 0.51972997, test loss: 0.54830188
         , train AUC: 0.69002202, test AUC: 0.64205700
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 010, train loss: 0.51364470, test loss: 0.54432094
         , train AUC: 0.68897900, test AUC: 0.63918241
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 011, train loss: 0.51120502, test loss: 0.54200029
         , train AUC: 0.69300873, test AUC: 0.64656915
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 012, train loss: 0.51020896, test loss: 0.53899229
         , train AUC: 0.70193209, test AUC: 0.66160505
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 013, train loss: 0.50785607, test loss: 0.53399915
         , train AUC: 0.71726119, test AUC: 0.68322121
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 014, train loss: 0.50300556, test loss: 0.52752662
         , train AUC: 0.73259547, test AUC: 0.70107073
         , train F-1: 0.43519790, test F-1: 0.43184100
iter: 015, train loss: 0.49578133, test loss: 0.52202231
         , train AUC: 0.74245718, test AUC: 0.70996489
         , train F-1: 0.43767436, test F-1: 0.45716143
iter: 016, train loss: 0.48873419, test loss: 0.51483208
         , train AUC: 0.74768227, test AUC: 0.72651933
         , train F-1: 0.45592238, test F-1: 0.50585184
iter: 017, train loss: 0.48140317, test loss: 0.50593990
         , train AUC: 0.75866414, test AUC: 0.74379212
         , train F-1: 0.53452121, test F-1: 0.51073769
iter: 018, train loss: 0.47365767, test loss: 0.49645200
         , train AUC: 0.77369831, test AUC: 0.75874373
         , train F-1: 0.55636877, test F-1: 0.51808502
iter: 019, train loss: 0.46545118, test loss: 0.48866242
         , train AUC: 0.78548396, test AUC: 0.77035508
         , train F-1: 0.56713056, test F-1: 0.52040540
iter: 020, train loss: 0.45609233, test loss: 0.47678077
         , train AUC: 0.79652774, test AUC: 0.78520014
         , train F-1: 0.57081278, test F-1: 0.52603785
iter: 021, train loss: 0.44499773, test loss: 0.46618721
         , train AUC: 0.80800696, test AUC: 0.79615869
         , train F-1: 0.57390543, test F-1: 0.53668143
iter: 022, train loss: 0.43413472, test loss: 0.45500872
         , train AUC: 0.81844442, test AUC: 0.80516723
         , train F-1: 0.58748707, test F-1: 0.57332108
iter: 023, train loss: 0.42234555, test loss: 0.44120982
         , train AUC: 0.82713315, test AUC: 0.81594026
         , train F-1: 0.61811045, test F-1: 0.61848709
iter: 024, train loss: 0.41398311, test loss: 0.42787188
         , train AUC: 0.82896429, test AUC: 0.82712885
         , train F-1: 0.64586489, test F-1: 0.66745064
iter: 025, train loss: 0.40198672, test loss: 0.44179043
         , train AUC: 0.83927265, test AUC: 0.81944098
         , train F-1: 0.69296321, test F-1: 0.71290895
iter: 026, train loss: 0.40072644, test loss: 0.41919354
         , train AUC: 0.84757834, test AUC: 0.83232394
         , train F-1: 0.73802573, test F-1: 0.72060272
iter: 027, train loss: 0.38789323, test loss: 0.41554397
         , train AUC: 0.85079744, test AUC: 0.83893183
         , train F-1: 0.73834383, test F-1: 0.73282430
iter: 028, train loss: 0.38552585, test loss: 0.41543677
         , train AUC: 0.85492638, test AUC: 0.83794436
         , train F-1: 0.74148559, test F-1: 0.74833947
iter: 029, train loss: 0.37598336, test loss: 0.43001637
         , train AUC: 0.86190533, test AUC: 0.83173861
         , train F-1: 0.76699720, test F-1: 0.74570232
iter: 030, train loss: 0.37202120, test loss: 0.41735530
         , train AUC: 0.86705521, test AUC: 0.83682834
         , train F-1: 0.77250404, test F-1: 0.74507714
iter: 031, train loss: 0.36692539, test loss: 0.41718507
         , train AUC: 0.86961469, test AUC: 0.83843806
         , train F-1: 0.76757985, test F-1: 0.73523400
iter: 032, train loss: 0.36831406, test loss: 0.41393891
         , train AUC: 0.87255917, test AUC: 0.83937059
         , train F-1: 0.76079333, test F-1: 0.75345065
iter: 033, train loss: 0.35648575, test loss: 0.42308095
         , train AUC: 0.87842113, test AUC: 0.83541783
         , train F-1: 0.77352298, test F-1: 0.76141581
iter: 034, train loss: 0.35494283, test loss: 0.41221866
         , train AUC: 0.87966873, test AUC: 0.84146650
         , train F-1: 0.78385016, test F-1: 0.76932853
iter: 035, train loss: 0.34883216, test loss: 0.39486110
         , train AUC: 0.88439135, test AUC: 0.85469179
         , train F-1: 0.78813177, test F-1: 0.76973912
iter: 036, train loss: 0.34168562, test loss: 0.39050850
         , train AUC: 0.89016106, test AUC: 0.85902977
         , train F-1: 0.79135368, test F-1: 0.77204886
iter: 037, train loss: 0.33972287, test loss: 0.37495241
         , train AUC: 0.89065434, test AUC: 0.87086795
         , train F-1: 0.79135585, test F-1: 0.78394429
iter: 038, train loss: 0.32987165, test loss: 0.37261716
         , train AUC: 0.89748382, test AUC: 0.87237136
         , train F-1: 0.80257323, test F-1: 0.78990360
iter: 039, train loss: 0.32701224, test loss: 0.37442687
         , train AUC: 0.89971616, test AUC: 0.87303271
         , train F-1: 0.80627816, test F-1: 0.79120384
iter: 040, train loss: 0.32388461, test loss: 0.36728224
         , train AUC: 0.90225626, test AUC: 0.87614231
         , train F-1: 0.81076919, test F-1: 0.78991175
iter: 041, train loss: 0.31715882, test loss: 0.36886692
         , train AUC: 0.90566164, test AUC: 0.87588660
         , train F-1: 0.81100994, test F-1: 0.78764508
iter: 042, train loss: 0.31901947, test loss: 0.35915321
         , train AUC: 0.90491075, test AUC: 0.88314688
         , train F-1: 0.80526966, test F-1: 0.79355178
iter: 043, train loss: 0.30950192, test loss: 0.35372123
         , train AUC: 0.91081925, test AUC: 0.88971897
         , train F-1: 0.81445479, test F-1: 0.80148236
iter: 044, train loss: 0.30695140, test loss: 0.33962005
         , train AUC: 0.91393994, test AUC: 0.89643765
         , train F-1: 0.82005933, test F-1: 0.80678377
iter: 045, train loss: 0.30572915, test loss: 0.33603591
         , train AUC: 0.91420597, test AUC: 0.89873014
         , train F-1: 0.81646825, test F-1: 0.80369998
iter: 046, train loss: 0.29944015, test loss: 0.34186074
         , train AUC: 0.91734812, test AUC: 0.89691251
         , train F-1: 0.81779764, test F-1: 0.80265510
iter: 047, train loss: 0.28966075, test loss: 0.34905073
