Arguments: Namespace(gap=1, num_epochs=200, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190104', run_fold=1, verbose=0)
iter: 000, train loss: 0.09451884, test loss: 0.09131773
         , train AUC: 0.99173070, test AUC: 0.99163624
         , train F-1: 0.95526333, test F-1: 0.95210750
iter: 001, train loss: 0.08887367, test loss: 0.09888814
         , train AUC: 0.99253758, test AUC: 0.99022112
         , train F-1: 0.95758615, test F-1: 0.94915178
iter: 002, train loss: 0.08512223, test loss: 0.10316698
         , train AUC: 0.99282128, test AUC: 0.98985001
         , train F-1: 0.95898746, test F-1: 0.94574774
iter: 003, train loss: 0.08474940, test loss: 0.10162470
         , train AUC: 0.99288372, test AUC: 0.98974658
         , train F-1: 0.95964241, test F-1: 0.94706497
iter: 004, train loss: 0.08367217, test loss: 0.10243549
         , train AUC: 0.99289586, test AUC: 0.98978137
         , train F-1: 0.95980640, test F-1: 0.94592009
iter: 005, train loss: 0.08073583, test loss: 0.10639580
         , train AUC: 0.99332250, test AUC: 0.98933812
         , train F-1: 0.96271624, test F-1: 0.94262920
iter: 006, train loss: 0.07917015, test loss: 0.11159353
         , train AUC: 0.99361253, test AUC: 0.98821064
         , train F-1: 0.96311097, test F-1: 0.93639663
iter: 007, train loss: 0.07728006, test loss: 0.11892221
         , train AUC: 0.99387095, test AUC: 0.98706634
         , train F-1: 0.96440354, test F-1: 0.93294414
iter: 008, train loss: 0.07576104, test loss: 0.11860232
         , train AUC: 0.99416049, test AUC: 0.98738180
         , train F-1: 0.96469914, test F-1: 0.93282147
iter: 009, train loss: 0.07349743, test loss: 0.11422719
         , train AUC: 0.99458384, test AUC: 0.98809342
         , train F-1: 0.96676745, test F-1: 0.94064045
iter: 010, train loss: 0.07146740, test loss: 0.11900274
         , train AUC: 0.99474705, test AUC: 0.98746933
         , train F-1: 0.96816928, test F-1: 0.93663576
iter: 011, train loss: 0.07418706, test loss: 0.11325958
         , train AUC: 0.99440517, test AUC: 0.98824569
         , train F-1: 0.96420510, test F-1: 0.94228007
iter: 012, train loss: 0.07128166, test loss: 0.11849365
         , train AUC: 0.99469765, test AUC: 0.98745792
         , train F-1: 0.96595364, test F-1: 0.93585066
iter: 013, train loss: 0.06988384, test loss: 0.12377823
         , train AUC: 0.99481453, test AUC: 0.98624183
         , train F-1: 0.96601441, test F-1: 0.93583216
iter: 014, train loss: 0.07096345, test loss: 0.13571090
         , train AUC: 0.99472165, test AUC: 0.98455766
         , train F-1: 0.96657228, test F-1: 0.93077666
iter: 015, train loss: 0.07046634, test loss: 0.14249238
         , train AUC: 0.99481540, test AUC: 0.98389812
         , train F-1: 0.96691811, test F-1: 0.92748709
iter: 016, train loss: 0.07115734, test loss: 0.14747922
         , train AUC: 0.99487839, test AUC: 0.98346002
         , train F-1: 0.96570279, test F-1: 0.92498150
iter: 017, train loss: 0.07054127, test loss: 0.14536203
         , train AUC: 0.99492769, test AUC: 0.98348819
         , train F-1: 0.96641704, test F-1: 0.92512543
iter: 018, train loss: 0.07097356, test loss: 0.14169578
         , train AUC: 0.99502918, test AUC: 0.98365579
         , train F-1: 0.96485973, test F-1: 0.92488319
iter: 019, train loss: 0.07078716, test loss: 0.14894991
         , train AUC: 0.99507262, test AUC: 0.98322890
         , train F-1: 0.96568348, test F-1: 0.91725136
iter: 020, train loss: 0.06889676, test loss: 0.13872501
         , train AUC: 0.99517091, test AUC: 0.98402132
         , train F-1: 0.96730751, test F-1: 0.92194113
iter: 021, train loss: 0.06583180, test loss: 0.14644350
         , train AUC: 0.99547982, test AUC: 0.98352634
         , train F-1: 0.96895038, test F-1: 0.91805255
iter: 022, train loss: 0.06349605, test loss: 0.15445173
         , train AUC: 0.99581120, test AUC: 0.98242718
         , train F-1: 0.97009329, test F-1: 0.91323945
iter: 023, train loss: 0.06179722, test loss: 0.15950190
         , train AUC: 0.99602565, test AUC: 0.98187709
         , train F-1: 0.97071738, test F-1: 0.91131529
iter: 024, train loss: 0.06104915, test loss: 0.15638144
         , train AUC: 0.99601850, test AUC: 0.98262098
         , train F-1: 0.97143922, test F-1: 0.91707559
iter: 025, train loss: 0.05949282, test loss: 0.15266837
         , train AUC: 0.99625122, test AUC: 0.98279857
