Arguments: Namespace(dropout=0.2, gap=2, hidden_size=8, l1=0.0, l2=1e-05, lr=0.005, num_epochs=400, num_layers=1, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190105/LSTM_8_1_ep=400_dr=0.2_lr=0.005_l2=1e-05_l1=0.0')
iter: 000, train loss: 0.71716279, test loss: 0.67871010
         , train AUC: 0.52770333, test AUC: 0.58759606
         , train F-1: 0.49442505, test F-1: 0.53070009
iter: 001, train loss: 0.68880606, test loss: 0.66360551
         , train AUC: 0.56368705, test AUC: 0.59301173
         , train F-1: 0.53439554, test F-1: 0.53963369
iter: 002, train loss: 0.66871840, test loss: 0.65357947
         , train AUC: 0.58002504, test AUC: 0.59519953
         , train F-1: 0.54823853, test F-1: 0.54171098
iter: 003, train loss: 0.65354609, test loss: 0.64735973
         , train AUC: 0.58828416, test AUC: 0.59368055
         , train F-1: 0.55070186, test F-1: 0.53330098
iter: 004, train loss: 0.64054942, test loss: 0.64083445
         , train AUC: 0.59601648, test AUC: 0.59737141
         , train F-1: 0.55178559, test F-1: 0.53068424
iter: 005, train loss: 0.63039601, test loss: 0.63437933
         , train AUC: 0.60025931, test AUC: 0.60340748
         , train F-1: 0.54829196, test F-1: 0.52778715
iter: 006, train loss: 0.62308985, test loss: 0.63003308
         , train AUC: 0.60458126, test AUC: 0.60767057
         , train F-1: 0.54452292, test F-1: 0.52381095
iter: 007, train loss: 0.61671561, test loss: 0.62678158
         , train AUC: 0.61042538, test AUC: 0.61463845
         , train F-1: 0.54286198, test F-1: 0.52301714
iter: 008, train loss: 0.61113966, test loss: 0.62288785
         , train AUC: 0.61711247, test AUC: 0.62383125
         , train F-1: 0.53939453, test F-1: 0.52251056
iter: 009, train loss: 0.60658234, test loss: 0.62006450
         , train AUC: 0.62384909, test AUC: 0.62963008
         , train F-1: 0.53512824, test F-1: 0.52097834
iter: 010, train loss: 0.60160178, test loss: 0.61715430
         , train AUC: 0.63241854, test AUC: 0.63686016
