,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.9330615725551688,0.9297313129735219,0.9474636296461914,0.9355017773419574,0.9373996667937297,0.5266499996517979,0.517139674122193,0.48828918689129686,0.5026190394893868,0.4760314682444831
ICU,0.9225949716759179,0.9071227273653877,0.9179835768724132,0.9119132618361148,0.914715210674894,0.5666115305479946,0.5681806028416915,0.5435329513168805,0.5611448993554284,0.554742224115172
ETHNICITY,0.9228487587135512,0.9122138537293256,0.9266284489651304,0.9244264977502072,0.9238836133969606,0.5273173741783874,0.5147871896953486,0.5004254798209135,0.4994903905442375,0.48292059355399164
AGE,0.9134570773969773,0.9128680925692755,0.9179885779740691,0.907110685810927,0.9235440896012519,0.5214426477297375,0.5203470863111511,0.49469789899306893,0.4903051906660567,0.4752147523419051
GENDER,0.9192515965246706,0.920671092383951,0.9294241167351316,0.9160627975346922,0.9210584258254628,0.5340678396173886,0.5107300024027677,0.497211668199272,0.49682149458359337,0.4945663833743106
HEIGHT,0.9257245753771505,0.9183705818373652,0.9358512570413375,0.9302052868207338,0.9316900268812034,0.5477165814187814,0.5274590588751609,0.5039979855702975,0.5054488118389714,0.4793364697575814
WEIGHT,0.925211700067136,0.9144878239532899,0.9311517472756097,0.9241432712916027,0.9046894108513632,0.5299807802813816,0.5209560171204195,0.4964257510991919,0.5050518193138709,0.48125349563513353
BMI,0.9234883942653609,0.9203787061809113,0.9372670726920468,0.926135662831131,0.9154507586214247,0.5289719121962194,0.5172419004686359,0.49533225625748106,0.500552997409146,0.4799509908737499
DIAS_BP,0.8595845986188522,0.8711326109813777,0.8729682506602214,0.8640193346999056,0.849820061356994,0.479894371217574,0.46082535523443724,0.45867088573356385,0.45046187876860255,0.43245379158634717
HR,0.9308900709879646,0.9207607556326174,0.9383048022672715,0.9278824733295261,0.9312618872887848,0.5308878830768465,0.5177884392823535,0.4910426703184104,0.5070957108781478,0.48455538160769795
SYS_BP,0.8856319803866415,0.8864261651924761,0.8864740276041614,0.8813090923081134,0.8748738688557699,0.5012198551988729,0.4974881116441363,0.4698725940385013,0.4922717081810076,0.4580556018747154
MEAN_BP,0.8025192680337737,0.8165182219824072,0.8304147346370063,0.785146656975862,0.8005130140937768,0.5437811370427832,0.5384394805160019,0.5281929993477572,0.5188988118308362,0.5102696975072419
RESPRATE,0.9169327851193806,0.9137249956069748,0.9333699833430005,0.9248095287925219,0.9285639204036171,0.5216315161285505,0.5154604957154756,0.49180281591284836,0.5090265859255046,0.4767065156326902
Temprate,0.9099810360954264,0.9076703496860161,0.923037953073326,0.9152167387770139,0.9201143157138079,0.5201562512792332,0.5036738451145638,0.4754448682852493,0.4832947033318924,0.4621737842114033
SPO2,0.931662901358401,0.9262786613291232,0.9431967758855218,0.9305132158716343,0.9362548303058843,0.5271343959495792,0.5134589146403475,0.4970970121672379,0.5031594814386973,0.47529916300184677
PH,0.9197879743207391,0.9164642115360304,0.9273026877039001,0.9198312808494148,0.9243087150637352,0.5325901634255461,0.5120943223151058,0.5016102390702968,0.503111782796116,0.4778302579776007
HCO3,0.9168288806086191,0.9207313731074034,0.9259565133044575,0.9215444065303193,0.9236989107566425,0.527540827944077,0.5217162525467276,0.49129714856157586,0.5107349271116194,0.487445386387207
HEMOGLOBIN,0.9250752052789507,0.9159854935472544,0.9223912109512935,0.9223048913103683,0.9236775625352202,0.5298812424923485,0.49840816148325,0.48558561428079106,0.49230138309498683,0.47840030556375446
WBC,0.9268841390118437,0.9165786712051723,0.9325206194115253,0.9271550766281907,0.9243401313021673,0.5219516444081349,0.5063746580559106,0.48776215788213884,0.4909615818279237,0.47125203518404735
RBC,0.9147118994799175,0.9146799974180817,0.9256910462264332,0.9185671626606158,0.9211240887830536,0.5318009431112755,0.5234565096591124,0.48981200991709806,0.5112362274939461,0.47595634445539625
HEMATOCRIT,0.9075340808369534,0.9135412068466191,0.9273130599049169,0.9169939493607839,0.9283094331074551,0.5026250452835204,0.504767296020414,0.47398589669997715,0.4882279773750685,0.46149735211223264
PLT,0.914710104561715,0.9094931082736311,0.9175996284027,0.9147041456197408,0.9154569822956703,0.5490387983545993,0.5486552118664454,0.5187456296149368,0.5368347581915995,0.5061690446261291
RDW,0.9160786920735647,0.9141816012936935,0.9272951271996208,0.9208230124427296,0.9188695675070018,0.5489066511148866,0.5119898929598757,0.48650648088468323,0.503120002910174,0.46933252217511345
ALT,0.931223648542273,0.9280329486908616,0.9386815693618993,0.9295399552903048,0.9329210636960468,0.5243487247879964,0.5162502719939649,0.4889695320297702,0.502841165981429,0.4769590777509646
AST,0.9320356131507276,0.9297647437984765,0.9414578551074897,0.9308593685262263,0.9345810632491498,0.5287864522946493,0.5146157950513165,0.4855183261849086,0.49976755058121203,0.47495419273107453
ALB,0.9045756082359631,0.897471445380706,0.8934841776341611,0.8947448510432585,0.9094195582922626,0.5510378684995781,0.5398260600248109,0.5102882024131933,0.5085608096074121,0.4891105899280799
TOTALBILIRUBIN,0.9223977800717342,0.9195843841640773,0.9348079398948597,0.9202266894800382,0.930706682798407,0.5089011206595201,0.509271357356271,0.48792613340690627,0.4994121649278071,0.47545755409842555
CK,0.9317017050064992,0.9289963374517884,0.9438458044044793,0.9309932064132769,0.9366658144859321,0.5203648501728436,0.5152985859962599,0.4922286777066761,0.5006429142179086,0.475361068777741
