,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.9235930752131251,0.9184452059703101,0.936439989742148,0.9273618883374981,0.9275069473670683,0.6183403923333575,0.6257531758058615,0.5984749553584849,0.6260042220053275,0.618056268698611
ICU,0.9125672523247729,0.8956579282371664,0.9068081215743835,0.902958152958153,0.9042557080852895,0.632111216978748,0.6438785982966125,0.6183395514446766,0.6463027538583396,0.6536464207461674
ETHNICITY,0.9154379597740046,0.9064807000050077,0.9203327417889888,0.9193108494937763,0.9190486363884615,0.6182321334968081,0.6232204786308606,0.6050860072849238,0.6240010093640769,0.6242324844376061
AGE,0.9119573653466091,0.9078546524278662,0.9144754184979406,0.9090285843334623,0.9198470776081138,0.618636824197115,0.6316551725369626,0.6101609044211694,0.6154336485252003,0.6181645275351603
GENDER,0.9124759619440421,0.9115368598547751,0.9234294779728289,0.9168141930337053,0.9135539196000887,0.6253081075658847,0.6210257740566345,0.6098258363270459,0.6289896372748539,0.6290313096342626
HEIGHT,0.9160313710346801,0.9101133666781132,0.9252174691044136,0.9218406480601602,0.9221526075516675,0.6310957732023512,0.6323147938959519,0.6048513249280184,0.6264743755173698,0.620672704991545
WEIGHT,0.9153865663183942,0.9060005264110897,0.9237540602984216,0.9171649714332641,0.9025772081382983,0.6214858071385347,0.6141821233912609,0.6049401242610226,0.6153476620764563,0.6010602341212683
BMI,0.9161688378247714,0.9112062418752636,0.927480515698448,0.9188231032743228,0.9114405064429802,0.6150195145705917,0.6315053529633958,0.6069693746854109,0.6250045839595348,0.6280989873319004
DIAS_BP,0.8609999850307244,0.8735618105717079,0.8748540437321106,0.8634026091343165,0.8507998065981515,0.583009278648482,0.5860664522326116,0.577252599387833,0.5843097315972628,0.5779808834004407
HR,0.9209277830135004,0.9093401527079127,0.927888294332848,0.9208177888055937,0.9216901136958708,0.6206090504625483,0.6222481731879443,0.6002357241658904,0.6297589239125225,0.6184425714703289
SYS_BP,0.8828408399387375,0.8805043579874605,0.8850039528784017,0.8779429017233895,0.8744859109002181,0.5861636381279467,0.6027423835577539,0.5766935349203954,0.6082482919541687,0.5961734504802888
MEAN_BP,0.8249249030771122,0.8354466528297761,0.8442676227476671,0.8118100282734428,0.8204237974228079,0.6319138165005279,0.6347478941319662,0.6238559746703494,0.6318716902100614,0.6331908733960978
RESPRATE,0.9093259284471166,0.9034707583347003,0.9232133653475929,0.917981352432572,0.9196250028110734,0.6113442208325482,0.6189842079617425,0.5996489326964607,0.6303980737249524,0.6160206632394127
