,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.9528397077637469,0.9443394210544924,0.9545829260834785,0.9512839095140374,0.9434589103052382,0.56160047805837,0.5711427160277316,0.5655445256012653,0.5728605271838197,0.5575132199274311
ICU,0.9366446750361721,0.9257555987677036,0.9325060353675944,0.92787702095003,0.9228225665878526,0.5756817828269635,0.5866340670315385,0.5726886316427584,0.5865343887278626,0.5720446825300368
ETHNICITY,0.9369423070795803,0.9184485872047667,0.9370731734626871,0.9362659033612528,0.9232926025403229,0.5624901324803775,0.5704256847916274,0.5647844125857816,0.571171939873839,0.5605946864435944
AGE,0.9231648643853537,0.9221863135177976,0.922355139381011,0.9197802019632771,0.9130804343671217,0.5623992262475899,0.5736040080827216,0.5701975603248602,0.5683165105092967,0.5601409582460323
GENDER,0.921870259100646,0.9340046597145714,0.9316441254151366,0.9279560422546629,0.9242788772370661,0.5622310181332858,0.5686844444674716,0.570763925522146,0.5724511378946199,0.560488341427986
HEIGHT,0.939686664284617,0.9301133297079768,0.9438980682910636,0.9463252715458623,0.934529120562763,0.5665264262832294,0.5749773260160216,0.5688965309125185,0.5738131132133094,0.5571629689713229
WEIGHT,0.946773992816661,0.9275693531275775,0.93043899896466,0.9392419511761971,0.9093383891151374,0.559712623857763,0.5650440847082059,0.5659452038152544,0.5611080081142449,0.5500265351335423
BMI,0.9349650493794996,0.9325540839880502,0.937017520720048,0.9433041038811092,0.9217733904759161,0.5566972947442163,0.5734913347621275,0.5732497101538572,0.5733121860818196,0.563591060343112
DIAS_BP,0.8621594380403974,0.8683606371520889,0.8633452442943637,0.8631431051907612,0.8499938830517585,0.5425078089695173,0.5491763368571525,0.5515978836116574,0.5489629697552402,0.5400359886049704
HR,0.9475386635049203,0.9363524516901798,0.9446900652419338,0.9452750577310601,0.9377800602124752,0.565071795015991,0.5727800426102838,0.5656663609918611,0.5725356054276906,0.5608615513075235
SYS_BP,0.8910883116591428,0.8900554671465178,0.895256513571475,0.8818724698056475,0.8792002164097219,0.5446251896707455,0.5565641073553516,0.5521361910366968,0.561471011247695,0.5464139035343094
MEAN_BP,0.7917286538371713,0.7973904130474416,0.8157604177055866,0.7796471613042707,0.798833829343466,0.5698405860863658,0.5716270114891288,0.5766425253361858,0.568357703480149,0.5646127323103602
RESPRATE,0.9364514733917768,0.9272094937686173,0.9403430021323052,0.9393002045869241,0.9270483024804232,0.5626568334172992,0.5698530558009337,0.5683884817572249,0.5705598199356349,0.5583370911457858
Temprate,0.919123993657907,0.9150928739106895,0.9322267593255228,0.9289559867173722,0.913310360608574,0.556406438971067,0.5636410529178218,0.5612818286345123,0.5653117016715533,0.5503450088522495
SPO2,0.9483056243089929,0.9415508378256658,0.9504885425128031,0.9491265705481479,0.9405466182117903,0.5603536659623336,0.5731294351273544,0.5682137728244302,0.5721806128067666,0.556652395564047
PH,0.9315682680846695,0.9285640819564139,0.935407998030855,0.9363899498687037,0.925581062744375,0.5634013653263348,0.5667444718168966,0.5741246650059023,0.5739846173249675,0.5533206849719842
HCO3,0.9275578476237496,0.933642507635927,0.9279143947236862,0.9280051662736166,0.9148357956766489,0.5596993143026547,0.5704241291552851,0.5629603608523072,0.5766613235768063,0.5598040670726543
HEMOGLOBIN,0.9387321215861725,0.9206168345507935,0.914650635795067,0.9312639174938017,0.9226705666658678,0.565013971478483,0.5646013685818817,0.5651724005465516,0.5724473127006175,0.5606890374225442
WBC,0.9385886218580948,0.9255529913950933,0.9380197737393665,0.9381697599146854,0.9255127637968651,0.5598856831900354,0.5651684720857866,0.5650758972577754,0.5686840180654438,0.5564565223077735
RBC,0.93222343763567,0.934118964802051,0.9345612293033305,0.9332722832722833,0.9168114450119527,0.5564717096553268,0.5742411927634052,0.5637446531966871,0.569557171858557,0.5558732623017146
HEMATOCRIT,0.9108493833135838,0.913020720359159,0.916945250725653,0.9312571238242311,0.9226304434333628,0.5593270281164343,0.5660024353890368,0.5707990352352456,0.5712516639394557,0.5532026848967914
PLT,0.93967986958595,0.9285276039505423,0.9314772018406401,0.9336217880528186,0.9270166682019483,0.5653000575023162,0.5822784767450535,0.5783601061554606,0.5765673754233225,0.5630154480409375
RDW,0.9206273371790847,0.9235428154748595,0.9288343348031711,0.9311377701500227,0.9123775974142909,0.5668095522234968,0.5711140889797649,0.5630836010888645,0.5691594158264279,0.5584434602191731
ALT,0.9457646558541076,0.9442509940997004,0.9450600509258644,0.9462445088714273,0.9349850408295721,0.5616659239683068,0.5721575763188175,0.5666082990892763,0.5725233372511149,0.5587881826316513
AST,0.9470860848580561,0.9430405782189021,0.9464461759237652,0.9490213295819181,0.9384592484332571,0.5609783979473387,0.5712607007253665,0.5635138083054942,0.5720288834250964,0.5585742621895134
ALB,0.9100229177587031,0.9038917618161,0.8966188468786424,0.909938422151437,0.9005860200001508,0.5711312478907864,0.5779594496454998,0.5712303920278224,0.5715300466258784,0.5645647888238445
TOTALBILIRUBIN,0.9294770172921889,0.9342735050588115,0.9392741309819883,0.9388412719752628,0.9275571699255057,0.554336349222923,0.5698729533904597,0.5662782266689094,0.5699591944943704,0.5555964563438077
CK,0.946995613015714,0.9408457731016252,0.9467163217717984,0.9478495200464326,0.9404550648469933,0.5625332131842061,0.5698044197320465,0.5669732668514611,0.5722866815613159,0.5590812416731545
CR,0.91766038628121,0.89649211180888,0.9035981433974669,0.9096638102752646,0.908446889414954,0.5684885118840889,0.5657636223087568,0.5705168536298176,0.575993377852518,0.5589518259904094
