,MIMIC_fold1,MIMIC_fold2,MIMIC_fold3,MIMIC_fold4,MIMIC_fold5,EICU_fold1,EICU_fold2,EICU_fold3,EICU_fold4,EICU_fold5
All features,0.9742480035893986,0.9695674919390439,0.9742124501148532,0.9679625443303166,0.972675312706781,0.6571950483701674,0.6829187180939313,0.6555390219433204,0.6710891819428016,0.6392646435934248
ICU,0.9666898772163892,0.9575120844479161,0.9641065051906917,0.9547846428954111,0.962795269897703,0.6714517119395872,0.6941282359932499,0.6708081510583631,0.6889757433454705,0.679267974006568
ETHNICITY,0.9700579469671985,0.9612616124468851,0.9668123416959635,0.9665324552397739,0.966283783759106,0.6599851655717824,0.6801784838353392,0.6584728419209613,0.6653244796213877,0.6470250143204024
AGE,0.964531952063951,0.9614161098507498,0.9659946907177376,0.9586286217515763,0.9664474986329563,0.6593243821778134,0.68891623605709,0.6689195505725294,0.6615135272005352,0.6510658678039198
GENDER,0.9669222786407259,0.9659781589899935,0.9680451522633362,0.963473006467598,0.9654036762377043,0.6562820447838948,0.6803382245892969,0.6637174867014148,0.6778794342437294,0.6369515276509079
HEIGHT,0.9703271584360377,0.9643386927126789,0.9710532724194354,0.9655325769273915,0.968918005302559,0.6748469393989496,0.6889044686388798,0.6567517050443477,0.6678223907877606,0.6441111444027737
WEIGHT,0.9712583424113085,0.960567369753401,0.9688145410236102,0.9662317113107485,0.9634762683241874,0.656281288863652,0.6619740930390998,0.6575509231516208,0.6569559749556921,0.6220139124237254
BMI,0.9687623451953906,0.9677164764980383,0.9688228516325694,0.9659106191220116,0.9643963852605846,0.6520112980307047,0.6937390383771823,0.6717066908511269,0.6763097853423418,0.6647426782032877
DIAS_BP,0.9389834384228044,0.9438544419936292,0.9348739297478096,0.9256452734610159,0.9253902187970474,0.6112786136852923,0.6428663619669064,0.616429173671008,0.6293950293926728,0.5965850593875881
HR,0.9701671440710781,0.9653957608375503,0.9711875233114268,0.9641741421818486,0.9697499438125042,0.656836578522314,0.6794411342930808,0.650490518983355,0.6693763368098806,0.6390887167946837
SYS_BP,0.9541201101394674,0.9500966106586107,0.9535369698872418,0.94274256791956,0.9454431949148132,0.6258270079174307,0.654380967717561,0.6330677964759716,0.6378875595291088,0.6131161700722666
MEAN_BP,0.9060904577826356,0.9087762607518597,0.9061429577130256,0.8895719456349432,0.8936649523932785,0.6767863034359239,0.6853560465390013,0.6751815315187257,0.6628842989411754,0.6524981808039026
RESPRATE,0.9680109122793293,0.9633065821181729,0.967874169491178,0.9633667768286277,0.9665737192064882,0.6544979794953283,0.6796180663878147,0.6575990994293535,0.6743613736414321,0.6461203414427834
Temprate,0.962371240264553,0.9575526958634019,0.9637076212464747,0.9593068552064397,0.9609455234129619,0.6517040203485625,0.6735669793963261,0.6481495430937505,0.6683514258557267,0.6261884468953093
SPO2,0.972471347638417,0.9682117031758327,0.9717173288468858,0.9670878203758126,0.9714510412093322,0.6534798796163503,0.6822861765036672,0.6527780739114811,0.6683250387841635,0.6357940656925551
PH,0.966067715126556,0.9632983159297718,0.9677456584822507,0.9612634115547233,0.9668630154993153,0.6549992481321132,0.6778861985609523,0.6679199356710315,0.6715371620989757,0.6392249382982049
HCO3,0.9693305005875056,0.9667446471661147,0.9695093365898784,0.9629328229755332,0.9678211247785411,0.6600945324242091,0.6823789520757164,0.6544204626019916,0.6775596176371498,0.6434609906501549
HEMOGLOBIN,0.9700945597269605,0.966418827151022,0.9633278871030238,0.9650524584834375,0.9671870834600713,0.6680129762048154,0.679646651083176,0.649809356914803,0.674854896043978,0.6463038040649743
WBC,0.9697732897472157,0.9643064478846438,0.9693971265117092,0.9662084741005843,0.9682722101808455,0.6499456641412383,0.6753691711847318,0.6477297969482891,0.6680647762239175,0.6363851095993952
RBC,0.963382028632625,0.9624751524902596,0.9656887406217812,0.9611056078698427,0.9651214604492323,0.6503124802837297,0.6810199087883255,0.6508597275744492,0.6672219641183208,0.6396444038959475
HEMATOCRIT,0.9665451113178326,0.9649164892420243,0.9665924814173603,0.9638822744484173,0.9672006053142265,0.6510345010103459,0.6759888153729178,0.6623446264388669,0.6762313566689185,0.6340592677006284
PLT,0.9655224858653293,0.961580345962407,0.9643086485321425,0.9601053694853746,0.9618348696229297,0.660841023146309,0.6841298114245514,0.6644138606907259,0.6730639261643292,0.6373303761733441
RDW,0.9674176195231926,0.9637708524223997,0.9683268869642214,0.962286016277335,0.966313467092721,0.6707486203910061,0.6827356685003265,0.6566345607857131,0.6717796722230077,0.6372111823577629
ALT,0.9708914667757127,0.9680947299166844,0.9708195723640459,0.9659788569690847,0.9702223288328329,0.6609300970470671,0.6834301487925352,0.6558665302331939,0.6722876428330781,0.6412833013259558
AST,0.9713113544651267,0.9688761106184679,0.9704800342592634,0.9672099099340808,0.9687263170410457,0.6528941972881384,0.6818778081268065,0.6484205911551908,0.6662008951093177,0.6387366917513735
ALB,0.9614340144441036,0.9567339667152386,0.9542334680326273,0.9551444972628325,0.9600044720897144,0.6682925731786905,0.6932073381058863,0.6673419060611525,0.6792986160518683,0.6492578780293231
TOTALBILIRUBIN,0.9684836887195988,0.9655296931694612,0.9691100649296245,0.9640650068448867,0.9674727855461156,0.6378795483331351,0.6796867304420211,0.6490975060429979,0.66024849077796,0.6392840247650069
CK,0.9731678614148352,0.9687721725025679,0.972679800193406,0.9677945665155804,0.9721088889597954,0.6521383082174546,0.6809880900012045,0.6488302453757631,0.6701902525004284,0.6417861986981089
CR,0.9617388522490026,0.950974466480288,0.9529051276052706,0.9533734952713157,0.9614180744474609,0.6623919610734429,0.6733729650627067,0.6615149377321221,0.6724771216452416,0.6400396644599408
UN,0.9660662026102119,0.9613596270188701,0.9641189711041308,0.9563574293907852,0.9609167282551567,0.6719226346647753,0.6882442385473564,0.657802325079744,0.6808665271159968,0.6544826273007095
CL_ION,0.9688339348956082,0.9676053598501057,0.9700248472036385,0.9647315421438584,0.9689206864314063,0.6444460872071985,0.6762632533859616,0.6598833345428057,0.6647324849695002,0.6401338038056236
GLU,0.9721704966293162,0.9685717927331235,0.9718944645039731,0.967364054281721,0.9708680409474615,0.6533084649600887,0.6813083352223547,0.6605249237970051,0.6701214170003937,0.6434944927235897
K_ION,0.9719756615076542,0.9685344442867437,0.9718771268542478,0.9672003303418544,0.9706214351984771,0.6524215289326992,0.6813574934171036,0.6514424329796437,0.6708067716987451,0.6423854797976964
NA_ION,0.9720340166898616,0.9660976505919645,0.9701608259605756,0.9640377502253967,0.9696326298991984,0.6576513514420027,0.6749520434846471,0.6518721229831425,0.6750240273535273,0.6444900708551319
APTT,0.9723245760116651,0.9675147831743642,0.9710136495262128,0.9675488801205475,0.9710823652410686,0.6556054494087675,0.6823302692534913,0.6561502886648996,0.6712505358461431,0.6397321997459859
INR,0.9700846132879591,0.9667575986434885,0.9704598477395296,0.9653663324829268,0.9704041641533505,0.6583304639536081,0.6823911792804661,0.6590659197987637,0.670110966597864,0.6396126006948106
LAC,0.9651403617633304,0.959022479380629,0.9622907719908406,0.9615477512694381,0.9599403408158023,0.6325196062331967,0.6594053046087381,0.6306951420731055,0.6492343198139258,0.6121159317313934
ANION_GAP,0.9709789789985298,0.9671731837753395,0.9708873130985346,0.9654905238573213,0.9692282110801111,0.6825389344124321,0.6937792969748477,0.6593989922850624,0.6801703089865295,0.6658337984191074
P_ION,0.9680984245021466,0.9634317295332606,0.9665682660222893,0.9571070324824881,0.9667781573562656,0.6582519885222318,0.6763086865304427,0.649592337668232,0.6610707449701534,0.6287319938239602
INPUT,0.9732224353061822,0.969249369184406,0.9730437728371066,0.96735645089908,0.9717858253847688,0.6544095991708755,0.6806140965129042,0.6543027728339035,0.6683950666120035,0.6376942621507711
OUTPUT,0.9724044681113796,0.9680082779685565,0.9718750028446558,0.9669694822662488,0.9717550629590479,0.647184388803727,0.6806190450629462,0.6510439305308986,0.6619190043772926,0.6287386022813392
INPUT_MINUS_OUTPUT,0.9734484989582297,0.969353733996266,0.973222223357275,0.9680335538950706,0.9718637026319653,0.6576521930851595,0.6821820153700249,0.6531201940617151,0.6701785240471789,0.6411975862048328
HOURS,0.9430342695595779,0.9378257468074523,0.9502840576256613,0.9391570287092676,0.9361983306212704,0.6381039241643356,0.6687579472934377,0.6406574850879536,0.6699273948737823,0.6231637606287062
