Arguments: Namespace(gap=4, num_epochs=200, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190104', run_fold=1, verbose=0)
iter: 000, train loss: 0.69386244, test loss: 0.60710120
         , train AUC: 0.41277945, test AUC: 0.49942206
         , train F-1: 0.41863050, test F-1: 0.42975337
iter: 001, train loss: 0.59865367, test loss: 0.56591499
         , train AUC: 0.52765921, test AUC: 0.52891124
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 002, train loss: 0.54823285, test loss: 0.55052698
         , train AUC: 0.56726489, test AUC: 0.57084410
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 003, train loss: 0.52489167, test loss: 0.56276941
         , train AUC: 0.59743954, test AUC: 0.60902832
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 004, train loss: 0.52859074, test loss: 0.55681825
         , train AUC: 0.63095209, test AUC: 0.62887547
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 005, train loss: 0.51945996, test loss: 0.53511029
         , train AUC: 0.66419204, test AUC: 0.66839405
         , train F-1: 0.43511395, test F-1: 0.42975337
iter: 006, train loss: 0.50489992, test loss: 0.53180242
         , train AUC: 0.68710108, test AUC: 0.67094081
         , train F-1: 0.43511395, test F-1: 0.43094724
iter: 007, train loss: 0.50493306, test loss: 0.52362460
         , train AUC: 0.69614186, test AUC: 0.68877475
         , train F-1: 0.43528183, test F-1: 0.43447512
iter: 008, train loss: 0.49396795, test loss: 0.51313972
         , train AUC: 0.71647199, test AUC: 0.71864567
         , train F-1: 0.43725058, test F-1: 0.48846680
iter: 009, train loss: 0.47860390, test loss: 0.50993884
         , train AUC: 0.74090093, test AUC: 0.73606064
         , train F-1: 0.53024947, test F-1: 0.49187873
iter: 010, train loss: 0.47336498, test loss: 0.49593738
         , train AUC: 0.75632708, test AUC: 0.75641707
         , train F-1: 0.54617128, test F-1: 0.50075645
iter: 011, train loss: 0.46300501, test loss: 0.48012924
         , train AUC: 0.77262396, test AUC: 0.77037162
         , train F-1: 0.55407782, test F-1: 0.55131762
iter: 012, train loss: 0.44976282, test loss: 0.47357342
         , train AUC: 0.78939210, test AUC: 0.77656987
         , train F-1: 0.60268890, test F-1: 0.62947380
iter: 013, train loss: 0.44374076, test loss: 0.45385978
         , train AUC: 0.79936709, test AUC: 0.79950595
         , train F-1: 0.67284831, test F-1: 0.64611076
iter: 014, train loss: 0.42044854, test loss: 0.44691116
         , train AUC: 0.82253619, test AUC: 0.81217356
         , train F-1: 0.67661370, test F-1: 0.64929346
iter: 015, train loss: 0.41088313, test loss: 0.42910060
         , train AUC: 0.83634166, test AUC: 0.82330169
         , train F-1: 0.67750293, test F-1: 0.68458586
iter: 016, train loss: 0.39450461, test loss: 0.42571566
         , train AUC: 0.84646499, test AUC: 0.83021063
         , train F-1: 0.71244452, test F-1: 0.71683469
iter: 017, train loss: 0.38995999, test loss: 0.40658438
         , train AUC: 0.85128727, test AUC: 0.84310455
         , train F-1: 0.73317391, test F-1: 0.72499692
iter: 018, train loss: 0.37256569, test loss: 0.40366626
         , train AUC: 0.86417114, test AUC: 0.84744190
         , train F-1: 0.73227243, test F-1: 0.71624081
iter: 019, train loss: 0.37114817, test loss: 0.41487402
         , train AUC: 0.86913546, test AUC: 0.84402773
         , train F-1: 0.71498383, test F-1: 0.73700896
iter: 020, train loss: 0.36183682, test loss: 0.39739668
         , train AUC: 0.87578220, test AUC: 0.85327123
         , train F-1: 0.75217918, test F-1: 0.75063969
iter: 021, train loss: 0.34613416, test loss: 0.38891464
         , train AUC: 0.88519133, test AUC: 0.86204154
         , train F-1: 0.76317739, test F-1: 0.75343985
iter: 022, train loss: 0.34539837, test loss: 0.38855076
         , train AUC: 0.88928691, test AUC: 0.86512413
         , train F-1: 0.76033859, test F-1: 0.75766550
iter: 023, train loss: 0.33610523, test loss: 0.37291479
         , train AUC: 0.89442107, test AUC: 0.87455794
         , train F-1: 0.77753869, test F-1: 0.77143186
iter: 024, train loss: 0.32747006, test loss: 0.36957395
         , train AUC: 0.89906726, test AUC: 0.87522459
         , train F-1: 0.78405880, test F-1: 0.76424031
iter: 025, train loss: 0.33407798, test loss: 0.38634810
         , train AUC: 0.89598305, test AUC: 0.87009452
         , train F-1: 0.76907502, test F-1: 0.76411010
iter: 026, train loss: 0.32165506, test loss: 0.37578511
         , train AUC: 0.90495650, test AUC: 0.87410954
         , train F-1: 0.79082088, test F-1: 0.76847504
iter: 027, train loss: 0.31331724, test loss: 0.36223963
         , train AUC: 0.90952734, test AUC: 0.88062294
         , train F-1: 0.79489747, test F-1: 0.76867252
iter: 028, train loss: 0.31162822, test loss: 0.36731613
         , train AUC: 0.91005430, test AUC: 0.88133208
         , train F-1: 0.78764617, test F-1: 0.77379867
iter: 029, train loss: 0.30399263, test loss: 0.37304795
         , train AUC: 0.91350681, test AUC: 0.88251644
         , train F-1: 0.80041712, test F-1: 0.77858589
iter: 030, train loss: 0.29714102, test loss: 0.35474342
         , train AUC: 0.91865620, test AUC: 0.88935993
         , train F-1: 0.80851537, test F-1: 0.78019480
iter: 031, train loss: 0.29081842, test loss: 0.35654077
         , train AUC: 0.92274208, test AUC: 0.88858844
         , train F-1: 0.80436934, test F-1: 0.78228476
iter: 032, train loss: 0.28419933, test loss: 0.37320966
         , train AUC: 0.92498852, test AUC: 0.88628813
         , train F-1: 0.81409951, test F-1: 0.78131374
iter: 033, train loss: 0.28250825, test loss: 0.34499377
