Arguments: Namespace(gap=1, num_epochs=200, results_dir='/home/zhihuan/Documents/20181207_Hypoxemia/20190103_ICM_LSTM/Results/LSTM_20190104_32_3', run_fold=1, verbose=0)
iter: 000, train loss: 0.10452019, test loss: 0.09144840
         , train AUC: 0.98903790, test AUC: 0.99247009
         , train F-1: 0.95096147, test F-1: 0.95545514
iter: 001, train loss: 0.09865714, test loss: 0.10370415
         , train AUC: 0.99060646, test AUC: 0.98933042
         , train F-1: 0.95449596, test F-1: 0.94642213
iter: 002, train loss: 0.10610175, test loss: 0.10105512
         , train AUC: 0.98891249, test AUC: 0.99035303
         , train F-1: 0.94807438, test F-1: 0.94785884
iter: 003, train loss: 0.09816755, test loss: 0.10631408
         , train AUC: 0.99023666, test AUC: 0.99052919
         , train F-1: 0.95244789, test F-1: 0.94797310
iter: 004, train loss: 0.09960268, test loss: 0.10379086
         , train AUC: 0.99090242, test AUC: 0.99064331
         , train F-1: 0.95192460, test F-1: 0.94006210
iter: 005, train loss: 0.09673791, test loss: 0.10347639
         , train AUC: 0.99023925, test AUC: 0.99049907
         , train F-1: 0.95409390, test F-1: 0.94301664
iter: 006, train loss: 0.09487071, test loss: 0.13272664
         , train AUC: 0.99081675, test AUC: 0.98632713
         , train F-1: 0.95480997, test F-1: 0.93532377
iter: 007, train loss: 0.09712412, test loss: 0.14514907
         , train AUC: 0.99124674, test AUC: 0.98422918
         , train F-1: 0.95390650, test F-1: 0.91928967
iter: 008, train loss: 0.09503727, test loss: 0.14380269
         , train AUC: 0.99109554, test AUC: 0.98449999
         , train F-1: 0.95356279, test F-1: 0.92034776
iter: 009, train loss: 0.09411946, test loss: 0.12726612
         , train AUC: 0.99103907, test AUC: 0.98697869
         , train F-1: 0.95338198, test F-1: 0.93270950
iter: 010, train loss: 0.09000768, test loss: 0.11110654
         , train AUC: 0.99188999, test AUC: 0.98867983
         , train F-1: 0.95769659, test F-1: 0.94381944
iter: 011, train loss: 0.08818865, test loss: 0.12104056
         , train AUC: 0.99214303, test AUC: 0.98719022
         , train F-1: 0.95826196, test F-1: 0.93889488
iter: 012, train loss: 0.09781237, test loss: 0.11955824
         , train AUC: 0.99119193, test AUC: 0.98737832
         , train F-1: 0.95463588, test F-1: 0.93703128
iter: 013, train loss: 0.08873831, test loss: 0.12923919
         , train AUC: 0.99142215, test AUC: 0.98606666
         , train F-1: 0.95700643, test F-1: 0.93162790
iter: 014, train loss: 0.08913415, test loss: 0.13037810
         , train AUC: 0.99164965, test AUC: 0.98559786
         , train F-1: 0.95730007, test F-1: 0.92745933
